人物名称	人物类型	资源文件路经	部件说明文件名	武器行为关联表1	武器行为关联表2	动作贴图顺序表	头部	发型	肩膀	躯体	左手	右手	左手武器	右手武器	马前	马中	马后
enemy135	普通npc	spr\npcres\enemy\enemy135															
enemy136	普通npc	spr\npcres\enemy\enemy136															
enemy137	普通npc	spr\npcres\enemy\enemy137															
enemy138	普通npc	spr\npcres\enemy\enemy138															
enemy139	普通npc	spr\npcres\enemy\enemy139															
enemy140	普通npc	spr\npcres\enemy\enemy140															
enemy141	普通npc	spr\npcres\enemy\enemy141															
enemy142	普通npc	spr\npcres\enemy\enemy142															
enemy143	普通npc	spr\npcres\enemy\enemy143															
enemy144	普通npc	spr\npcres\enemy\enemy144															
enemy145	普通npc	spr\npcres\enemy\enemy145															
enemy146	普通npc	spr\npcres\enemy\enemy146															
enemy147	普通npc	spr\npcres\enemy\enemy147															
enemy148	普通npc	spr\npcres\enemy\enemy148															
enemy149	普通npc	spr\npcres\enemy\enemy149															
enemy150	普通npc	spr\npcres\enemy\enemy150															
enemy151	普通npc	spr\npcres\enemy\enemy151															
enemy152	普通npc	spr\npcres\enemy\enemy152															
enemy153	普通npc	spr\npcres\enemy\enemy153															
enemy154	普通npc	spr\npcres\enemy\enemy154															
enemy155	普通npc	spr\npcres\enemy\enemy155															
enemy156	普通npc	spr\npcres\enemy\enemy156															
enemy157	普通npc	spr\npcres\enemy\enemy157															
enemy158	普通npc	spr\npcres\enemy\enemy158															
enemy159	普通npc	spr\npcres\enemy\enemy159															
enemy160	普通npc	spr\npcres\enemy\enemy160															
enemy161	普通npc	spr\npcres\enemy\enemy161															
enemy162	普通npc	spr\npcres\enemy\enemy162															
enemy163	普通npc	spr\npcres\enemy\enemy163															
enemy164	普通npc	spr\npcres\enemy\enemy164															
enemy165	普通npc	spr\npcres\enemy\enemy165															
enemy166	普通npc	spr\npcres\enemy\enemy166															
enemy167	普通npc	spr\npcres\enemy\enemy167															
enemy168	普通npc	spr\npcres\enemy\enemy168															
enemy169	普通npc	spr\npcres\enemy\enemy169															
enemy170	普通npc	spr\npcres\enemy\enemy170															
enemy171	普通npc	spr\npcres\enemy\enemy171															
enemy172	普通npc	spr\npcres\enemy\enemy172															
enemy173	普通npc	spr\npcres\enemy\enemy173															
enemy174	普通npc	spr\npcres\enemy\enemy174															
enemy175	普通npc	spr\npcres\enemy\enemy175															
enemy176	普通npc	spr\npcres\enemy\enemy176															
enemy177	普通npc	spr\npcres\enemy\enemy177															
enemy178	普通npc	spr\npcres\enemy\enemy178															
enemy179	普通npc	spr\npcres\enemy\enemy179															
enemy180	普通npc	spr\npcres\enemy\enemy180															
enemy181	普通npc	spr\npcres\enemy\enemy181															
enemy182	普通npc	spr\npcres\enemy\enemy182															
enemy183	普通npc	spr\npcres\enemy\enemy183															
enemy184	普通npc	spr\npcres\enemy\enemy184															
enemy185	普通npc	spr\npcres\enemy\enemy185															
enemy186	普通npc	spr\npcres\enemy\enemy186															
enemy187	普通npc	spr\npcres\enemy\enemy187															
enemy188	普通npc	spr\npcres\enemy\enemy188															
enemy189	普通npc	spr\npcres\enemy\enemy189															
enemy190	普通npc	spr\npcres\enemy\enemy190															
enemy191	普通npc	spr\npcres\enemy\enemy191															
enemy192	普通npc	spr\npcres\enemy\enemy192															
enemy193	普通npc	spr\npcres\enemy\enemy193															
enemy194	普通npc	spr\npcres\enemy\enemy194															
ani001	普通npc	spr\npcres\animal\ani001															
ani002	普通npc	spr\npcres\animal\ani002															
ani003	普通npc	spr\npcres\animal\ani003															
ani005	普通npc	spr\npcres\animal\ani005															
ani006	普通npc	spr\npcres\animal\ani006															
ani009	普通npc	spr\npcres\animal\ani009															
ani010	普通npc	spr\npcres\animal\ani010															
ani011	普通npc	spr\npcres\animal\ani011															
ani012	普通npc	spr\npcres\animal\ani012															
ani013	普通npc	spr\npcres\animal\ani013															
ani015	普通npc	spr\npcres\animal\ani015															
ani018	普通npc	spr\npcres\animal\ani018															
ani019	普通npc	spr\npcres\animal\ani019															
ani021	普通npc	spr\npcres\animal\ani021															
ani024	普通npc	spr\npcres\animal\ani024															
ani025	普通npc	spr\npcres\animal\ani025															
ani026	普通npc	spr\npcres\animal\ani026															
ani029	普通npc	spr\npcres\animal\ani029															
ani033	普通npc	spr\npcres\animal\ani033															
ani036	普通npc	spr\npcres\animal\ani036															
ani037	普通npc	spr\npcres\animal\ani037															
ani038	普通npc	spr\npcres\animal\ani038															
ani039	普通npc	spr\npcres\animal\ani039															
ani040	普通npc	spr\npcres\animal\ani040															
ani041	普通npc	spr\npcres\animal\ani041															
ani042	普通npc	spr\npcres\animal\ani042															
ani043	普通npc	spr\npcres\animal\ani043															
ani045	普通npc	spr\npcres\animal\ani045															
ani046	普通npc	spr\npcres\animal\ani046															
ani047	普通npc	spr\npcres\animal\ani047															
ani048	普通npc	spr\npcres\animal\ani048															
ani049	普通npc	spr\npcres\animal\ani049															
ani050	普通npc	spr\npcres\animal\ani050															
ani051	普通npc	spr\npcres\animal\ani051															
ani052	普通npc	spr\npcres\animal\ani052															
ani053	普通npc	spr\npcres\animal\ani053															
ani054	普通npc	spr\npcres\animal\ani054															
ani055	普通npc	spr\npcres\animal\ani055															
ani056	普通npc	spr\npcres\animal\ani056															
ani058	普通npc	spr\npcres\animal\ani058															
ani059	普通npc	spr\npcres\animal\ani059															
ani060	普通npc	spr\npcres\animal\ani060															
ani061	普通npc	spr\npcres\animal\ani061															
ani063	普通npc	spr\npcres\animal\ani063															
ani065	普通npc	spr\npcres\animal\ani065															
ani066	普通npc	spr\npcres\animal\ani066															
ani067	普通npc	spr\npcres\animal\ani067															
passerby001	普通npc	spr\npcres\passerby\passerby001															
passerby002	普通npc	spr\npcres\passerby\passerby002															
passerby004_1	普通npc	spr\npcres\passerby\passerby004															
passerby004_2	普通npc	spr\npcres\passerby\passerby004															
passerby004_3	普通npc	spr\npcres\passerby\passerby004															
passerby006_1	普通npc	spr\npcres\passerby\passerby006															
passerby006_2	普通npc	spr\npcres\passerby\passerby006															
passerby006_3	普通npc	spr\npcres\passerby\passerby006															
passerby007	普通npc	spr\npcres\passerby\passerby007															
passerby008	普通npc	spr\npcres\passerby\passerby008															
passerby010	普通npc	spr\npcres\passerby\passerby010															
passerby011_1	普通npc	spr\npcres\passerby\passerby011															
passerby011_2	普通npc	spr\npcres\passerby\passerby011															
passerby011_3	普通npc	spr\npcres\passerby\passerby011															
passerby013	普通npc	spr\npcres\passerby\passerby013															
passerby014	普通npc	spr\npcres\passerby\passerby014															
passerby015	普通npc	spr\npcres\passerby\passerby015															
passerby018	普通npc	spr\npcres\passerby\passerby018															
passerby019	普通npc	spr\npcres\passerby\passerby019															
passerby020	普通npc	spr\npcres\passerby\passerby020															
passerby023	普通npc	spr\npcres\passerby\passerby023															
passerby024	普通npc	spr\npcres\passerby\passerby024															
passerby025	普通npc	spr\npcres\passerby\passerby025															
passerby027	普通npc	spr\npcres\passerby\passerby027															
passerby028	普通npc	spr\npcres\passerby\passerby028															
passerby029	普通npc	spr\npcres\passerby\passerby029															
passerby030	普通npc	spr\npcres\passerby\passerby030															
passerby031	普通npc	spr\npcres\passerby\passerby031															
passerby032	普通npc	spr\npcres\passerby\passerby032															
passerby033	普通npc	spr\npcres\passerby\passerby033															
passerby034	普通npc	spr\npcres\passerby\passerby034															
passerby036_1	普通npc	spr\npcres\passerby\passerby036															
passerby036_2	普通npc	spr\npcres\passerby\passerby036															
passerby036_3	普通npc	spr\npcres\passerby\passerby036															
passerby037_1	普通npc	spr\npcres\passerby\passerby037															
passerby037_2	普通npc	spr\npcres\passerby\passerby037															
passerby037_3	普通npc	spr\npcres\passerby\passerby037															
passerby038_1	普通npc	spr\npcres\passerby\passerby038															
passerby038_2	普通npc	spr\npcres\passerby\passerby038															
passerby038_3	普通npc	spr\npcres\passerby\passerby038															
passerby040_1	普通npc	spr\npcres\passerby\passerby040															
passerby040_2	普通npc	spr\npcres\passerby\passerby040															
passerby040_3	普通npc	spr\npcres\passerby\passerby040															
passerby041	普通npc	spr\npcres\passerby\passerby041															
passerby042	普通npc	spr\npcres\passerby\passerby042															
passerby043	普通npc	spr\npcres\passerby\passerby043															
passerby044	普通npc	spr\npcres\passerby\passerby044															
passerby045	普通npc	spr\npcres\passerby\passerby045															
passerby047	普通npc	spr\npcres\passerby\passerby047															
passerby048	普通npc	spr\npcres\passerby\passerby048															
passerby049	普通npc	spr\npcres\passerby\passerby049															
passerby050	普通npc	spr\npcres\passerby\passerby050															
passerby051	普通npc	spr\npcres\passerby\passerby051															
passerby052	普通npc	spr\npcres\passerby\passerby052															
passerby058	普通npc	spr\npcres\passerby\passerby058															
passerby059	普通npc	spr\npcres\passerby\passerby059															
passerby060	普通npc	spr\npcres\passerby\passerby060															
passerby061_1	普通npc	spr\npcres\passerby\passerby061															
passerby061_2	普通npc	spr\npcres\passerby\passerby061															
passerby061_3	普通npc	spr\npcres\passerby\passerby061															
passerby062_1	普通npc	spr\npcres\passerby\passerby062															
passerby062_2	普通npc	spr\npcres\passerby\passerby062															
passerby062_3	普通npc	spr\npcres\passerby\passerby062															
passerby063_1	普通npc	spr\npcres\passerby\passerby063															
passerby063_2	普通npc	spr\npcres\passerby\passerby063															
passerby063_3	普通npc	spr\npcres\passerby\passerby063															
passerby064_1	普通npc	spr\npcres\passerby\passerby064															
passerby064_2	普通npc	spr\npcres\passerby\passerby064															
passerby064_3	普通npc	spr\npcres\passerby\passerby064															
passerby065_1	普通npc	spr\npcres\passerby\passerby065															
passerby065_2	普通npc	spr\npcres\passerby\passerby065															
passerby065_3	普通npc	spr\npcres\passerby\passerby065															
passerby066_1	普通npc	spr\npcres\passerby\passerby066															
passerby066_2	普通npc	spr\npcres\passerby\passerby066															
passerby066_3	普通npc	spr\npcres\passerby\passerby066															
passerby067_1	普通npc	spr\npcres\passerby\passerby067															
passerby067_2	普通npc	spr\npcres\passerby\passerby067															
passerby067_3	普通npc	spr\npcres\passerby\passerby067															
passerby068_1	普通npc	spr\npcres\passerby\passerby068															
passerby068_2	普通npc	spr\npcres\passerby\passerby068															
passerby068_3	普通npc	spr\npcres\passerby\passerby068															
passerby069_1	普通npc	spr\npcres\passerby\passerby069															
passerby069_2	普通npc	spr\npcres\passerby\passerby069															
passerby069_3	普通npc	spr\npcres\passerby\passerby069															
passerby070_1	普通npc	spr\npcres\passerby\passerby070															
passerby070_2	普通npc	spr\npcres\passerby\passerby070															
passerby070_3	普通npc	spr\npcres\passerby\passerby070															
passerby071_1	普通npc	spr\npcres\passerby\passerby071															
passerby071_2	普通npc	spr\npcres\passerby\passerby071															
passerby071_3	普通npc	spr\npcres\passerby\passerby071															
passerby072_1	普通npc	spr\npcres\passerby\passerby072															
passerby072_2	普通npc	spr\npcres\passerby\passerby072															
passerby072_3	普通npc	spr\npcres\passerby\passerby072															
passerby073_1	普通npc	spr\npcres\passerby\passerby073															
passerby073_2	普通npc	spr\npcres\passerby\passerby073															
passerby073_3	普通npc	spr\npcres\passerby\passerby073															
passerby074_1	普通npc	spr\npcres\passerby\passerby074															
passerby074_2	普通npc	spr\npcres\passerby\passerby074															
passerby074_3	普通npc	spr\npcres\passerby\passerby074															
passerby075_1	普通npc	spr\npcres\passerby\passerby075															
passerby075_2	普通npc	spr\npcres\passerby\passerby075															
passerby075_3	普通npc	spr\npcres\passerby\passerby075															
passerby076_1	普通npc	spr\npcres\passerby\passerby076															
passerby076_2	普通npc	spr\npcres\passerby\passerby076															
passerby076_3	普通npc	spr\npcres\passerby\passerby076															
passerby077_1	普通npc	spr\npcres\passerby\passerby077															
passerby077_2	普通npc	spr\npcres\passerby\passerby077															
passerby077_3	普通npc	spr\npcres\passerby\passerby077															
passerby079_1	普通npc	spr\npcres\passerby\passerby079															
passerby079_2	普通npc	spr\npcres\passerby\passerby079															
passerby079_3	普通npc	spr\npcres\passerby\passerby079															
passerby080	普通npc	spr\npcres\passerby\passerby080															
passerby088	普通npc	spr\npcres\passerby\passerby088															
passerby092	普通npc	spr\npcres\passerby\passerby092															
passerby094	普通npc	spr\npcres\passerby\passerby094															
passerby095	普通npc	spr\npcres\passerby\passerby095															
passerby097	普通npc	spr\npcres\passerby\passerby097															
passerby099	普通npc	spr\npcres\passerby\passerby099															
passerby100	普通npc	spr\npcres\passerby\passerby100															
passerby101	普通npc	spr\npcres\passerby\passerby101															
passerby102	普通npc	spr\npcres\passerby\passerby102															
passerby103	普通npc	spr\npcres\passerby\passerby103															
passerby104	普通npc	spr\npcres\passerby\passerby104															
passerby105	普通npc	spr\npcres\passerby\passerby105															
passerby108	普通npc	spr\npcres\passerby\passerby108															
passerby110	普通npc	spr\npcres\passerby\passerby110															
passerby112	普通npc	spr\npcres\passerby\passerby112															
passerby117	普通npc	spr\npcres\passerby\passerby117															
passerby118	普通npc	spr\npcres\passerby\passerby118															
passerby119	普通npc	spr\npcres\passerby\passerby119															
passerby120	普通npc	spr\npcres\passerby\passerby120															
passerby121	普通npc	spr\npcres\passerby\passerby121															
passerby122	普通npc	spr\npcres\passerby\passerby122															
passerby123	普通npc	spr\npcres\passerby\passerby123															
passerby124	普通npc	spr\npcres\passerby\passerby124															
passerby125	普通npc	spr\npcres\passerby\passerby125															
passerby127	普通npc	spr\npcres\passerby\passerby127															
passerby128	普通npc	spr\npcres\passerby\passerby128															
passerby129	普通npc	spr\npcres\passerby\passerby129															
passerby130	普通npc	spr\npcres\passerby\passerby130															
passerby131	普通npc	spr\npcres\passerby\passerby131															
passerby132	普通npc	spr\npcres\passerby\passerby132															
passerby133	普通npc	spr\npcres\passerby\passerby133															
passerby134	普通npc	spr\npcres\passerby\passerby134															
passerby135	普通npc	spr\npcres\passerby\passerby135															
passerby136	普通npc	spr\npcres\passerby\passerby136															
passerby137	普通npc	spr\npcres\passerby\passerby137															
passerby138	普通npc	spr\npcres\passerby\passerby138															
passerby139	普通npc	spr\npcres\passerby\passerby139															
passerby140	普通npc	spr\npcres\passerby\passerby140															
passerby141	普通npc	spr\npcres\passerby\passerby141															
passerby142	普通npc	spr\npcres\passerby\passerby142															
passerby144	普通npc	spr\npcres\passerby\passerby144															
passerby145	普通npc	spr\npcres\passerby\passerby145															
passerby146	普通npc	spr\npcres\passerby\passerby146															
passerby147	普通npc	spr\npcres\passerby\passerby147															
passerby148	普通npc	spr\npcres\passerby\passerby148															
passerby149	普通npc	spr\npcres\passerby\passerby149															
passerby150	普通npc	spr\npcres\passerby\passerby150															
passerby151	普通npc	spr\npcres\passerby\passerby151															
passerby152	普通npc	spr\npcres\passerby\passerby152															
passerby153	普通npc	spr\npcres\passerby\passerby153															
passerby154	普通npc	spr\npcres\passerby\passerby154															
passerby157	普通npc	spr\npcres\passerby\passerby157															
passerby159	普通npc	spr\npcres\passerby\passerby159															
passerby163	普通npc	spr\npcres\passerby\passerby163															
passerby164	普通npc	spr\npcres\passerby\passerby164															
passerby165	普通npc	spr\npcres\passerby\passerby165															
passerby167	普通npc	spr\npcres\passerby\passerby167															
passerby168	普通npc	spr\npcres\passerby\passerby168															
passerby169	普通npc	spr\npcres\passerby\passerby169															
passerby170	普通npc	spr\npcres\passerby\passerby170															
passerby171	普通npc	spr\npcres\passerby\passerby171															
passerby172	普通npc	spr\npcres\passerby\passerby172															
passerby173	普通npc	spr\npcres\passerby\passerby173															
passerby174	普通npc	spr\npcres\passerby\passerby174															
passerby175	普通npc	spr\npcres\passerby\passerby175															
passerby176	普通npc	spr\npcres\passerby\passerby176															
passerby177	普通npc	spr\npcres\passerby\passerby177															
passerby178	普通npc	spr\npcres\passerby\passerby178															
passerby179	普通npc	spr\npcres\passerby\passerby179															
passerby180	普通npc	spr\npcres\passerby\passerby180															
passerby181	普通npc	spr\npcres\passerby\passerby181															
passerby182	普通npc	spr\npcres\passerby\passerby182															
passerby183	普通npc	spr\npcres\passerby\passerby183															
passerby184	普通npc	spr\npcres\passerby\passerby184															
passerby185	普通npc	spr\npcres\passerby\passerby185															
passerby186	普通npc	spr\npcres\passerby\passerby186															
passerby187	普通npc	spr\npcres\passerby\passerby187															
passerby188	普通npc	spr\npcres\passerby\passerby188															
passerby189	普通npc	spr\npcres\passerby\passerby189															
passerby190	普通npc	spr\npcres\passerby\passerby190															
passerby191	普通npc	spr\npcres\passerby\passerby191															
passerby192	普通npc	spr\npcres\passerby\passerby192															
passerby004_4	普通npc	spr\npcres\passerby\passerby004															
passerby006_4	普通npc	spr\npcres\passerby\passerby006															
passerby007_1	普通npc	spr\npcres\passerby\passerby007															
passerby011_4	普通npc	spr\npcres\passerby\passerby011															
passerby036_4	普通npc	spr\npcres\passerby\passerby036															
passerby037_4	普通npc	spr\npcres\passerby\passerby037															
passerby040_4	普通npc	spr\npcres\passerby\passerby040															
passerby043_1	普通npc	spr\npcres\passerby\passerby043															
passerby044_1	普通npc	spr\npcres\passerby\passerby044															
passerby045_1	普通npc	spr\npcres\passerby\passerby045															
passerby059_1	普通npc	spr\npcres\passerby\passerby059															
passerby067_4	普通npc	spr\npcres\passerby\passerby067															
passerby067_5	普通npc	spr\npcres\passerby\passerby067															
passerby067_6	普通npc	spr\npcres\passerby\passerby067															
passerby068_4	普通npc	spr\npcres\passerby\passerby068															
passerby068_5	普通npc	spr\npcres\passerby\passerby068															
passerby068_6	普通npc	spr\npcres\passerby\passerby068															
passerby072_4	普通npc	spr\npcres\passerby\passerby072															
passerby074_4	普通npc	spr\npcres\passerby\passerby074															
passerby074_5	普通npc	spr\npcres\passerby\passerby074															
passerby074_6	普通npc	spr\npcres\passerby\passerby074															
passerby075_4	普通npc	spr\npcres\passerby\passerby075															
passerby076_4	普通npc	spr\npcres\passerby\passerby076															
critter008	普通npc	spr\npcres\critter\critter008															
critter016	普通npc	spr\npcres\critter\critter016															
critter017	普通npc	spr\npcres\critter\critter017															
critter018	普通npc	spr\npcres\critter\critter018															
critter019	普通npc	spr\npcres\critter\critter019															
critter020	普通npc	spr\npcres\critter\critter020															
critter021	普通npc	spr\npcres\critter\critter021															
critter022	普通npc	spr\npcres\critter\critter022															
critter023	普通npc	spr\npcres\critter\critter023															
critter024	普通npc	spr\npcres\critter\critter024															
critter025	普通npc	spr\npcres\critter\critter025															
critter026	普通npc	spr\npcres\critter\critter026															
critter027	普通npc	spr\npcres\critter\critter027															
critter028	普通npc	spr\npcres\critter\critter028															
critter029	普通npc	spr\npcres\critter\critter029															
critter030	普通npc	spr\npcres\critter\critter030															
critter031	普通npc	spr\npcres\critter\critter031															
critter032	普通npc	spr\npcres\critter\critter032															
critter033	普通npc	spr\npcres\critter\critter033															
critter034	普通npc	spr\npcres\critter\critter034															
critter035	普通npc	spr\npcres\critter\critter035															
critter036	普通npc	spr\npcres\critter\critter036															
critter037	普通npc	spr\npcres\critter\critter037															
critter038	普通npc	spr\npcres\critter\critter038															
critter039	普通npc	spr\npcres\critter\critter039															
critter040	普通npc	spr\npcres\critter\critter040															
critter041	普通npc	spr\npcres\critter\critter041															
critter042	普通npc	spr\npcres\critter\critter042															
critter043	普通npc	spr\npcres\critter\critter043															
critter044	普通npc	spr\npcres\critter\critter044															
critter045	普通npc	spr\npcres\critter\critter045															
boss001	普通npc	spr\npcres\boss\boss001															
boss002	普通npc	spr\npcres\boss\boss002															
boss005	普通npc	spr\npcres\boss\boss005															
boss011	普通npc	spr\npcres\boss\boss011															
boss014	普通npc	spr\npcres\boss\boss014															
boss015	普通npc	spr\npcres\boss\boss015															
boss018	普通npc	spr\npcres\boss\boss018															
boss008	普通npc	spr\npcres\boss\boss008															
boss012	普通npc	spr\npcres\boss\boss012															
boss006	普通npc	spr\npcres\boss\boss006															
enemy195	普通npc	spr\npcres\enemy\enemy195															
enemy196	普通npc	spr\npcres\enemy\enemy196															
enemy197	普通npc	spr\npcres\enemy\enemy197															
enemy198	普通npc	spr\npcres\enemy\enemy198															
passerby193	普通npc	spr\npcres\passerby\passerby193															
passerby194	普通npc	spr\npcres\passerby\passerby194															
passerby195	普通npc	spr\npcres\passerby\passerby195															
passerby196	普通npc	spr\npcres\passerby\passerby196															
passerby197	普通npc	spr\npcres\passerby\passerby197															
passerby198	普通npc	spr\npcres\passerby\passerby198															
passerby199	普通npc	spr\npcres\passerby\passerby199															
passerby200	普通npc	spr\npcres\passerby\passerby200															
enemy199	普通npc	spr\npcres\enemy\enemy199															
enemy200	普通npc	spr\npcres\enemy\enemy200															
enemy201	普通npc	spr\npcres\enemy\enemy201															
enemy202	普通npc	spr\npcres\enemy\enemy202															
enemy203	普通npc	spr\npcres\enemy\enemy203															
enemy204	普通npc	spr\npcres\enemy\enemy204															
enemy205	普通npc	spr\npcres\enemy\enemy205															
enemy206	普通npc	spr\npcres\enemy\enemy206															
enemy207	普通npc	spr\npcres\enemy\enemy207															
enemy208	普通npc	spr\npcres\enemy\enemy208															
npc050111001	普通npc	spr\npcres\event\npc050111001															
npc050111002	普通npc	spr\npcres\event\npc050111002															
npc050111003	普通npc	spr\npcres\event\npc050111003															
npc050111004	普通npc	spr\npcres\event\npc050111004															
npc050111005	普通npc	spr\npcres\event\npc050111005															
