Number	Level	Point	Skill	PhucDuyen	DanhVong	Money
345	175	1730	346	1775	1775	34600000
346	175	1735	347	1780	1780	34700000
347	175	1740	348	1785	1785	34800000
348	175	1745	349	1790	1790	34900000
349	175	1750	350	1795	1795	35000000
350	175	1755	351	1800	1800	35100000
351	175	1760	352	1805	1805	35200000
352	175	1765	353	1810	1810	35300000
353	175	1770	354	1815	1815	35400000
354	175	1775	355	1820	1820	35500000
355	175	1780	356	1825	1825	35600000
356	175	1785	357	1830	1830	35700000
357	175	1790	358	1835	1835	35800000
358	175	1795	359	1840	1840	35900000
359	175	1800	360	1845	1845	36000000
360	175	1805	361	1850	1850	36100000
361	175	1810	362	1855	1855	36200000
362	175	1815	363	1860	1860	36300000
363	175	1820	364	1865	1865	36400000
364	175	1825	365	1870	1870	36500000
365	175	1830	366	1875	1875	36600000
366	175	1835	367	1880	1880	36700000
367	175	1840	368	1885	1885	36800000
368	175	1845	369	1890	1890	36900000
369	175	1850	370	1895	1895	37000000
370	175	1855	371	1900	1900	37100000
371	175	1860	372	1905	1905	37200000
372	175	1865	373	1910	1910	37300000
373	175	1870	374	1915	1915	37400000
374	175	1875	375	1920	1920	37500000
375	175	1880	376	1925	1925	37600000
376	175	1885	377	1930	1930	37700000
377	175	1890	378	1935	1935	37800000
378	175	1895	379	1940	1940	37900000
379	175	1900	380	1945	1945	38000000
380	175	1905	381	1950	1950	38100000
381	175	1910	382	1955	1955	38200000
382	175	1915	383	1960	1960	38300000
383	175	1920	384	1965	1965	38400000
384	175	1925	385	1970	1970	38500000
385	180	1930	386	1975	1975	38600000
386	180	1935	387	1980	1980	38700000
387	180	1940	388	1985	1985	38800000
388	180	1945	389	1990	1990	38900000
389	180	1950	390	1995	1995	39000000
390	180	1955	391	2000	2000	39100000
391	180	1960	392	2005	2005	39200000
392	180	1965	393	2010	2010	39300000
393	180	1970	394	2015	2015	39400000
394	180	1975	395	2020	2020	39500000
395	180	1980	396	2025	2025	39600000
396	180	1985	397	2030	2030	39700000
397	180	1990	398	2035	2035	39800000
398	180	1995	399	2040	2040	39900000
399	180	2000	400	2045	2045	40000000
400	180	2005	401	2050	2050	40100000
401	180	2010	402	2055	2055	40200000
402	180	2015	403	2060	2060	40300000
403	180	2020	404	2065	2065	40400000
404	180	2025	405	2070	2070	40500000
405	180	2030	406	2075	2075	40600000
406	180	2035	407	2080	2080	40700000
407	180	2040	408	2085	2085	40800000
408	180	2045	409	2090	2090	40900000
409	180	2050	410	2095	2095	41000000
410	180	2055	411	2100	2100	41100000
411	180	2060	412	2105	2105	41200000
412	180	2065	413	2110	2110	41300000
413	180	2070	414	2115	2115	41400000
414	180	2075	415	2120	2120	41500000
415	180	2080	416	2125	2125	41600000
416	180	2085	417	2130	2130	41700000
417	180	2090	418	2135	2135	41800000
418	180	2095	419	2140	2140	41900000
419	180	2100	420	2145	2145	42000000
420	180	2105	421	2150	2150	42100000
421	180	2110	422	2155	2155	42200000
422	180	2115	423	2160	2160	42300000
423	180	2120	424	2165	2165	42400000
424	180	2125	425	2170	2170	42500000
425	180	2130	426	2175	2175	42600000
426	180	2135	427	2180	2180	42700000
427	180	2140	428	2185	2185	42800000
428	180	2145	429	2190	2190	42900000
429	180	2150	430	2195	2195	43000000
430	180	2155	431	2200	2200	43100000
431	180	2160	432	2205	2205	43200000
432	180	2165	433	2210	2210	43300000
433	180	2170	434	2215	2215	43400000
434	180	2175	435	2220	2220	43500000
435	180	2180	436	2225	2225	43600000
436	180	2185	437	2230	2230	43700000
437	180	2190	438	2235	2235	43800000
438	180	2195	439	2240	2240	43900000
439	180	2200	440	2245	2245	44000000
440	180	2205	441	2250	2250	44100000
441	180	2210	442	2255	2255	44200000
442	180	2215	443	2260	2260	44300000
443	180	2220	444	2265	2265	44400000
444	180	2225	445	2270	2270	44500000
445	185	2230	446	2275	2275	44600000
446	185	2235	447	2280	2280	44700000
447	185	2240	448	2285	2285	44800000
448	185	2245	449	2290	2290	44900000
449	185	2250	450	2295	2295	45000000
450	185	2255	451	2300	2300	45100000
451	185	2260	452	2305	2305	45200000
452	185	2265	453	2310	2310	45300000
453	185	2270	454	2315	2315	45400000
454	185	2275	455	2320	2320	45500000
455	185	2280	456	2325	2325	45600000
456	185	2285	457	2330	2330	45700000
457	185	2290	458	2335	2335	45800000
458	185	2295	459	2340	2340	45900000
459	185	2300	460	2345	2345	46000000
460	185	2305	461	2350	2350	46100000
461	185	2310	462	2355	2355	46200000
462	185	2315	463	2360	2360	46300000
463	185	2320	464	2365	2365	46400000
464	185	2325	465	2370	2370	46500000
465	185	2330	466	2375	2375	46600000
466	185	2335	467	2380	2380	46700000
467	185	2340	468	2385	2385	46800000
468	185	2345	469	2390	2390	46900000
469	185	2350	470	2395	2395	47000000
470	185	2355	471	2400	2400	47100000
471	185	2360	472	2405	2405	47200000
472	185	2365	473	2410	2410	47300000
473	185	2370	474	2415	2415	47400000
474	185	2375	475	2420	2420	47500000
475	185	2380	476	2425	2425	47600000
476	185	2385	477	2430	2430	47700000
477	185	2390	478	2435	2435	47800000
478	185	2395	479	2440	2440	47900000
479	185	2400	480	2445	2445	48000000
480	185	2405	481	2450	2450	48100000
481	185	2410	482	2455	2455	48200000
482	185	2415	483	2460	2460	48300000
483	185	2420	484	2465	2465	48400000
484	185	2425	485	2470	2470	48500000
485	190	2430	486	2475	2475	48600000
486	190	2435	487	2480	2480	48700000
487	190	2440	488	2485	2485	48800000
488	190	2445	489	2490	2490	48900000
489	190	2450	490	2495	2495	49000000
490	190	2455	491	2500	2500	49100000
491	190	2460	492	2505	2505	49200000
492	190	2465	493	2510	2510	49300000
493	190	2470	494	2515	2515	49400000
494	190	2475	495	2520	2520	49500000
495	190	2480	496	2525	2525	49600000
496	190	2485	497	2530	2530	49700000
497	190	2490	498	2535	2535	49800000
498	190	2495	499	2540	2540	49900000
499	190	2500	500	2545	2545	50000000
500	190	2505	501	2550	2550	50100000
501	190	2510	502	2555	2555	50200000
502	190	2515	503	2560	2560	50300000
503	190	2520	504	2565	2565	50400000
504	190	2525	505	2570	2570	50500000
505	190	2530	506	2575	2575	50600000
506	190	2535	507	2580	2580	50700000
507	190	2540	508	2585	2585	50800000
508	190	2545	509	2590	2590	50900000
509	190	2550	510	2595	2595	51000000
510	190	2555	511	2600	2600	51100000
511	190	2560	512	2605	2605	51200000
512	190	2565	513	2610	2610	51300000
513	190	2570	514	2615	2615	51400000
514	190	2575	515	2620	2620	51500000
515	190	2580	516	2625	2625	51600000
516	190	2585	517	2630	2630	51700000
517	190	2590	518	2635	2635	51800000
518	190	2595	519	2640	2640	51900000
519	190	2600	520	2645	2645	52000000
520	190	2605	521	2650	2650	52100000
521	190	2610	522	2655	2655	52200000
522	190	2615	523	2660	2660	52300000
523	190	2620	524	2665	2665	52400000
524	190	2625	525	2670	2670	52500000
525	190	2630	526	2675	2675	52600000
526	190	2635	527	2680	2680	52700000
527	190	2640	528	2685	2685	52800000
528	190	2645	529	2690	2690	52900000
529	190	2650	530	2695	2695	53000000
530	190	2655	531	2700	2700	53100000
531	190	2660	532	2705	2705	53200000
532	190	2665	533	2710	2710	53300000
533	190	2670	534	2715	2715	53400000
534	190	2675	535	2720	2720	53500000
535	195	2680	536	2725	2725	53600000
536	195	2685	537	2730	2730	53700000
537	195	2690	538	2735	2735	53800000
538	195	2695	539	2740	2740	53900000
539	195	2700	540	2745	2745	54000000
540	195	2705	541	2750	2750	54100000
541	195	2710	542	2755	2755	54200000
542	195	2715	543	2760	2760	54300000
543	195	2720	544	2765	2765	54400000
544	195	2725	545	2770	2770	54500000
545	195	2730	546	2775	2775	54600000
546	195	2735	547	2780	2780	54700000
547	195	2740	548	2785	2785	54800000
548	195	2745	549	2790	2790	54900000
549	195	2750	550	2795	2795	55000000
550	195	2755	551	2800	2800	55100000
551	195	2760	552	2805	2805	55200000
552	195	2765	553	2810	2810	55300000
553	195	2770	554	2815	2815	55400000
554	195	2775	555	2820	2820	55500000
555	195	2780	556	2825	2825	55600000
556	195	2785	557	2830	2830	55700000
557	195	2790	558	2835	2835	55800000
558	195	2795	559	2840	2840	55900000
559	195	2800	560	2845	2845	56000000
560	195	2805	561	2850	2850	56100000
561	195	2810	562	2855	2855	56200000
562	195	2815	563	2860	2860	56300000
563	195	2820	564	2865	2865	56400000
564	195	2825	565	2870	2870	56500000
565	195	2830	566	2875	2875	56600000
566	195	2835	567	2880	2880	56700000
567	195	2840	568	2885	2885	56800000
568	195	2845	569	2890	2890	56900000
569	195	2850	570	2895	2895	57000000
570	195	2855	571	2900	2900	57100000
571	195	2860	572	2905	2905	57200000
572	195	2865	573	2910	2910	57300000
573	195	2870	574	2915	2915	57400000
574	195	2875	575	2920	2920	57500000
575	195	2880	576	2925	2925	57600000
576	195	2885	577	2930	2930	57700000
577	195	2890	578	2935	2935	57800000
578	195	2895	579	2940	2940	57900000
579	195	2900	580	2945	2945	58000000
580	195	2905	581	2950	2950	58100000
581	195	2910	582	2955	2955	58200000
582	195	2915	583	2960	2960	58300000
583	195	2920	584	2965	2965	58400000
584	195	2925	585	2970	2970	58500000
585	195	2930	586	2975	2975	58600000
586	195	2935	587	2980	2980	58700000
587	195	2940	588	2985	2985	58800000
588	195	2945	589	2990	2990	58900000
589	195	2950	590	2995	2995	59000000
590	195	2955	591	3000	3000	59100000
591	195	2960	592	3005	3005	59200000
592	195	2965	593	3010	3010	59300000
593	195	2970	594	3015	3015	59400000
594	195	2975	595	3020	3020	59500000
595	200	2980	596	3025	3025	59600000
596	200	2985	597	3030	3030	59700000
597	200	2990	598	3035	3035	59800000
598	200	2995	599	3040	3040	59900000
599	200	3000	600	3045	3045	60000000
600	200	3005	601	3050	3050	60100000
601	200	3010	602	3055	3055	60200000
602	200	3015	603	3060	3060	60300000
603	200	3020	604	3065	3065	60400000
604	200	3025	605	3070	3070	60500000
605	200	3030	606	3075	3075	60600000
606	200	3035	607	3080	3080	60700000
607	200	3040	608	3085	3085	60800000
608	200	3045	609	3090	3090	60900000
609	200	3050	610	3095	3095	61000000
610	200	3055	611	3100	3100	61100000
611	200	3060	612	3105	3105	61200000
612	200	3065	613	3110	3110	61300000
613	200	3070	614	3115	3115	61400000
614	200	3075	615	3120	3120	61500000
615	200	3080	616	3125	3125	61600000
616	200	3085	617	3130	3130	61700000
617	200	3090	618	3135	3135	61800000
618	200	3095	619	3140	3140	61900000
619	200	3100	620	3145	3145	62000000
620	200	3105	621	3150	3150	62100000
621	200	3110	622	3155	3155	62200000
622	200	3115	623	3160	3160	62300000
623	200	3120	624	3165	3165	62400000
624	200	3125	625	3170	3170	62500000
625	200	3130	626	3175	3175	62600000
626	200	3135	627	3180	3180	62700000
627	200	3140	628	3185	3185	62800000
628	200	3145	629	3190	3190	62900000
629	200	3150	630	3195	3195	63000000
630	200	3155	631	3200	3200	63100000
631	200	3160	632	3205	3205	63200000
632	200	3165	633	3210	3210	63300000
633	200	3170	634	3215	3215	63400000
634	200	3175	635	3220	3220	63500000
635	200	3180	636	3225	3225	63600000
636	200	3185	637	3230	3230	63700000
637	200	3190	638	3235	3235	63800000
638	200	3195	639	3240	3240	63900000
639	200	3200	640	3245	3245	64000000
640	200	3205	641	3250	3250	64100000
641	200	3210	642	3255	3255	64200000
642	200	3215	643	3260	3260	64300000
643	200	3220	644	3265	3265	64400000
644	200	3225	645	3270	3270	64500000
645	200	3230	646	3275	3275	64600000
646	200	3235	647	3280	3280	64700000
647	200	3240	648	3285	3285	64800000
648	200	3245	649	3290	3290	64900000
649	200	3250	650	3295	3295	65000000
650	200	3255	651	3300	3300	65100000
651	200	3260	652	3305	3305	65200000
652	200	3265	653	3310	3310	65300000
653	200	3270	654	3315	3315	65400000
654	200	3275	655	3320	3320	65500000
655	200	3280	656	3325	3325	65600000
656	200	3285	657	3330	3330	65700000
657	200	3290	658	3335	3335	65800000
658	200	3295	659	3340	3340	65900000
659	200	3300	660	3345	3345	66000000
660	200	3305	661	3350	3350	66100000
661	200	3310	662	3355	3355	66200000
662	200	3315	663	3360	3360	66300000
663	200	3320	664	3365	3365	66400000
664	200	3325	665	3370	3370	66500000
665	200	3330	666	3375	3375	66600000
666	200	3335	667	3380	3380	66700000
667	200	3340	668	3385	3385	66800000
668	200	3345	669	3390	3390	66900000
669	200	3350	670	3395	3395	67000000
670	200	3355	671	3400	3400	67100000
671	200	3360	672	3405	3405	67200000
672	200	3365	673	3410	3410	67300000
673	200	3370	674	3415	3415	67400000
674	200	3375	675	3420	3420	67500000
675	200	3380	676	3425	3425	67600000
676	200	3385	677	3430	3430	67700000
677	200	3390	678	3435	3435	67800000
678	200	3395	679	3440	3440	67900000
679	200	3400	680	3445	3445	68000000
680	200	3405	681	3450	3450	68100000
681	200	3410	682	3455	3455	68200000
682	200	3415	683	3460	3460	68300000
683	200	3420	684	3465	3465	68400000
684	200	3425	685	3470	3470	68500000
685	200	3430	686	3475	3475	68600000
686	200	3435	687	3480	3480	68700000
687	200	3440	688	3485	3485	68800000
688	200	3445	689	3490	3490	68900000
689	200	3450	690	3495	3495	69000000
690	200	3455	691	3500	3500	69100000
691	200	3460	692	3505	3505	69200000
692	200	3465	693	3510	3510	69300000
693	200	3470	694	3515	3515	69400000
694	200	3475	695	3520	3520	69500000
695	200	3480	696	3525	3525	69600000
696	200	3485	697	3530	3530	69700000
697	200	3490	698	3535	3535	69800000
698	200	3495	699	3540	3540	69900000
699	200	3500	700	3545	3545	70000000
700	200	3505	701	3550	3550	70100000
701	200	3510	702	3555	3555	70200000
702	200	3515	703	3560	3560	70300000
703	200	3520	704	3565	3565	70400000
704	200	3525	705	3570	3570	70500000
705	200	3530	706	3575	3575	70600000
706	200	3535	707	3580	3580	70700000
707	200	3540	708	3585	3585	70800000
708	200	3545	709	3590	3590	70900000
709	200	3550	710	3595	3595	71000000
710	200	3555	711	3600	3600	71100000
711	200	3560	712	3605	3605	71200000
712	200	3565	713	3610	3610	71300000
713	200	3570	714	3615	3615	71400000
714	200	3575	715	3620	3620	71500000
715	200	3580	716	3625	3625	71600000
716	200	3585	717	3630	3630	71700000
717	200	3590	718	3635	3635	71800000
718	200	3595	719	3640	3640	71900000
719	200	3600	720	3645	3645	72000000
720	200	3605	721	3650	3650	72100000
721	200	3610	722	3655	3655	72200000
722	200	3615	723	3660	3660	72300000
723	200	3620	724	3665	3665	72400000
724	200	3625	725	3670	3670	72500000
725	200	3630	726	3675	3675	72600000
726	200	3635	727	3680	3680	72700000
727	200	3640	728	3685	3685	72800000
728	200	3645	729	3690	3690	72900000
729	200	3650	730	3695	3695	73000000
730	200	3655	731	3700	3700	73100000
731	200	3660	732	3705	3705	73200000
732	200	3665	733	3710	3710	73300000
733	200	3670	734	3715	3715	73400000
734	200	3675	735	3720	3720	73500000
735	200	3680	736	3725	3725	73600000
736	200	3685	737	3730	3730	73700000
737	200	3690	738	3735	3735	73800000
738	200	3695	739	3740	3740	73900000
739	200	3700	740	3745	3745	74000000
740	200	3705	741	3750	3750	74100000
741	200	3710	742	3755	3755	74200000
742	200	3715	743	3760	3760	74300000
743	200	3720	744	3765	3765	74400000
744	200	3725	745	3770	3770	74500000
745	200	3730	746	3775	3775	74600000
746	200	3735	747	3780	3780	74700000
747	200	3740	748	3785	3785	74800000
748	200	3745	749	3790	3790	74900000
749	200	3750	750	3795	3795	75000000
750	200	3755	751	3800	3800	75100000
751	200	3760	752	3805	3805	75200000
752	200	3765	753	3810	3810	75300000
753	200	3770	754	3815	3815	75400000
754	200	3775	755	3820	3820	75500000
755	200	3780	756	3825	3825	75600000
756	200	3785	757	3830	3830	75700000
757	200	3790	758	3835	3835	75800000
758	200	3795	759	3840	3840	75900000
759	200	3800	760	3845	3845	76000000
760	200	3805	761	3850	3850	76100000
761	200	3810	762	3855	3855	76200000
762	200	3815	763	3860	3860	76300000
763	200	3820	764	3865	3865	76400000
