道具种类	具体类别	详细类别	五行属性	等级	TypeKTC	TypeTL	TypeVD
0	0	4	4	7			
0	0	4	4	8			
0	0	4	4	9			
0	0	4	4	10			
0	0	5	0	1			
0	0	5	0	2			
0	0	5	0	3			
0	0	5	0	4			
0	0	5	0	5			
0	0	5	0	6			
0	0	5	0	7			
0	0	5	0	8			
0	0	5	0	9			
0	0	5	0	10			
0	1	0	1	1			
0	1	0	1	2			
0	1	0	1	3			
0	1	0	1	4			
0	1	0	1	5			
0	1	0	1	6			
0	1	0	1	7			
0	1	0	1	8			
0	1	0	1	9			
0	1	0	1	10			
0	1	1	1	1			
0	1	1	1	2			
0	1	1	1	3			
0	1	1	1	4			
0	1	1	1	5			
0	1	1	1	6			
0	1	1	1	7			
0	1	1	1	8			
0	1	1	1	9			
0	1	1	1	10			
0	1	2	1	1			
0	1	2	1	2			
0	1	2	1	3			
0	1	2	1	4			
0	1	2	1	5			
0	1	2	1	6			
0	1	2	1	7			
0	1	2	1	8			
0	1	2	1	9			
0	1	2	1	10			
0	10	0	0	1			
0	10	0	0	2			
0	10	0	0	3			
0	10	0	0	4			
0	10	0	0	5			
0	10	0	0	6			
0	10	0	0	7			
0	10	0	0	8			
0	10	0	0	9			
0	10	0	0	10			
0	10	1	0	1			
0	10	1	0	2			
0	10	1	0	3			
0	10	1	0	4			
0	10	1	0	5			
0	10	1	0	6			
0	10	1	0	7			
0	10	1	0	8			
0	10	1	0	9			
0	10	1	0	10			
0	10	2	0	1			
0	10	2	0	2			
0	10	2	0	3			
0	10	2	0	4			
0	10	2	0	5			
0	10	2	0	6			
0	10	2	0	7			
0	10	2	0	8			
0	10	2	0	9			
0	10	2	0	10			
0	10	3	0	1			
0	10	3	0	2			
0	10	3	0	3			
0	10	3	0	4			
0	10	3	0	5			
0	10	3	0	6			
0	10	3	0	7			
0	10	3	0	8			
0	10	3	0	9			
0	10	3	0	10			
0	10	4	0	1			
0	10	4	0	2			
0	10	4	0	3			
0	10	4	0	4			
0	10	4	0	5			
0	10	4	0	6			
0	10	4	0	7			
0	10	4	0	8			
0	10	4	0	9			
0	10	4	0	10			
0	7	0	0	1			
1	5	0	0	1			
1	5	0	0	2			
1	5	0	0	3			
1	5	0	0	4			
1	5	0	0	5			
1	6	0	0	1			
1	6	0	0	2			
1	6	0	0	3			
1	6	0	0	4			
1	6	0	0	5			
1	7	0	0	1			
1	7	0	0	2			
1	0	0	0	1			
4	22	1	0	1	75		
4	161	1	0	1	10000		
4	43	1	0	1	75		
4	42	1	0	1	75		
4	41	1	0	1	75		
4	40	1	0	1	100		
4	39	1	0	1	100		
4	38	1	0	1	150		
4	37	1	0	1	150		
4	36	1	0	1	150		
4	35	1	0	1	300		
0	10	7	0	8	800		
0	10	6	0	1	800		
0	10	8	0	1	400		
0	10	5	0	4	80		
0	10	5	0	3	80		
0	10	5	0	1	80		
0	10	5	0	2	100		
0	10	5	0	5	150		
4	14	1	0	1	20		
4	156	1	0	1	2		
4	117	1	0	1	2		
4	118	1	0	1	2		
4	119	1	0	1	6		
4	120	1	0	1	10		
4	2	1	0	1	1		
4	19	1	0	1	200		
4	28	1	0	1	10		
4	29	1	0	1	10		
4	30	1	0	1	10		
4	31	1	0	1	5		
4	0	1	0	1	20		
4	1	1	0	1	20		
4	201	1	0	1	1		
4	209	1	0	1	100		
4	230	1	0	1	100		
4	218	1	0	1	1		
4	236	1	0	1	1		
4	700	1	0	1		400	
4	701	1	0	1		400	
4	702	1	0	1		400	
4	703	1	0	1		400	
4	704	1	0	1		400	
4	705	1	0	1		500	
4	706	1	0	1		400	
4	707	1	0	1		400	
4	708	1	0	1		400	
4	709	1	0	1		400	
1	10	0	0	1		20	
1	10	0	0	2		15	
4	25	1	0	1			500
4	26	1	0	1			5000
4	27	1	0	1			1000
4	32	1	0	1			500
4	33	1	0	1			3000
4	34	1	0	1			2000
4	54	1	0	1			500
4	74	1	0	1		100000	
4	55	1	0	1			700
4	56	1	0	1			140
4	57	1	0	1			70
4	58	1	0	1			14
4	59	1	0	2			300
4	165	1	0	1		10000	
4	103	1	0	1			
4	104	1	0	1			
4	105	1	0	1			
4	128	1	0	1	5		
4	185	1	0	1	1		
4	186	1	0	1	10		
4	109	1	0	1			
4	110	1	0	1			
4	111	1	0	1			
4	117	1	0	1			
4	118	1	0	1			
4	119	1	0	1			
4	120	1	0	1			
4	19	1	0	1			
4	22	1	0	1			
0	3	31	2	1			500000
0	3	32	3	1			500000
4	48	1	0	1			
4	35	1	0	1			5000
4	36	1	0	1			2500
4	37	1	0	1			2500
4	38	1	0	1			2500
4	28	1	0	1		20000	
4	29	1	0	1		20000	
4	30	1	0	1		20000	
4	31	1	0	1		11500	
4	17	1	0	1	20		
4	165	1	0	1	10		
4	115	1	0	1	5		
4	116	1	0	1	10		
4	156	1	0	1	2		
4	59	1	0	1	2		
4	135	1	0	1	2		
4	186	1	0	1	4		
4	187	1	0	1	5		
4	188	1	0	1	10		
0	2	28	0	1			
0	2	28	0	2			
0	2	28	0	3			
0	2	28	0	4			
0	2	28	0	5			
0	2	28	0	6			
0	2	28	0	7			
0	2	28	0	8			
4	60	1	0	1	1		
4	22	1	0	1	4		
4	59	1	0	1	1		
4	251	1	0	1	5		
4	252	1	0	1	50		
4	262	1	0	1	5		
4	263	1	0	1	10		
0	10	8	0	1	500		
0	10	6	0	1	1000		
4	161	1	0	1	100		
4	22	1	0	1	1		
4	265	1	0	1	20		
4	206	1	0	1	5		
4	75	1	0	1	15		
4	76	1	0	1	15		
4	77	1	0	1	15		
4	78	1	0	1	15		
4	79	1	0	1	15		
4	80	1	0	1	15		
4	81	1	0	1	15		
4	82	1	0	1	15		
4	83	1	0	1	15		
4	84	1	0	1	15		
4	85	1	0	1	15		
4	86	1	0	1	15		
4	87	1	0	1	15		
4	88	1	0	1	15		
4	89	1	0	1	15		
4	90	1	0	1	15		
4	91	1	0	1	15		
4	92	1	0	1	15		
4	93	1	0	1	15		
4	94	1	0	1	15		
4	95	1	0	1	15		
4	96	1	0	1	15		
4	97	1	0	1	15		
4	98	1	0	1	15		
4	99	1	0	1	15		
4	100	1	0	1	15		
4	101	1	0	1	15		
4	102	1	0	1	15		
4	164	1	0	1	500		
4	410	1	0	1	12		
4	415	1	0	1	100		
4	414	1	0	1	2		
4	566	1	0	1	200		
4	35	1	0	1	200		
4	36	1	0	1	150		
4	37	1	0	1	150		
4	38	1	0	1	100		
4	39	1	0	1	25		
4	40	1	0	1	25		
4	41	1	0	1	20		
4	42	1	0	1	20		
4	43	1	0	1	20		
4	165	1	0	1	10		
4	129	1	0	1	10		
4	577	1	0	1	5		
4	44	1	0	1	1		
4	588	1	0	1	100		
4	411	1	0	1	4		
4	600	1	0	1	100		
4	601	1	0	1	50		
4	602	1	0	1	50		
4	603	1	0	1	50		
4	604	1	0	1	50		
4	605	1	0	1	50		
4	606	1	0	1	40		
4	607	1	0	1	40		
4	608	1	0	1	40		
4	14	1	0	1	20		
4	339	1	0	1	20		
4	27	1	0	1	10		
4	598	1	0	1	1		
4	622	1	0	1	200		
4	651	1	0	1	200		
4	652	1	0	1	300		
4	653	1	0	1	200		
4	654	1	0	1	200		
4	655	1	0	1	500		
4	656	1	0	1	2		
4	674	1	0	1	100		
4	675	1	0	1		1000	
4	676	1	0	1		1000	
4	687	1	0	1	100		
4	108	1	0	1			
4	112	1	0	1			
4	107	1	0	1			
4	110	1	0	1			
4	111	1	0	1			
4	109	1	0	1			
4	104	1	0	1			
4	105	1	0	1			
4	103	1	0	1			
4	74	1	0	1	50		
4	919	1	0	1	5		
4	920	1	0	1	10		
4	686	1	0	1		1000	
4	686	1	0	1	2		
