µÈ¼¶	chuyensinh0	chuyensinh1	chuyensinh2	chuyensinh3	chuyensinh4	chuyensinh5	
123	600000000	2000000000	200000	48000000	96000000	96000000	
124	600000000	2000000000	200000	48000000	96000000	96000000	
125	800000000	2000000000	800000	57600000	115200000	115200000	
126	800000000	40000000	800000	57600000	115200000	115200000	
127	800000000	40000000	800000	57600000	115200000	115200000	
128	800000000	40000000	800000	57600000	115200000	115200000	
129	800000000	40000000	800000	57600000	115200000	115200000	
130	1000000000	40000000	1800000	76800000	153600000	153600000	
131	1000000000	60000000	1800000	76800000	153600000	153600000	
132	1000000000	60000000	1800000	76800000	153600000	153600000	
133	1000000000	60000000	1800000	76800000	153600000	153600000	
134	1000000000	60000000	1800000	76800000	153600000	153600000	
135	1500000000	60000000	3200000	96000000	192000000	192000000	
136	1500000000	80000000	3200000	96000000	192000000	192000000	
137	1500000000	80000000	3200000	96000000	192000000	192000000	
138	1500000000	80000000	3200000	96000000	192000000	192000000	
139	1500000000	80000000	3200000	96000000	192000000	192000000	
140	1500000000	80000000	5000000	144000000	288000000	288000000	
141	1800000000	100000000	5000000	144000000	288000000	288000000	
142	1800000000	100000000	5000000	144000000	288000000	288000000	
143	1800000000	100000000	5000000	144000000	288000000	288000000	
144	1800000000	100000000	5000000	144000000	288000000	288000000	
145	2000000000	100000000	7200000	172800000	345600000	345600000	
146	2000000000	120000000	7200000	172800000	345600000	345600000	
147	2000000000	120000000	7200000	172800000	345600000	345600000	
148	2000000000	120000000	7200000	172800000	345600000	345600000	
149	2000000000	120000000	7200000	172800000	345600000	345600000	
150	2000000000	120000000	9800000	192000000	384000000	384000000	
151	2000000000	140000000	9800000	192000000	384000000	384000000	
152	2000000000	140000000	9800000	192000000	384000000	384000000	
153	2000000000	140000000	9800000	192000000	384000000	384000000	
154	2000000000	140000000	9800000	192000000	384000000	384000000	
155	2000000000	140000000	12800000	240000000	480000000	480000000	
156	2000000000	160000000	12800000	240000000	480000000	480000000	
157	2000000000	160000000	12800000	240000000	480000000	480000000	
158	2000000000	160000000	12800000	240000000	480000000	480000000	
159	2000000000	160000000	12800000	240000000	480000000	480000000	
160	2000000000	160000000	16200000	336000000	672000000	672000000	
161	2000000000	180000000	16200000	336000000	672000000	672000000	
162	2000000000	180000000	16200000	336000000	672000000	672000000	
163	2000000000	180000000	16200000	336000000	672000000	672000000	
164	2000000000	180000000	16200000	336000000	672000000	672000000	
165	2000000000	180000000	20000000	432000000	864000000	864000000	
166	2000000000	200000000	20000000	432000000	864000000	864000000	
167	2000000000	200000000	20000000	432000000	864000000	864000000	
168	2000000000	200000000	20000000	432000000	864000000	864000000	
169	2000000000	200000000	20000000	432000000	864000000	864000000	
170	2000000000	200000000	24200000	480000000	960000000	960000000	
171	2000000000	220000000	24200000	480000000	960000000	960000000	
172	2000000000	220000000	24200000	480000000	960000000	960000000	
173	2000000000	220000000	24200000	480000000	960000000	960000000	
174	2000000000	220000000	24200000	480000000	960000000	960000000	
175	2000000000	220000000	28800000	576000000	1152000000	1152000000	
176	2000000000	240000000	28800000	576000000	1152000000	1152000000	
177	2000000000	240000000	28800000	576000000	1152000000	1152000000	
178	2000000000	240000000	28800000	576000000	1152000000	1152000000	
179	2000000000	240000000	28800000	576000000	1152000000	1152000000	
180	2000000000	240000000	33800000	672000000	1344000000	1344000000	
181	2000000000	260000000	33800000	672000000	1344000000	1344000000	
182	2000000000	260000000	33800000	672000000	1344000000	1344000000	
183	2000000000	260000000	33800000	672000000	1344000000	1344000000	
184	2000000000	260000000	33800000	672000000	1344000000	1344000000	
185	2000000000	260000000	39200000	768000000	1536000000	1536000000	
186	2000000000	280000000	39200000	768000000	1536000000	1536000000	
187	2000000000	280000000	39200000	768000000	1536000000	1536000000	
188	2000000000	280000000	39200000	768000000	1536000000	1536000000	
189	2000000000	280000000	39200000	768000000	1536000000	1536000000	
190	2000000000	280000000	45000000	864000000	1728000000	1728000000	
191	2000000000	300000000	45000000	864000000	1728000000	1728000000	
192	2000000000	300000000	45000000	864000000	1728000000	1728000000	
193	2000000000	300000000	45000000	864000000	1728000000	1728000000	
194	2000000000	300000000	45000000	864000000	1728000000	1728000000	
195	2000000000	300000000	51200000	960000000	1920000000	1920000000	
196	2000000000	320000000	51200000	960000000	1920000000	1920000000	
197	2000000000	320000000	51200000	960000000	1920000000	1920000000	
198	2000000000	320000000	51200000	960000000	1920000000	1920000000	
199	2000000000	320000000	51200000	960000000	1920000000	1920000000	
200	2000000000	320000000	57800000	960000000	1920000000	1920000000	
