Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
Méc Tr©m	0	7	1	\spr\item\equip\cap\obj-ma-cap04-1.spr	29	2	2	Lo¹i Tr©m C¸c §¹o sÜ th­êng dïng. 		33	1	0	30	20	20	31	8	8																36	1	32	20	 	 			38	0	37	4	0																					
Hoµng D­¬ng Méc Tr©m	0	7	1	\spr\item\equip\cap\obj-ma-cap04-1.spr	29	2	2	Lo¹i tr©m ®­îc tinh chÕ tõ c©y Hoµng D­¬ng. 		66	2	0	30	30	30	31	10	10																36	7	32	30	 	 			38	0	37	4	0																					
Cµn Kh«n kÕt	0	7	1	\spr\item\equip\cap\obj-ma-cap04-2.spr	28	2	2	Lo¹i ®ai C¸c §¹o sÜ th­êng ®eo. 		133	3	0	30	45	45	31	12	12																36	13	32	40	 	 			38	0	37	4	0																					
Th¸i cùc Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap04-3.spr	28	2	2	Lo¹i mò C¸c §¹o sÜ th­êng ®eo. 		233	4	0	30	60	60	31	14	14																36	19	32	50	 	 			38	0	37	4	0																					
B¸t Qu¸i C©n	0	7	1	\spr\item\equip\cap\obj-ma-cap05-1.spr	28	2	2	"Lo¹i kh¨n §¹o sÜ th­êng quÊn, lµm b»ng lôa th­îng ®¼ng. "		333	5	0	30	75	75	31	16	16																36	26	32	60	 	 			38	0	37	4	0																					
Cµn Kh¶m C©n	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	"Lo¹i kh¨n §¹o sÜ th­êng quÊn, lµm b»ng lôa th­îng ®¼ng. . "		500	6	0	30	90	90	31	18	18																36	33	32	70	 	 			38	0	37	4	0																					
Ngò Nh¹c Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap05-3.spr	28	2	2	Lo¹i mò §¹o sÜ th­êng quÊn. . 		666	7	0	30	105	105	31	20	20																36	40	32	80	 	 			38	0	37	4	0																					
Th­îng Thanh Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-1.spr	28	2	2	chØ cã nh÷ng ®¹o sÜ nµo ®· tu luyÖn ®Õn mét tr×nh ®é nhÊt ®Þnh th× míi cã thÓ ®éi. 		833	8	0	30	120	120	31	22	22																36	46	32	90	 	 			38	0	37	4	0																					
Tinh Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-2.spr	28	2	2	"Lo¹i mò cã kh¾c tªn cña vÞ ®¹o sÜ, th­êng thÊy ë vïng Giang Nam. "		1066	9	0	30	135	135	31	24	24																36	53	32	100	 	 			38	0	37	4	0																					
Ngò L·o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-3.spr	28	2	2	Lµ mét trong nh÷ng lo¹i mò th­îng ®¼ng. 		1333	10	0	30	150	150	31	26	26																36	60	32	110	 	 			38	0	37	4	0																					
Tróc L¹p	0	7	2	\spr\item\equip\cap\obj-ma-cap07-1.spr	28	2	2	Lo¹i mò th­êng thÊy ë vïng Giang Nam. 		33	1	0	30	40	40	31	8	8																36	1	32	30	33	20			38	0			0																					
Ng­ L¹p	0	7	2	\spr\item\equip\cap\obj-ma-cap07-1.spr	28	2	2	lo¹i mò ng­ gia th­êng ®éi. 		100	2	0	30	68	68	31	10	10																36	7	32	50	33	30			38	0			0																					
ThÈm L« Th¶o M·o	0	7	2	\spr\item\equip\cap\obj-ma-cap07-2.spr	28	2	2	Lo¹i mò ®­îc tinh chÕ tõ nh÷ng loµi cá quý hiÕm. 		200	3	0	30	96	96	31	13	13																36	13	32	70	33	40			38	0			0																					
Chu Tao th¶o M·o	0	7	2	\spr\item\equip\cap\obj-ma-cap07-3.spr	28	2	2	Lo¹i mò ®­îc tinh chÕ tõ nh÷ng loµi cá quý hiÕm. o. 		333	4	0	30	124	124	31	15	15																36	19	32	90	33	50			38	0			0																					
HuyÒn Sa DiÖn Tr¸o	0	7	2	\spr\item\equip\cap\obj-ma-cap08-1.spr	28	2	2	Lo¹i ¸o s¸t thñ th­êng mÆc. 		533	5	0	30	152	152	31	17	17																36	26	32	110	33	60			38	0			0																					
Thanh S¸t diÖn tr¸o	0	7	2	\spr\item\equip\cap\obj-ma-cap08-2.spr	28	2	2	Lo¹i ¸o s¸t thñ cao cÊp th­êng mÆc. 		800	6	0	30	170	170	31	20	20																36	33	32	130	33	70			38	0			0																					
Nh©n B× DiÖn Tr¸o	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	"Nghe nãi sau khi giÕt ng­êi th× lét da lµm ¸o, o¸n khÝ cuån cuén. "		1166	7	0	30	192	192	31	22	22																36	40	32	150	33	80			38	0			0																					
Ngò §éc ph¸t kÕt	0	7	2	\spr\item\equip\cap\obj-ma-cap09-1.spr	28	2	2	Lo¹i §éc d­îc chÕ tõ n¨m loµi r¾n ®éc. 		1600	8	0	30	220	220	31	25	25																36	46	32	170	33	90			38	0			0																					
B¸ch §éc ph¸t kÕt	0	7	2	\spr\item\equip\cap\obj-ma-cap09-2.spr	28	2	2	Lo¹i §éc d­îc chÕ tõ 100 lo¹i hoa cã ®éc. 		2133	9	0	30	248	248	31	27	27																36	53	32	190	33	100			38	0			0																					
Tu La ph¸t kÕt	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	"Lµ mét dÞ vËt trªn thÕ gian, s¸t khÝ táa ra ngïn ngôt. "		2666	10	0	30	276	276	31	30	30																36	60	32	210	33	110			38	0			0																					
Nho C©n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-1.spr	28	2	2	"Lo¹i kh¨n c¸c tó tµi th­êng quÊn, ®i ®©u còng thÊy. "		40	1	0	30	40	40	31	8	8																36	1	32	30	33	30			38	0			0																					
TiÕn Kiªn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-1.spr	28	2	2	Lo¹i kh¨n c¸c tó tµi th­êng ®éi. 		106	2	0	30	70	70	31	10	10																36	7	32	45	33	45			38	0			0																					
ViÖt Mü Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-2.spr	28	2	2	Lo¹i kh¨n mò c¸c v¨n nh©n th­êng ®éi. 		250	3	0	30	100	100	31	13	13																36	13	32	60	33	60			38	0			0																					
Phi YÕn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-3.spr	28	2	2	"Lo¹i mò rÊt ®Ñp, danh sÜ ­a dïng. "		400	4	0	30	130	130	31	15	15																36	19	32	75	33	75			38	0			0																					
§iªu ThiÒn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap11-1.spr	28	2	2	"Lo¹i mò rÊt ®Ñp, danh sÜ ­a dïng. "		600	5	0	30	160	160	31	17	17																36	26	32	90	33	90			38	0			0																					
Lang Tµ Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap11-2.spr	28	2	2	"Tinh chÕ b»ng thÐp, ®éi vµo tinh lùc t¨ng lªn rÊt nhanh. "		833	6	0	30	190	190	31	20	20																36	33	32	105	33	105			38	0			0																					
Anh L¹c Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap11-3.spr	28	2	2	"Lo¹i mò rÊt ®Ñp, ®­îc kh¶m b»ng cá Anh L¹c, c¸c v¨n nh©n Nho sÜ th­êng thÝch ®éi"		1233	7	0	30	220	220	31	22	22																36	40	32	120	33	120			38	0			0																					
Tö Kim ph¸t Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-1.spr	28	2	2	"Dïng nh÷ng lo¹i b¹ch kim vµ b¶o th¹ch quý hiÕm chÕ thµnh, cù kú cao quý. "		1666	8	0	30	250	250	31	25	25																36	46	32	135	33	135			38	0			0																					
ThÊt B¶o ph¸t Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-2.spr	28	2	2	"Lµ lo¹i mò cao quý, th­êng do Hoµng Th­îng ban tÆng. "		2000	9	0	30	280	280	31	27	27																36	53	32	150	33	150			38	0			0																					
Th«ng Thiªn Ph¸t Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	"Lµ lo¹i mò cao quý, chØ cã Hoµng Th­îng míi ®­îc ®éi"		2500	10	0	30	310	310	31	30	30																36	60	32	165	33	165			38	0			0																					
§ång Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-1.spr	29	2	2	Lo¹i kh«i lµm b»ng tinh ®ång th­îng ®¼ng. 		123	1	0	30	45	45	31	10	10																36	1	32	35	 	 			38	0			0																					
B¸n DiÖn Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-1.spr	29	2	2	"Lo¹i kh«i che mét nöa mÆt phÝa tr­íc, cã thÓ chèng tªn. "		203	2	0	30	75	75	31	13	13																36	7	32	60	 	 			38	0			0																					
Song DiÖn Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-2.spr	29	2	2	"Lo¹i kh«i che kÝn ®Çu, chØ chõa hai lç m¾t ®Ó nh×n. "		373	3	0	30	105	105	31	16	16																36	13	32	85	 	 			38	0			0																					
ThiÕt Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-3.spr	29	2	2	Lo¹i kh«i lµm b»ng tinh thÐp th­îng ®¼ng. 		600	4	0	30	135	135	31	19	19																36	19	32	110	 	 			38	0			0																					
Tinh §ång §Çu Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap14-1.spr	29	2	2	Lo¹i kh«i lµm b»ng tinh ®ång th­îng ®¼ng. 		900	5	0	30	165	165	31	22	22																36	26	32	135	 	 			38	0			0																					
Cang Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap14-2.spr	29	2	2	Lo¹i kh«i b»ng thÐp nguyªn chÊt. 		1233	6	0	30	195	195	31	25	25																36	33	32	160	 	 			38	0			0																					
Ng©n Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap14-3.spr	29	2	2	Lo¹i kh«i b»ng b¹c nguyªn chÊt. 		1700	7	0	30	225	225	31	28	28																36	40	32	185	 	 			38	0			0																					
¤ Cang Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap15-1.spr	29	2	2	Lo¹i kh«i b»ng thÐp nguyªn chÊt. . 		2166	8	0	30	255	255	31	31	31																36	46	32	210	 	 			38	0			0																					
Kim Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap15-2.spr	31	2	2	"Lo¹i kh«i gi¸p b»ng vµng, kh¶ n¨ng phßng ngù rÊt cao. "		2700	9	0	30	285	285	31	34	34																36	53	32	235	 	 			38	0			0																					
YÓm NhËt Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	"Lo¹i kh«i gi¸p b»ng vµng, kh¶ n¨ng phßng ngù rÊt cao. "		3333	10	0	30	315	315	31	37	37																36	60	32	260	 	 			38	0			0																					
Ph¸ Bè C©n	0	7	5	\spr\item\equip\cap\obj-ma-cap16-1.spr	28	2	2	"Lo¹i kh¨n nh÷ng ng­êi an mµy th­êng quÊn trªn ®Çu, rÊt r¸ch n¸t. "		20	1	0	30	25	25	31	8	8																36	1	32	30	33	20			38	0			0																					
B¸t Ph­¬ng C©n	0	7	5	\spr\item\equip\cap\obj-ma-cap16-1.spr	28	2	2	"Lo¹i kh¨n nh÷ng ng­êi an mµy th­êng quÊn trªn ®Çu, h×nh nh­ còng kh«ng cã c«ng dông g×. "		53	2	0	30	50	50	31	10	10																36	7	32	45	33	25			38	0			0																					
Tiªu Diªu C©n	0	7	5	\spr\item\equip\cap\obj-ma-cap16-2.spr	28	2	2	Lo¹i kh¨n nh÷ng ng­êi an mµy th­êng quÊn trªn ®Çu. 		123	3	0	30	75	75	31	13	13																36	13	32	60	33	30			38	0			0																					
Lé Thiªn C©n	0	7	5	\spr\item\equip\cap\obj-ma-cap16-3.spr	28	2	2	"Lo¹i kh¨n nh÷ng ng­êi ¨n mµy th­êng quÊn trªn ®Çu, rÊt th«ng dông"		200	4	0	30	100	100	31	15	15																36	19	32	75	33	35			38	0			0																					
B¹ch Thùc Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap17-1.spr	28	2	2	"Vßng ®eo trªn cæ, t­îng tr­ng cho ®¼ng cÊp C¸i Bang. "		300	5	0	30	125	125	31	17	17																36	26	32	90	33	40			38	0			0																					
L­u Ly Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap17-2.spr	28	2	2	Lo¹i vßng ®eo cã kh¶m nhiÒu ngäc L­u Ly. 		400	6	0	30	150	150	31	20	20																36	33	32	105	33	45			38	0			0																					
Song TÇng L­u Ly Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap17-3.spr	28	2	2	"Lo¹i vßng ®eo cã kh¶m nhiÒu ngäc L­u Ly, cã hai líp. "		600	7	0	30	175	175	31	22	22																36	40	32	120	33	50			38	0			0																					
TÝn nhía Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-1.spr	28	2	2	Lo¹i vßng ®eo thÓ hiÖn tinh thÇn cña C¸i Bang. 		833	8	0	30	200	200	31	25	25																36	46	32	135	33	55			38	0			0																					
T×nh nhía Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-2.spr	28	2	2	Lo¹i vßng ®eo thÓ hiÖn tinh thÇn cña C¸i Bang. 		1000	9	0	30	225	225	31	27	27																36	53	32	150	33	60			38	0			0																					
TrÝch Tinh Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	"Lo¹i vßng ®eo cã kh¶m nhiÒu ngäc L­u Ly, b¶o vËt cña C¸i Bang. "		1233	10	0	30	250	250	31	30	30																36	60	32	165	33	65			38	0			0																					
Bè C©n	0	7	6	\spr\item\equip\cap\obj-ma-cap19-1.spr	28	2	2	Lo¹i kh¨n th­êng ®éi cña nh÷ng ng­êi b×nh d©n. 		40	1	0	30	20	20	31	8	8																36	1	 	 	33	20			38	0			0																					
B×nh §Ønh C©n	0	7	6	\spr\item\equip\cap\obj-ma-cap19-1.spr	28	2	2	Lo¹i kh¨n th­êng ®éi cña nh÷ng ng­êi b×nh d©n nh­ng ®¼ng cÊp cao h¬n mét chót so víi Bè C©n. 		106	2	0	30	40	40	31	10	10																36	7	 	 	33	25			38	0			0																					
Bè Nhóng C©n	0	7	6	\spr\item\equip\cap\obj-ma-cap19-1.spr	28	2	2	"Lo¹i kh¨n cña nh÷ng ng­êi b×nh d©n, t­¬ng ®èi Êm. "		250	3	0	30	60	60	31	13	13																36	13	 	 	33	30			38	0			0																					
Nh¹n Vò C©n	0	7	6	\spr\item\equip\cap\obj-ma-cap19-1.spr	28	2	2	"Nghe nãi dïng l«ng chim nh¹n dÖt thµnh, thùc tÕ chØ lµ lµm tõ nh÷ng l«ng chim b×nh th­êng mµ th«i. "		400	4	0	30	80	80	31	15	15																36	19	 	 	33	35			38	0			0																					
Y T¬ Ph¸t §¸i	0	7	6	\spr\item\equip\cap\obj-ma-cap20-1.spr	28	2	2	"Dïng lo¹i t¬ tinh phÈm dÖt thµnh, kiÓu d¸ng rÊt ®Ñp. "		600	5	0	30	100	100	31	17	17																36	26	 	 	33	40			38	0			0																					
Kim T¬ Qu¸n	0	7	6	\spr\item\equip\cap\obj-ma-cap20-2.spr	28	2	2	"Lo¹i mò dÖt b»ng t¬ th­îng phÈm, kiÓu d¸ng rÊt ®Ñp, Kh¶ n¨ng gi÷ Êm rÊt tèt."		833	6	0	30	120	120	31	20	20																36	33	 	 	33	45			38	0			0																					
Chu Khëi Qu¸n	0	7	6	\spr\item\equip\cap\obj-ma-cap20-3.spr	28	2	2	"Lo¹i mò dÖt b»ng t¬ th­îng phÈm, kiÓu d¸ng rÊt ®Ñp. "		1233	7	0	30	140	140	31	22	22																36	40	 	 	33	50			38	0			0																					
Doanh Gi¸c M·o	0	7	6	\spr\item\equip\cap\obj-ma-cap21-1.spr	28	2	2	"Lo¹i mò dÖt b»ng t¬ th­îng phÈm cã ®iÓm thªm nhiÒu h¹t ngäc nhá, gi¸ rÊt ®¾t. "		1666	8	0	30	160	160	31	25	25																36	46	 	 	33	55			38	0			0																					
Tµm T¬ M·o	0	7	6	\spr\item\equip\cap\obj-ma-cap21-2.spr	28	2	2	"Lo¹i mò dÖt b»ng t¬ th­îng phÈm, phong c¸ch quý ph¸i. "		2000	9	0	30	180	180	31	27	27																36	53	 	 	33	60			38	0			0																					
¤ Tµm M·o	0	7	6	\spr\item\equip\cap\obj-ma-cap21-3.spr	28	2	2	"Lo¹i mò dÖt b»ng t¬ ¤ TÇm th­îng phÈm, phong c¸ch quý ph¸i. "		2500	10	0	30	200	200	31	30	30																36	60	 	 	33	65			38	0			0																					
ThÝch Ni M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap01-1.spr	28	2	2	Lo¹i mò c¸c ni c« th­êng ®éi. 		33	1	0	30	25	25	31	5	5																36	1	32	30					38	1			0																					
ThÝch Ni M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap01-1.spr	28	2	2	Lo¹i mò c¸c ni c« th­êng ®éi. 		83	2	0	30	50	50	31	7	7																36	7	32	50					38	1			0																					
ThÝch Ni M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap01-1.spr	28	2	2	Lo¹i mò c¸c ni c« th­êng ®éi. 		166	3	0	30	75	75	31	9	9																36	13	32	70					38	1			0																					
ThÝch Ni M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap01-1.spr	28	2	2	Lo¹i mò c¸c ni c« th­êng ®éi. 		266	4	0	30	100	100	31	11	11																36	19	32	90					38	1			0																					
Thanh M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap02-1.spr	28	2	2	Lo¹i mò mµu xanh cña PhËt gia. 		400	5	0	30	125	125	31	13	13																36	26	32	110					38	1			0																					
Thanh Anh M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap02-2.spr	28	2	2	"Lo¹i mò mµu xanh cña PhËt gia, cã tua rò xuèng. "		600	6	0	30	150	150	31	15	15																36	33	32	130					38	1			0																					
Thiªn Thanh M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap02-3.spr	28	2	2	"Lo¹i mò mµu xanh cña PhËt gia, thanh tho¸t cao quý. "		833	7	0	30	175	175	31	17	17																36	40	32	150					38	1			0																					
XÝch ¶nh ph¸t Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-1.spr	28	2	2	"Lo¹i mò cao cÊp cña PhËt gia, dïng trong nh÷ng lóc nghiªm trang. "		1066	8	0	30	200	200	31	19	19																36	46	32	170					38	1			0																					
V« T­íng Ph¸p Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	"Lo¹i mò cao cÊp cña PhËt gia, dïng trong nh÷ng lóc nghiªm trang. "		1333	9	0	30	225	225	31	21	21																36	53	32	190					38	1			0																					
Quan ©m Ph¸p Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-3.spr	28	2	2	Lo¹i mò cao cÊp cña PhËt gia. 		1666	10	0	30	250	250	31	23	23																36	60	32	210					38	1			0																					
Ng©n Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap04-1.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng b¹c. 		33	1	0	30	20	20	31	8	8																36	1	 	 	33	20			38	1			0																					
Ng©n Liªm Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap04-1.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng b¹c. 		66	2	0	30	40	40	31	10	10																36	7	 	 	33	25			38	1			0																					
Ng©n LiÖm Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap04-2.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng b¹c. 		133	3	0	30	60	60	31	13	13																36	13	 	 	33	30			38	1			0																					
Ng©n Hoµn Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap04-3.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng b¹c. 		233	4	0	30	80	80	31	15	15																36	19	 	 	33	35			38	1			0																					
Kim Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap05-1.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng b¹c. 		333	5	0	30	100	100	31	17	17																36	26	 	 	33	40			38	1			0																					
Kim Hoµn Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap05-2.spr	30	2	2	"Lo¹i tr©m cµi tãc b»ng b¹c, d¸ng h¬i trßn. "		500	6	0	30	120	120	31	20	20																36	33	 	 	33	45			38	1			0																					
Kim Bé Dao	0	7	8	\spr\item\equip\cap\obj-fm-cap05-3.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng vµng. 		666	7	0	30	140	140	31	22	22																36	40	 	 	33	50			38	1			0																					
PhØ Thóy Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap06-1.spr	30	2	2	"Lo¹i tr©m cµi tãc b»ng lôa, cã ®iÓm vµng. "		833	8	0	30	160	160	31	25	25																36	46	 	 	33	55			38	1			0																					
