16:05:04	 Tµi kho∂n: caothuong	 Nh©n vÀt: DanChoiLua	 DWORD ID: -1902028200	 C p: 1	 IP: 14.160.198.30 : 49947	 Xu: 0	 TÊng ti“n vπn: 0
16:14:27	 Tµi kho∂n: mapmap3	 Nh©n vÀt: BlackPenis	 DWORD ID: 1806454177	 C p: 1	 IP: 171.249.93.2 : 63909	 Xu: 0	 TÊng ti“n vπn: 0
16:14:39	 Tµi kho∂n: cbcui2	 Nh©n vÀt: MæcŸß∏i	 DWORD ID: -1407131536	 C p: 1	 IP: 103.169.34.118 : 55966	 Xu: 0	 TÊng ti“n vπn: 0
16:14:42	 Tµi kho∂n: pikutevt2	 Nh©n vÀt: CayTien01	 DWORD ID: 1184603074	 C p: 1	 IP: 27.71.104.205 : 5759	 Xu: 0	 TÊng ti“n vπn: 0
16:14:47	 Tµi kho∂n: hhtdhsg	 Nh©n vÀt: ïƒïÖQuangTr∂m	 DWORD ID: 206367631	 C p: 1	 IP: 171.239.144.33 : 49891	 Xu: 0	 TÊng ti“n vπn: 0
16:14:53	 Tµi kho∂n: mapmap4	 Nh©n vÀt: PussyCat	 DWORD ID: -871367192	 C p: 1	 IP: 171.249.93.2 : 63911	 Xu: 0	 TÊng ti“n vπn: 0
16:14:54	 Tµi kho∂n: aolanh789	 Nh©n vÀt: cbŸproo	 DWORD ID: -1281477099	 C p: 1	 IP: 1.55.92.112 : 17729	 Xu: 0	 TÊng ti“n vπn: 0
16:15:08	 Tµi kho∂n: pikutevt3	 Nh©n vÀt: CayTien02	 DWORD ID: 1184602969	 C p: 1	 IP: 27.71.104.205 : 18820	 Xu: 0	 TÊng ti“n vπn: 0
16:15:08	 Tµi kho∂n: cbcui3	 Nh©n vÀt: ïƒïTh yŸHay	 DWORD ID: 417810360	 C p: 1	 IP: 103.169.34.118 : 55968	 Xu: 0	 TÊng ti“n vπn: 0
16:15:21	 Tµi kho∂n: aolanh456	 Nh©n vÀt: TLŸvippp	 DWORD ID: -1963904017	 C p: 1	 IP: 1.55.92.112 : 2040	 Xu: 0	 TÊng ti“n vπn: 0
16:15:41	 Tµi kho∂n: mapmap5	 Nh©n vÀt: FuckAss	 DWORD ID: 1757071319	 C p: 1	 IP: 171.249.93.2 : 63914	 Xu: 0	 TÊng ti“n vπn: 0
16:15:46	 Tµi kho∂n: tranquochung	 Nh©n vÀt: djsuekwh	 DWORD ID: -521827749	 C p: 1	 IP: 125.235.225.224 : 46176	 Xu: 0	 TÊng ti“n vπn: 0
16:16:04	 Tµi kho∂n: hhtdhsg1	 Nh©n vÀt: ïƒïÖXo∏yCh›uCh	 DWORD ID: 674438931	 C p: 1	 IP: 171.239.144.33 : 49955	 Xu: 0	 TÊng ti“n vπn: 0
16:16:05	 Tµi kho∂n: aolanh123	 Nh©n vÀt: DMŸvippp	 DWORD ID: -109754478	 C p: 1	 IP: 1.55.92.112 : 51398	 Xu: 0	 TÊng ti“n vπn: 0
16:16:11	 Tµi kho∂n: mapmap6	 Nh©n vÀt: Ti”uTam	 DWORD ID: 879523464	 C p: 1	 IP: 171.249.93.2 : 63917	 Xu: 0	 TÊng ti“n vπn: 0
16:16:13	 Tµi kho∂n: aipcorp3	 Nh©n vÀt: HoµngŸH∂i	 DWORD ID: -1833618095	 C p: 1	 IP: 14.248.85.69 : 56618	 Xu: 0	 TÊng ti“n vπn: 0
16:16:14	 Tµi kho∂n: phapqn12	 Nh©n vÀt: VDDang	 DWORD ID: -533316747	 C p: 1	 IP: 118.69.109.66 : 35709	 Xu: 0	 TÊng ti“n vπn: 0
16:16:23	 Tµi kho∂n: cbcui4	 Nh©n vÀt: CayŸLæm	 DWORD ID: -1813073779	 C p: 1	 IP: 27.70.203.146 : 63862	 Xu: 0	 TÊng ti“n vπn: 0
16:16:26	 Tµi kho∂n: clannhada2	 Nh©n vÀt: loDitChayMau	 DWORD ID: 158012462	 C p: 1	 IP: 42.113.25.160 : 56246	 Xu: 0	 TÊng ti“n vπn: 0
16:16:28	 Tµi kho∂n: mapmap2	 Nh©n vÀt: BlackPussy	 DWORD ID: 1745906759	 C p: 1	 IP: 171.249.93.2 : 63919	 Xu: 0	 TÊng ti“n vπn: 0
16:16:48	 Tµi kho∂n: hhtdhsg1	 Nh©n vÀt: ïƒXo∏yCh›uCh›u	 DWORD ID: -1905887755	 C p: 1	 IP: 171.239.144.33 : 49982	 Xu: 0	 TÊng ti“n vπn: 0
16:17:04	 Tµi kho∂n: bimbam1	 Nh©n vÀt: Kulldz	 DWORD ID: -934452080	 C p: 1	 IP: 1.55.148.38 : 53164	 Xu: 0	 TÊng ti“n vπn: 0
16:17:08	 Tµi kho∂n: hhtdhsg1	 Nh©n vÀt: ïƒXo∏yCh›uCh›u	 DWORD ID: -1905887755	 C p: 1	 IP: 171.239.144.33 : 49997	 Xu: 0	 TÊng ti“n vπn: 0
16:17:12	 Tµi kho∂n: namdoan6626	 Nh©n vÀt: Na__Tra	 DWORD ID: 1814292348	 C p: 1	 IP: 113.161.229.218 : 51068	 Xu: 0	 TÊng ti“n vπn: 0
16:17:25	 Tµi kho∂n: bimbam2	 Nh©n vÀt: LenhHoXung	 DWORD ID: -777142688	 C p: 1	 IP: 1.55.148.38 : 53165	 Xu: 0	 TÊng ti“n vπn: 0
16:17:31	 Tµi kho∂n: aipcorp4	 Nh©n vÀt: TrungŸH∂i	 DWORD ID: -259895461	 C p: 1	 IP: 14.248.85.69 : 56633	 Xu: 0	 TÊng ti“n vπn: 0
16:17:45	 Tµi kho∂n: boystyle1011	 Nh©n vÀt: Justin	 DWORD ID: -887801915	 C p: 1	 IP: 14.187.110.46 : 63457	 Xu: 0	 TÊng ti“n vπn: 0
16:18:11	 Tµi kho∂n: aipcorp5	 Nh©n vÀt: ThÔyŸChi	 DWORD ID: 196693184	 C p: 1	 IP: 14.248.85.69 : 56636	 Xu: 0	 TÊng ti“n vπn: 0
16:18:19	 Tµi kho∂n: pinphan12345	 Nh©n vÀt: Vip_khi1	 DWORD ID: -211253543	 C p: 1	 IP: 14.186.109.219 : 31679	 Xu: 0	 TÊng ti“n vπn: 0
16:18:59	 Tµi kho∂n: hhtdhsg2	 Nh©n vÀt: CÙcC¯tB›Hi”m	 DWORD ID: 1870041481	 C p: 1	 IP: 171.239.144.33 : 50069	 Xu: 0	 TÊng ti“n vπn: 0
16:19:07	 Tµi kho∂n: clannhada2	 Nh©n vÀt: LoDitKhieuGoi	 DWORD ID: -358733204	 C p: 1	 IP: 42.113.25.160 : 59161	 Xu: 0	 TÊng ti“n vπn: 0
16:19:21	 Tµi kho∂n: pinphan12345	 Nh©n vÀt: Vip_khi1	 DWORD ID: -211253543	 C p: 1	 IP: 14.186.109.219 : 64144	 Xu: 0	 TÊng ti“n vπn: 0
16:19:23	 Tµi kho∂n: huong2	 Nh©n vÀt: nhannhannhan	 DWORD ID: 1648963359	 C p: 1	 IP: 27.64.144.252 : 27857	 Xu: 0	 TÊng ti“n vπn: 0
16:19:32	 Tµi kho∂n: hhtdhsg	 Nh©n vÀt: ïƒïÖQuangTr∂m	 DWORD ID: 206367631	 C p: 1	 IP: 171.239.144.33 : 50094	 Xu: 0	 TÊng ti“n vπn: 0
16:19:39	 Tµi kho∂n: tuankl1	 Nh©n vÀt: ChungŸLinhŸNhi	 DWORD ID: -350444242	 C p: 1	 IP: 118.69.180.120 : 62485	 Xu: 0	 TÊng ti“n vπn: 0
16:19:42	 Tµi kho∂n: hhtdhsg1	 Nh©n vÀt: ïƒXo∏yCh›uCh›u	 DWORD ID: -1905887755	 C p: 1	 IP: 171.239.144.33 : 50105	 Xu: 0	 TÊng ti“n vπn: 0
16:19:50	 Tµi kho∂n: hhtdhsg1	 Nh©n vÀt: ïƒXo∏yCh›uCh›u	 DWORD ID: -1905887755	 C p: 1	 IP: 171.239.144.33 : 50114	 Xu: 0	 TÊng ti“n vπn: 0
16:19:59	 Tµi kho∂n: aipcorp8	 Nh©n vÀt: H∂iŸChi	 DWORD ID: 229246519	 C p: 1	 IP: 14.248.85.69 : 49237	 Xu: 0	 TÊng ti“n vπn: 0
16:20:15	 Tµi kho∂n: bimbam3	 Nh©n vÀt: ALOTOiDAY	 DWORD ID: 2036654088	 C p: 1	 IP: 1.55.148.38 : 63353	 Xu: 0	 TÊng ti“n vπn: 0
16:20:38	 Tµi kho∂n: hoangtu	 Nh©n vÀt: Ch˘itÚi	 DWORD ID: -1417970761	 C p: 1	 IP: 125.235.234.56 : 45508	 Xu: 0	 TÊng ti“n vπn: 0
16:21:54	 Tµi kho∂n: samkul	 Nh©n vÀt: ïƒï64ÖHi’uÖBen	 DWORD ID: -1189616363	 C p: 1	 IP: 115.76.54.208 : 41378	 Xu: 0	 TÊng ti“n vπn: 0
16:22:14	 Tµi kho∂n: phunggl	 Nh©n vÀt: GLNguc	 DWORD ID: -922489065	 C p: 1	 IP: 183.80.105.45 : 49789	 Xu: 0	 TÊng ti“n vπn: 0
16:22:44	 Tµi kho∂n: cbcui4	 Nh©n vÀt: CayŸLæm	 DWORD ID: -1813073779	 C p: 1	 IP: 27.70.203.146 : 55047	 Xu: 0	 TÊng ti“n vπn: 0
16:22:54	 Tµi kho∂n: phunggl1	 Nh©n vÀt: GLNguc1	 DWORD ID: -478621715	 C p: 1	 IP: 183.80.105.45 : 49791	 Xu: 0	 TÊng ti“n vπn: 0
16:23:16	 Tµi kho∂n: tuankl2	 Nh©n vÀt: XiŸVuu	 DWORD ID: -12684985	 C p: 1	 IP: 118.69.180.120 : 62522	 Xu: 0	 TÊng ti“n vπn: 0
16:23:33	 Tµi kho∂n: phunggl2	 Nh©n vÀt: GLNguc2	 DWORD ID: -478621850	 C p: 1	 IP: 183.80.105.45 : 49793	 Xu: 0	 TÊng ti“n vπn: 0
16:24:54	 Tµi kho∂n: tuankl3	 Nh©n vÀt: HoaŸLinhŸÖNhi	 DWORD ID: 1849875726	 C p: 1	 IP: 118.69.180.120 : 62540	 Xu: 0	 TÊng ti“n vπn: 0
16:25:03	 Tµi kho∂n: pinphan1234	 Nh©n vÀt: Vip_khi	 DWORD ID: -550702966	 C p: 1	 IP: 14.186.109.219 : 31695	 Xu: 0	 TÊng ti“n vπn: 0
16:28:49	 Tµi kho∂n: samkul1	 Nh©n vÀt: ÖTi”uïB∏ïV≠¨ng	 DWORD ID: -439565124	 C p: 1	 IP: 115.76.54.208 : 35479	 Xu: 0	 TÊng ti“n vπn: 0
16:31:14	 Tµi kho∂n: bibabibo00	 Nh©n vÀt: ChuHaiVT	 DWORD ID: 1096389470	 C p: 1	 IP: 42.119.156.197 : 12163	 Xu: 0	 TÊng ti“n vπn: 0
16:31:52	 Tµi kho∂n: samkul2	 Nh©n vÀt: Chﬁïƒïßπi	 DWORD ID: -508018156	 C p: 1	 IP: 115.76.54.208 : 18157	 Xu: 0	 TÊng ti“n vπn: 0
16:34:13	 Tµi kho∂n: bibabibo01	 Nh©n vÀt: DeNhiMong	 DWORD ID: 1847609421	 C p: 1	 IP: 42.119.156.197 : 53175	 Xu: 0	 TÊng ti“n vπn: 0
16:35:18	 Tµi kho∂n: pinphan123	 Nh©n vÀt: Vip_khi2	 DWORD ID: -211253663	 C p: 1	 IP: 14.186.109.219 : 64166	 Xu: 0	 TÊng ti“n vπn: 0
16:35:25	 Tµi kho∂n: cbcui4	 Nh©n vÀt: CayŸLæm	 DWORD ID: -1813073779	 C p: 1	 IP: 27.70.203.146 : 60397	 Xu: 0	 TÊng ti“n vπn: 0
16:35:28	 Tµi kho∂n: clannhada2	 Nh©n vÀt: LoDitKhieuGoi	 DWORD ID: -358733204	 C p: 1	 IP: 42.113.25.160 : 58447	 Xu: 0	 TÊng ti“n vπn: 0
16:35:30	 Tµi kho∂n: gacon2	 Nh©n vÀt: cÀu3h‰hu˙nh	 DWORD ID: -1930985950	 C p: 1	 IP: 27.71.104.235 : 8886	 Xu: 0	 TÊng ti“n vπn: 0
16:36:25	 Tµi kho∂n: top001	 Nh©n vÀt: T„pß”T´iBπn	 DWORD ID: -991499075	 C p: 1	 IP: 183.80.89.11 : 63701	 Xu: 0	 TÊng ti“n vπn: 0
16:36:53	 Tµi kho∂n: gacon3	 Nh©n vÀt: thiennhanpro	 DWORD ID: -89971440	 C p: 1	 IP: 27.71.104.235 : 61774	 Xu: 0	 TÊng ti“n vπn: 0
16:37:40	 Tµi kho∂n: chukhacnhi1993	 Nh©n vÀt: DoreMon	 DWORD ID: -2072571113	 C p: 1	 IP: 14.240.116.193 : 59890	 Xu: 0	 TÊng ti“n vπn: 0
16:38:52	 Tµi kho∂n: huong1	 Nh©n vÀt: thieulam	 DWORD ID: -1177385282	 C p: 1	 IP: 27.64.144.252 : 27917	 Xu: 0	 TÊng ti“n vπn: 0
16:41:25	 Tµi kho∂n: aipcorp	 Nh©n vÀt: HoµngŸThÔyŸChi	 DWORD ID: -2060615299	 C p: 1	 IP: 42.112.148.4 : 50721	 Xu: 0	 TÊng ti“n vπn: 0
16:41:40	 Tµi kho∂n: gacon2	 Nh©n vÀt: cÀu3h‰hu˙nh	 DWORD ID: -1930985950	 C p: 1	 IP: 27.71.104.235 : 17409	 Xu: 0	 TÊng ti“n vπn: 0
16:42:15	 Tµi kho∂n: top002	 Nh©n vÀt: ChπyLµCh›nh	 DWORD ID: -737104993	 C p: 1	 IP: 183.80.89.11 : 65133	 Xu: 0	 TÊng ti“n vπn: 0
16:42:21	 Tµi kho∂n: gacon3	 Nh©n vÀt: thiennhanpro	 DWORD ID: -89971440	 C p: 1	 IP: 27.71.104.235 : 13512	 Xu: 0	 TÊng ti“n vπn: 0
16:42:36	 Tµi kho∂n: cbcui4	 Nh©n vÀt: M÷tŸCh≠aŸ:<	 DWORD ID: 1197711047	 C p: 1	 IP: 27.70.203.146 : 53514	 Xu: 0	 TÊng ti“n vπn: 0
16:42:46	 Tµi kho∂n: gacon4	 Nh©n vÀt: DocChetMe	 DWORD ID: -1927398849	 C p: 1	 IP: 27.71.104.235 : 4886	 Xu: 0	 TÊng ti“n vπn: 0
16:43:18	 Tµi kho∂n: aipcorp1	 Nh©n vÀt: TramŸAnh	 DWORD ID: 843770000	 C p: 1	 IP: 42.112.148.4 : 41202	 Xu: 0	 TÊng ti“n vπn: 0
16:44:20	 Tµi kho∂n: tanphuc	 Nh©n vÀt: ß÷ŸNh tŸßÈc	 DWORD ID: -465830337	 C p: 1	 IP: 1.55.204.228 : 11367	 Xu: 0	 TÊng ti“n vπn: 0
16:44:35	 Tµi kho∂n: aipcorp2	 Nh©n vÀt: ThoaŸMun	 DWORD ID: -668223086	 C p: 1	 IP: 42.112.148.4 : 8423	 Xu: 0	 TÊng ti“n vπn: 0
16:45:55	 Tµi kho∂n: krungthep001	 Nh©n vÀt: HocŸMon	 DWORD ID: 658974656	 C p: 1	 IP: 171.252.155.13 : 2810	 Xu: 0	 TÊng ti“n vπn: 0
16:46:35	 Tµi kho∂n: top003	 Nh©n vÀt: Ti“nVµoKHo	 DWORD ID: 1140037051	 C p: 1	 IP: 183.80.89.11 : 61947	 Xu: 0	 TÊng ti“n vπn: 0
16:47:06	 Tµi kho∂n: vantruc95	 Nh©n vÀt: TrucNhi	 DWORD ID: 83318976	 C p: 1	 IP: 1.53.207.44 : 27292	 Xu: 0	 TÊng ti“n vπn: 0
16:47:11	 Tµi kho∂n: boystyle1011	 Nh©n vÀt: Justin	 DWORD ID: -887801915	 C p: 1	 IP: 14.187.110.46 : 51476	 Xu: 0	 TÊng ti“n vπn: 0
16:47:39	 Tµi kho∂n: laihuynh1	 Nh©n vÀt: ÖTaoƒT™nƒLai	 DWORD ID: 1144513620	 C p: 1	 IP: 27.71.104.235 : 4422	 Xu: 0	 TÊng ti“n vπn: 0
16:47:46	 Tµi kho∂n: boystyle1012	 Nh©n vÀt: Bieber	 DWORD ID: -582814905	 C p: 1	 IP: 14.187.110.46 : 53385	 Xu: 0	 TÊng ti“n vπn: 0
16:48:06	 Tµi kho∂n: vaccine	 Nh©n vÀt: L÷nhŸTµnŸS∏t	 DWORD ID: 85779909	 C p: 1	 IP: 1.55.192.32 : 26525	 Xu: 0	 TÊng ti“n vπn: 0
16:48:46	 Tµi kho∂n: khatran	 Nh©n vÀt: Gothic	 DWORD ID: -940602941	 C p: 1	 IP: 1.55.196.117 : 49436	 Xu: 0	 TÊng ti“n vπn: 0
16:48:58	 Tµi kho∂n: vaccines	 Nh©n vÀt: L÷nhÉTµnÉS∏t	 DWORD ID: -1130559327	 C p: 1	 IP: 1.55.192.32 : 51646	 Xu: 0	 TÊng ti“n vπn: 0
16:49:58	 Tµi kho∂n: vacciness	 Nh©n vÀt: L÷nh†Tµn†S∏t	 DWORD ID: -1558973172	 C p: 1	 IP: 1.55.192.32 : 5551	 Xu: 0	 TÊng ti“n vπn: 0
16:50:10	 Tµi kho∂n: 1tanphuc	 Nh©n vÀt: CµyŸTi“nŸNo1	 DWORD ID: 536480189	 C p: 1	 IP: 1.55.204.228 : 29557	 Xu: 0	 TÊng ti“n vπn: 0
16:50:32	 Tµi kho∂n: laihuynh2	 Nh©n vÀt: LongƒNhi	 DWORD ID: 2092819567	 C p: 1	 IP: 27.71.104.235 : 63780	 Xu: 0	 TÊng ti“n vπn: 0
16:51:21	 Tµi kho∂n: laihuynh3	 Nh©n vÀt: Th«yƒLÈcƒFuho	 DWORD ID: 1615927278	 C p: 1	 IP: 27.71.104.235 : 46424	 Xu: 0	 TÊng ti“n vπn: 0
16:52:07	 Tµi kho∂n: buiduc0586	 Nh©n vÀt: CµyŸTi“nŸNo2	 DWORD ID: 536479873	 C p: 1	 IP: 1.55.204.228 : 63628	 Xu: 0	 TÊng ti“n vπn: 0
16:52:21	 Tµi kho∂n: trantrungbt	 Nh©n vÀt: BÈtïßÀuïNµnh	 DWORD ID: 1156125340	 C p: 1	 IP: 27.2.76.181 : 53167	 Xu: 0	 TÊng ti“n vπn: 0
16:54:18	 Tµi kho∂n: anhthikchat2	 Nh©n vÀt: pethiktn	 DWORD ID: 2141095719	 C p: 1	 IP: 171.236.49.205 : 48102	 Xu: 0	 TÊng ti“n vπn: 0
16:55:57	 Tµi kho∂n: vaccine	 Nh©n vÀt: L÷nhŸTµnŸS∏t	 DWORD ID: 85779909	 C p: 1	 IP: 1.55.192.32 : 16717	 Xu: 0	 TÊng ti“n vπn: 0
16:56:01	 Tµi kho∂n: vaccines	 Nh©n vÀt: L÷nhÉTµnÉS∏t	 DWORD ID: -1130559327	 C p: 1	 IP: 1.55.192.32 : 32164	 Xu: 0	 TÊng ti“n vπn: 0
16:56:03	 Tµi kho∂n: kakaliq	 Nh©n vÀt: ïƒThi™nïS¨n	 DWORD ID: 1989657831	 C p: 1	 IP: 117.6.95.27 : 61210	 Xu: 0	 TÊng ti“n vπn: 0
16:56:30	 Tµi kho∂n: vaccines	 Nh©n vÀt: L÷nhÉTµnÉS∏t	 DWORD ID: -1130559327	 C p: 1	 IP: 1.55.192.32 : 18937	 Xu: 0	 TÊng ti“n vπn: 0
16:56:46	 Tµi kho∂n: vacciness	 Nh©n vÀt: L÷nh†Tµn†S∏t	 DWORD ID: -1558973172	 C p: 1	 IP: 1.55.192.32 : 47557	 Xu: 0	 TÊng ti“n vπn: 0
16:57:32	 Tµi kho∂n: buiduc0586	 Nh©n vÀt: CµyŸTi“nŸNo2	 DWORD ID: 536479873	 C p: 1	 IP: 1.55.204.228 : 54489	 Xu: 0	 TÊng ti“n vπn: 0
16:57:49	 Tµi kho∂n: anhthikchat	 Nh©n vÀt: pethiktv	 DWORD ID: 2141100903	 C p: 1	 IP: 171.236.49.205 : 58542	 Xu: 0	 TÊng ti“n vπn: 0
16:58:14	 Tµi kho∂n: pinphan1234	 Nh©n vÀt: Vip_khi	 DWORD ID: -550702966	 C p: 1	 IP: 14.186.109.219 : 31723	 Xu: 0	 TÊng ti“n vπn: 0
16:58:15	 Tµi kho∂n: vacciness	 Nh©n vÀt: L÷nh†Tµn†S∏t	 DWORD ID: -1558973172	 C p: 1	 IP: 1.55.192.32 : 32602	 Xu: 0	 TÊng ti“n vπn: 0
16:58:20	 Tµi kho∂n: vaccines	 Nh©n vÀt: L÷nhÉTµnÉS∏t	 DWORD ID: -1130559327	 C p: 1	 IP: 1.55.192.32 : 3153	 Xu: 0	 TÊng ti“n vπn: 0
16:59:16	 Tµi kho∂n: honganhcm13	 Nh©n vÀt: SÔngKh∏nh	 DWORD ID: 1925030947	 C p: 1	 IP: 27.2.123.133 : 61525	 Xu: 0	 TÊng ti“n vπn: 0
16:59:30	 Tµi kho∂n: hanhnhat1	 Nh©n vÀt: MrŸJack	 DWORD ID: -80163844	 C p: 1	 IP: 14.191.31.190 : 51736	 Xu: 0	 TÊng ti“n vπn: 0
16:59:34	 Tµi kho∂n: trinhdinhquoc	 Nh©n vÀt: Mogana	 DWORD ID: -864393213	 C p: 1	 IP: 171.250.161.59 : 25131	 Xu: 0	 TÊng ti“n vπn: 0
17:00:37	 Tµi kho∂n: honganhcm14	 Nh©n vÀt: Ng∑Ng˘aQuyY	 DWORD ID: 162266585	 C p: 1	 IP: 27.2.123.133 : 61215	 Xu: 0	 TÊng ti“n vπn: 0
17:01:01	 Tµi kho∂n: 1tanphuc	 Nh©n vÀt: CµyŸTi“nŸNo1	 DWORD ID: 536480189	 C p: 1	 IP: 1.55.204.228 : 3512	 Xu: 0	 TÊng ti“n vπn: 0
