00:00:06	 Tµi kho∂n: pinphan12345	 Nh©n vÀt: Vip_khi1	 DWORD ID: -211253543	 C p: 126	 IP: 14.186.109.219 : 37359	 Xu: 22	 TÊng ti“n vπn: 26881
00:34:42	 Tµi kho∂n: aipcorp1	 Nh©n vÀt: TramŸAnh	 DWORD ID: 843770000	 C p: 130	 IP: 42.114.191.33 : 13020	 Xu: 50	 TÊng ti“n vπn: 130520
00:35:38	 Tµi kho∂n: zukim012	 Nh©n vÀt: ZuKim99	 DWORD ID: -2058044447	 C p: 121	 IP: 222.253.25.202 : 62833	 Xu: 10	 TÊng ti“n vπn: 56125
00:35:40	 Tµi kho∂n: aipcorp1	 Nh©n vÀt: TramŸAnh	 DWORD ID: 843770000	 C p: 130	 IP: 42.112.110.29 : 41884	 Xu: 50	 TÊng ti“n vπn: 130520
00:36:00	 Tµi kho∂n: trungtruc	 Nh©n vÀt: Th«nŸS–t	 DWORD ID: 1654724532	 C p: 129	 IP: 115.77.33.190 : 57264	 Xu: 80	 TÊng ti“n vπn: 52956
00:36:19	 Tµi kho∂n: honganhcm18	 Nh©n vÀt: d‚tu111	 DWORD ID: 1670379839	 C p: 120	 IP: 27.2.123.133 : 56348	 Xu: 60	 TÊng ti“n vπn: 340000
00:38:23	 Tµi kho∂n: zukim024	 Nh©n vÀt: ZuKim88	 DWORD ID: -2058047182	 C p: 120	 IP: 222.253.25.202 : 62885	 Xu: 10	 TÊng ti“n vπn: 59289
00:38:29	 Tµi kho∂n: honganhcm19	 Nh©n vÀt: datau11	 DWORD ID: -861972903	 C p: 120	 IP: 27.2.123.133 : 56367	 Xu: 40	 TÊng ti“n vπn: 340000
00:38:50	 Tµi kho∂n: honganhcm16	 Nh©n vÀt: datau444	 DWORD ID: -1533544619	 C p: 120	 IP: 27.2.123.133 : 56372	 Xu: 0	 TÊng ti“n vπn: 40000
00:39:24	 Tµi kho∂n: rimso4	 Nh©n vÀt: DATAU04	 DWORD ID: 184343913	 C p: 120	 IP: 115.77.51.178 : 54269	 Xu: 0	 TÊng ti“n vπn: 1000
00:40:10	 Tµi kho∂n: chukhacnhi1993	 Nh©n vÀt: DoreMon	 DWORD ID: -2072571113	 C p: 124	 IP: 14.240.116.193 : 51299	 Xu: 34	 TÊng ti“n vπn: 140012
00:40:20	 Tµi kho∂n: honganhcm10	 Nh©n vÀt: datau111	 DWORD ID: -1534020870	 C p: 120	 IP: 27.2.123.133 : 56389	 Xu: 0	 TÊng ti“n vπn: 180000
00:40:31	 Tµi kho∂n: vank92	 Nh©n vÀt: =Van_Monkey=	 DWORD ID: 187118242	 C p: 121	 IP: 113.188.29.120 : 49420	 Xu: 67	 TÊng ti“n vπn: 0
00:41:46	 Tµi kho∂n: aipcorp1	 Nh©n vÀt: TramŸAnh	 DWORD ID: 843770000	 C p: 130	 IP: 42.114.191.33 : 61620	 Xu: 50	 TÊng ti“n vπn: 130520
00:43:27	 Tµi kho∂n: aipcorp1	 Nh©n vÀt: TramŸAnh	 DWORD ID: 843770000	 C p: 130	 IP: 42.112.110.32 : 25881	 Xu: 50	 TÊng ti“n vπn: 130520
00:43:33	 Tµi kho∂n: rimso2	 Nh©n vÀt: ïƒPh≠¨ngTrinh	 DWORD ID: 1905264885	 C p: 127	 IP: 115.77.51.178 : 63022	 Xu: 55	 TÊng ti“n vπn: 12689
00:45:13	 Tµi kho∂n: rimso4	 Nh©n vÀt: DATAU04	 DWORD ID: 184343913	 C p: 120	 IP: 115.77.51.178 : 52089	 Xu: 0	 TÊng ti“n vπn: 1000
00:45:32	 Tµi kho∂n: zukim123	 Nh©n vÀt: ZuKim77	 DWORD ID: -2058045821	 C p: 121	 IP: 222.253.25.202 : 63045	 Xu: 177	 TÊng ti“n vπn: 1131387
00:46:24	 Tµi kho∂n: rimso4	 Nh©n vÀt: DATAU05	 DWORD ID: 184343778	 C p: 120	 IP: 115.77.51.178 : 60703	 Xu: 0	 TÊng ti“n vπn: 1000
00:50:55	 Tµi kho∂n: pinphan1234	 Nh©n vÀt: Vip_khi	 DWORD ID: -550702966	 C p: 126	 IP: 14.186.109.219 : 37407	 Xu: 61	 TÊng ti“n vπn: 0
00:52:47	 Tµi kho∂n: pinphan1234	 Nh©n vÀt: Vip_khi	 DWORD ID: -550702966	 C p: 126	 IP: 14.186.109.219 : 64656	 Xu: 61	 TÊng ti“n vπn: 0
00:53:35	 Tµi kho∂n: pinphan1234	 Nh©n vÀt: Vip_khi	 DWORD ID: -550702966	 C p: 126	 IP: 14.186.109.219 : 37415	 Xu: 61	 TÊng ti“n vπn: 0
00:55:14	 Tµi kho∂n: aipcorp1	 Nh©n vÀt: TramŸAnh	 DWORD ID: 843770000	 C p: 130	 IP: 1.54.210.166 : 10339	 Xu: 50	 TÊng ti“n vπn: 130520
00:55:57	 Tµi kho∂n: pinphan12345	 Nh©n vÀt: Vip_khi1	 DWORD ID: -211253543	 C p: 126	 IP: 14.186.109.219 : 50023	 Xu: 22	 TÊng ti“n vπn: 3200
00:56:14	 Tµi kho∂n: pinphan1234	 Nh©n vÀt: Vip_khi	 DWORD ID: -550702966	 C p: 126	 IP: 14.186.109.219 : 50030	 Xu: 61	 TÊng ti“n vπn: 0
00:56:32	 Tµi kho∂n: pinphan123	 Nh©n vÀt: Vip_khi2	 DWORD ID: -211253663	 C p: 125	 IP: 14.186.109.219 : 37437	 Xu: 95	 TÊng ti“n vπn: 4800
01:01:36	 Tµi kho∂n: rimso4	 Nh©n vÀt: DATAU04	 DWORD ID: 184343913	 C p: 120	 IP: 115.77.51.178 : 56663	 Xu: 0	 TÊng ti“n vπn: 1000
01:02:08	 Tµi kho∂n: lekhang91	 Nh©n vÀt: SamSung	 DWORD ID: -306057818	 C p: 128	 IP: 171.239.220.166 : 50861	 Xu: 70	 TÊng ti“n vπn: 3800
01:02:08	 Tµi kho∂n: saysaysaysay	 Nh©n vÀt: KhoaSayy	 DWORD ID: 1027450743	 C p: 120	 IP: 115.72.6.228 : 58812	 Xu: 5	 TÊng ti“n vπn: 30138
01:02:10	 Tµi kho∂n: vank02	 Nh©n vÀt: KiemTien	 DWORD ID: -589561352	 C p: 124	 IP: 113.188.29.120 : 49422	 Xu: 0	 TÊng ti“n vπn: 5795
01:02:11	 Tµi kho∂n: lekhang93	 Nh©n vÀt: ChauTinhTrung	 DWORD ID: 477975473	 C p: 126	 IP: 171.239.220.166 : 50863	 Xu: 780	 TÊng ti“n vπn: 1600
01:02:11	 Tµi kho∂n: saysaysay	 Nh©n vÀt: khoaSayy	 DWORD ID: 973724327	 C p: 120	 IP: 115.72.6.228 : 58814	 Xu: 5	 TÊng ti“n vπn: 16926
01:06:44	 Tµi kho∂n: trungtruc1	 Nh©n vÀt: Th«nŸL´i	 DWORD ID: 1654857523	 C p: 128	 IP: 115.77.33.190 : 60243	 Xu: 0	 TÊng ti“n vπn: 45767
01:06:58	 Tµi kho∂n: trungtruc2	 Nh©n vÀt: Th«nŸB®ng	 DWORD ID: -1751287009	 C p: 128	 IP: 115.77.33.190 : 52574	 Xu: 0	 TÊng ti“n vπn: 710026
01:08:13	 Tµi kho∂n: rimso5	 Nh©n vÀt: 55555555	 DWORD ID: -731537084	 C p: 126	 IP: 115.77.51.178 : 52524	 Xu: 39	 TÊng ti“n vπn: 194777
01:15:34	 Tµi kho∂n: rimso3	 Nh©n vÀt: XeÕHËtÕR∏c	 DWORD ID: -133094195	 C p: 124	 IP: 115.77.51.178 : 56720	 Xu: 0	 TÊng ti“n vπn: 0
01:16:49	 Tµi kho∂n: thanhtan	 Nh©n vÀt: ThµnhïT n	 DWORD ID: 2121032137	 C p: 126	 IP: 42.119.159.49 : 21640	 Xu: 125	 TÊng ti“n vπn: 0
01:17:03	 Tµi kho∂n: thanhtin	 Nh©n vÀt: MoonNg∏o	 DWORD ID: 26218531	 C p: 126	 IP: 42.119.159.49 : 49577	 Xu: 10	 TÊng ti“n vπn: 725230
01:17:14	 Tµi kho∂n: thanhthinh	 Nh©n vÀt: Ti”uNg∏o	 DWORD ID: 1640187451	 C p: 126	 IP: 42.119.159.49 : 14869	 Xu: 0	 TÊng ti“n vπn: 421522
01:18:42	 Tµi kho∂n: tkmoi1	 Nh©n vÀt: D–pŸLµo	 DWORD ID: -666879951	 C p: 125	 IP: 222.255.113.183 : 61954	 Xu: 5	 TÊng ti“n vπn: 48558
01:25:40	 Tµi kho∂n: hoangpo01	 Nh©n vÀt: NgaMiLoL	 DWORD ID: 403356080	 C p: 1	 IP: 113.185.77.58 : 27775	 Xu: 0	 TÊng ti“n vπn: 0
01:29:10	 Tµi kho∂n: cbcui55	 Nh©n vÀt: Caytien09	 DWORD ID: 518205194	 C p: 120	 IP: 27.70.203.146 : 62549	 Xu: 2450	 TÊng ti“n vπn: 2501000
01:29:20	 Tµi kho∂n: rimso3	 Nh©n vÀt: XeÕHËtÕR∏c	 DWORD ID: -133094195	 C p: 125	 IP: 115.77.51.178 : 62421	 Xu: 0	 TÊng ti“n vπn: 1999
01:30:53	 Tµi kho∂n: trungtruc	 Nh©n vÀt: Th«nŸS–t	 DWORD ID: 1654724532	 C p: 130	 IP: 115.77.33.190 : 61472	 Xu: 90	 TÊng ti“n vπn: 97737
01:38:13	 Tµi kho∂n: tkmoi1	 Nh©n vÀt: D–pŸLµo	 DWORD ID: -666879951	 C p: 125	 IP: 222.255.113.183 : 63076	 Xu: 5	 TÊng ti“n vπn: 57353
01:42:42	 Tµi kho∂n: cbcui55	 Nh©n vÀt: xaloitamkinh	 DWORD ID: 308832211	 C p: 1	 IP: 27.70.203.146 : 54051	 Xu: 3590	 TÊng ti“n vπn: 0
01:49:49	 Tµi kho∂n: cbcui4	 Nh©n vÀt: GM00002	 DWORD ID: -385914259	 C p: 120	 IP: 27.70.203.146 : 49678	 Xu: 3600	 TÊng ti“n vπn: 2680000
01:59:06	 Tµi kho∂n: tanthanh	 Nh©n vÀt: Th∏nhN˜BætC‰p	 DWORD ID: -257938856	 C p: 125	 IP: 171.235.191.174 : 62546	 Xu: 5	 TÊng ti“n vπn: 6384
02:03:29	 Tµi kho∂n: dmthangadm	 Nh©n vÀt: 123456123456	 DWORD ID: 549954370	 C p: 120	 IP: 113.176.137.132 : 50700	 Xu: 0	 TÊng ti“n vπn: 1443
02:07:52	 Tµi kho∂n: cbcui4	 Nh©n vÀt: GM00002	 DWORD ID: -385914259	 C p: 120	 IP: 27.70.203.146 : 51269	 Xu: 3590	 TÊng ti“n vπn: 2680000
02:07:53	 Tµi kho∂n: rimso5	 Nh©n vÀt: 55555555	 DWORD ID: -731537084	 C p: 127	 IP: 115.77.51.178 : 59493	 Xu: 39	 TÊng ti“n vπn: 14583
02:08:17	 Tµi kho∂n: rimso1	 Nh©n vÀt: ïƒV´ÕT◊nh	 DWORD ID: -895054045	 C p: 134	 IP: 115.77.51.178 : 50276	 Xu: 445	 TÊng ti“n vπn: 485912
02:08:54	 Tµi kho∂n: pinphan123	 Nh©n vÀt: Vip_khi2	 DWORD ID: -211253663	 C p: 125	 IP: 14.186.109.219 : 37493	 Xu: 105	 TÊng ti“n vπn: 634961
02:10:36	 Tµi kho∂n: pinphan123	 Nh©n vÀt: Vip_khi2	 DWORD ID: -211253663	 C p: 125	 IP: 14.186.109.219 : 53548	 Xu: 105	 TÊng ti“n vπn: 634961
02:13:16	 Tµi kho∂n: zukim123	 Nh©n vÀt: ZuKim77	 DWORD ID: -2058045821	 C p: 121	 IP: 222.253.25.202 : 64857	 Xu: 1107	 TÊng ti“n vπn: 611387
02:17:53	 Tµi kho∂n: dmthangadm	 Nh©n vÀt: 123456123456	 DWORD ID: 549954370	 C p: 120	 IP: 113.176.137.132 : 50809	 Xu: 0	 TÊng ti“n vπn: 1443
02:26:06	 Tµi kho∂n: datau3	 Nh©n vÀt: IIIIIII	 DWORD ID: -1438099468	 C p: 123	 IP: 171.235.191.174 : 62824	 Xu: 0	 TÊng ti“n vπn: 0
02:31:39	 Tµi kho∂n: cbcui4	 Nh©n vÀt: GM0004	 DWORD ID: -929240280	 C p: 1	 IP: 27.70.203.146 : 55792	 Xu: 3590	 TÊng ti“n vπn: 0
02:32:02	 Tµi kho∂n: rimso3	 Nh©n vÀt: CayTien333	 DWORD ID: 1919232762	 C p: 1	 IP: 115.77.51.178 : 49952	 Xu: 0	 TÊng ti“n vπn: 0
02:32:45	 Tµi kho∂n: 1tanphuc	 Nh©n vÀt: CµyŸTi“nŸNo1	 DWORD ID: 536480189	 C p: 125	 IP: 1.55.204.228 : 54367	 Xu: 0	 TÊng ti“n vπn: 135058
02:32:45	 Tµi kho∂n: buiduc0586	 Nh©n vÀt: CµyŸTi“nŸNo2	 DWORD ID: 536479873	 C p: 126	 IP: 1.55.204.228 : 8247	 Xu: 6	 TÊng ti“n vπn: 133066
02:32:48	 Tµi kho∂n: tanphuc	 Nh©n vÀt: ß÷ŸNh tŸVL	 DWORD ID: 1220732745	 C p: 127	 IP: 1.55.204.228 : 23479	 Xu: 85	 TÊng ti“n vπn: 57840
02:35:26	 Tµi kho∂n: rimso3	 Nh©n vÀt: CayTien333	 DWORD ID: 1919232762	 C p: 120	 IP: 115.77.51.178 : 49880	 Xu: 0	 TÊng ti“n vπn: 0
02:39:33	 Tµi kho∂n: kukhidn1	 Nh©n vÀt: SanBos1	 DWORD ID: -313206747	 C p: 120	 IP: 123.19.11.135 : 54691	 Xu: 81	 TÊng ti“n vπn: 990
02:40:32	 Tµi kho∂n: thanhtan	 Nh©n vÀt: ThµnhïT n	 DWORD ID: 2121032137	 C p: 126	 IP: 42.119.159.49 : 58032	 Xu: 135	 TÊng ti“n vπn: 500057
02:41:53	 Tµi kho∂n: thanhtin	 Nh©n vÀt: MoonNg∏o	 DWORD ID: 26218531	 C p: 127	 IP: 42.119.159.49 : 5993	 Xu: 10	 TÊng ti“n vπn: 745430
02:42:03	 Tµi kho∂n: trinhdinhquoc2	 Nh©n vÀt: LeeSin	 DWORD ID: -859832511	 C p: 127	 IP: 171.250.161.59 : 16600	 Xu: 2410	 TÊng ti“n vπn: 187657
02:43:12	 Tµi kho∂n: truongtien1993	 Nh©n vÀt: LuomRac@	 DWORD ID: 1558705271	 C p: 1	 IP: 171.252.153.103 : 1395	 Xu: 4	 TÊng ti“n vπn: 0
02:43:26	 Tµi kho∂n: nhuanhcdv1111	 Nh©n vÀt: nhuanh	 DWORD ID: 488183858	 C p: 121	 IP: 171.250.160.108 : 57717	 Xu: 7570	 TÊng ti“n vπn: 2783
02:43:58	 Tµi kho∂n: weoweo90	 Nh©n vÀt: L˝ŸB◊nhŸNhi	 DWORD ID: -396105229	 C p: 122	 IP: 42.114.22.42 : 49705	 Xu: 443	 TÊng ti“n vπn: 8802
02:58:00	 Tµi kho∂n: thanhtan	 Nh©n vÀt: ThµnhT n	 DWORD ID: 877088249	 C p: 121	 IP: 42.119.159.49 : 2349	 Xu: 119	 TÊng ti“n vπn: 42459
02:58:11	 Tµi kho∂n: thanhtan	 Nh©n vÀt: ThµnhïT n	 DWORD ID: 2121032137	 C p: 126	 IP: 42.119.159.49 : 12948	 Xu: 119	 TÊng ti“n vπn: 76750
03:01:02	 Tµi kho∂n: tanphuc	 Nh©n vÀt: ß÷ŸNh tŸVL	 DWORD ID: 1220732745	 C p: 127	 IP: 1.55.204.228 : 25097	 Xu: 85	 TÊng ti“n vπn: 65225
03:01:16	 Tµi kho∂n: buiduc0586	 Nh©n vÀt: CµyŸTi“nŸNo2	 DWORD ID: 536479873	 C p: 126	 IP: 1.55.204.228 : 57257	 Xu: 6	 TÊng ti“n vπn: 150056
03:01:18	 Tµi kho∂n: 1tanphuc	 Nh©n vÀt: CµyŸTi“nŸNo1	 DWORD ID: 536480189	 C p: 125	 IP: 1.55.204.228 : 3770	 Xu: 0	 TÊng ti“n vπn: 147642
03:01:19	 Tµi kho∂n: weoweo900	 Nh©n vÀt: H·aŸLong	 DWORD ID: 519199972	 C p: 120	 IP: 42.114.22.42 : 61342	 Xu: 0	 TÊng ti“n vπn: 3374
03:08:46	 Tµi kho∂n: kukhidn1	 Nh©n vÀt: tienvan	 DWORD ID: 1616497434	 C p: 128	 IP: 123.19.11.135 : 57290	 Xu: 126	 TÊng ti“n vπn: 357661
03:09:48	 Tµi kho∂n: kukhidn2	 Nh©n vÀt: 12312asd	 DWORD ID: 1078627966	 C p: 120	 IP: 123.19.11.135 : 57297	 Xu: 108	 TÊng ti“n vπn: 80871
03:19:14	 Tµi kho∂n: wangbugi2	 Nh©n vÀt: T´mŸChuaŸCay	 DWORD ID: -470443509	 C p: 125	 IP: 42.118.96.157 : 42712	 Xu: 64	 TÊng ti“n vπn: 161102
03:20:35	 Tµi kho∂n: thanhtan	 Nh©n vÀt: ThµnhT n	 DWORD ID: 877088249	 C p: 121	 IP: 42.119.159.49 : 32459	 Xu: 119	 TÊng ti“n vπn: 42459
03:21:30	 Tµi kho∂n: thanhtan	 Nh©n vÀt: ThµnhïT n	 DWORD ID: 2121032137	 C p: 126	 IP: 42.119.159.49 : 59485	 Xu: 9	 TÊng ti“n vπn: 76750
03:22:26	 Tµi kho∂n: mapmap2	 Nh©n vÀt: VDQKV12	 DWORD ID: 2014671453	 C p: 1	 IP: 171.249.93.2 : 51337	 Xu: 30	 TÊng ti“n vπn: 0
03:23:04	 Tµi kho∂n: lekhang95	 Nh©n vÀt: AnhHungThep	 DWORD ID: 303535386	 C p: 1	 IP: 171.239.220.166 : 51575	 Xu: 0	 TÊng ti“n vπn: 0
03:23:45	 Tµi kho∂n: lekhang95	 Nh©n vÀt: AnhHungThep	 DWORD ID: 303535386	 C p: 1	 IP: 171.239.220.166 : 51583	 Xu: 0	 TÊng ti“n vπn: 0
03:27:31	 Tµi kho∂n: truongtien1993	 Nh©n vÀt: LumRac@2	 DWORD ID: 1569134583	 C p: 1	 IP: 171.252.153.103 : 16827	 Xu: 4	 TÊng ti“n vπn: 0
03:34:46	 Tµi kho∂n: mapmap1	 Nh©n vÀt: HetTienXai	 DWORD ID: -1620762867	 C p: 1	 IP: 171.249.93.2 : 55653	 Xu: 30	 TÊng ti“n vπn: 0
03:36:58	 Tµi kho∂n: kukhidn2	 Nh©n vÀt: YangHÂïƒïZui	 DWORD ID: -1680205304	 C p: 127	 IP: 123.19.11.135 : 59501	 Xu: 147	 TÊng ti“n vπn: 800
03:42:43	 Tµi kho∂n: tanphuc	 Nh©n vÀt: ß÷ŸNh tŸVL	 DWORD ID: 1220732745	 C p: 128	 IP: 1.55.204.228 : 41384	 Xu: 85	 TÊng ti“n vπn: 74602
03:42:46	 Tµi kho∂n: 1tanphuc	 Nh©n vÀt: CµyŸTi“nŸNo1	 DWORD ID: 536480189	 C p: 125	 IP: 1.55.204.228 : 58119	 Xu: 0	 TÊng ti“n vπn: 170620
03:42:48	 Tµi kho∂n: buiduc0586	 Nh©n vÀt: CµyŸTi“nŸNo2	 DWORD ID: 536479873	 C p: 126	 IP: 1.55.204.228 : 49312	 Xu: 6	 TÊng ti“n vπn: 169228
03:46:46	 Tµi kho∂n: lekhang92	 Nh©n vÀt: EmHoSamSung	 DWORD ID: -898460580	 C p: 126	 IP: 171.239.220.166 : 51705	 Xu: 15	 TÊng ti“n vπn: 500000
04:01:40	 Tµi kho∂n: kukhidn1	 Nh©n vÀt: SanBos1	 DWORD ID: -313206747	 C p: 120	 IP: 123.19.11.135 : 64721	 Xu: 26	 TÊng ti“n vπn: 379243
04:02:41	 Tµi kho∂n: mapmap3	 Nh©n vÀt: Hettienxai1	 DWORD ID: -1852122002	 C p: 1	 IP: 171.249.93.2 : 64759	 Xu: 0	 TÊng ti“n vπn: 0
04:03:43	 Tµi kho∂n: kukhidn1	 Nh©n vÀt: tienvan	 DWORD ID: 1616497434	 C p: 128	 IP: 123.19.11.135 : 64738	 Xu: 26	 TÊng ti“n vπn: 3396
04:07:16	 Tµi kho∂n: truongtien1993	 Nh©n vÀt: ForeverAlone	 DWORD ID: -200511561	 C p: 126	 IP: 171.252.153.103 : 43325	 Xu: 4	 TÊng ti“n vπn: 28320
04:14:40	 Tµi kho∂n: leanhdung3001	 Nh©n vÀt: TYŸTh«nŸS m	 DWORD ID: 1824174941	 C p: 130	 IP: 14.171.141.239 : 58315	 Xu: 1862	 TÊng ti“n vπn: 4352
04:14:41	 Tµi kho∂n: truongtien1992	 Nh©n vÀt: Forever@1	 DWORD ID: 1169202199	 C p: 126	 IP: 171.252.153.103 : 16946	 Xu: 0	 TÊng ti“n vπn: 156131
04:15:07	 Tµi kho∂n: truongtien1992	 Nh©n vÀt: LumRac@3	 DWORD ID: 1569134463	 C p: 1	 IP: 171.252.153.103 : 22894	 Xu: 0	 TÊng ti“n vπn: 0
04:18:24	 Tµi kho∂n: dauyeuubb	 Nh©n vÀt: Ti”uV≠¨ng	 DWORD ID: 1368999806	 C p: 127	 IP: 113.168.105.242 : 49209	 Xu: 0	 TÊng ti“n vπn: 242607
04:19:36	 Tµi kho∂n: dauyeuqn	 Nh©n vÀt: Victory	 DWORD ID: -1023724179	 C p: 128	 IP: 113.168.105.242 : 49227	 Xu: 0	 TÊng ti“n vπn: 519988
04:44:07	 Tµi kho∂n: bibabibo02	 Nh©n vÀt: HoangKiemNhat	 DWORD ID: -1796812606	 C p: 122	 IP: 42.119.156.197 : 49947	 Xu: 0	 TÊng ti“n vπn: 4393
04:44:59	 Tµi kho∂n: bibabibo01	 Nh©n vÀt: DeNhiMong	 DWORD ID: 1847609421	 C p: 122	 IP: 42.119.156.197 : 59997	 Xu: 26	 TÊng ti“n vπn: 400
04:46:17	 Tµi kho∂n: bibabibo00	 Nh©n vÀt: ChuHaiVT	 DWORD ID: 1096389470	 C p: 122	 IP: 42.119.156.197 : 35591	 Xu: 16	 TÊng ti“n vπn: 3397
04:51:38	 Tµi kho∂n: bibabibo02	 Nh©n vÀt: HoangKiemNhat	 DWORD ID: -1796812606	 C p: 122	 IP: 42.119.156.197 : 62090	 Xu: 0	 TÊng ti“n vπn: 7389
05:01:50	 Tµi kho∂n: aipcorp	 Nh©n vÀt: HoµngŸThÔyŸChi	 DWORD ID: -2060615299	 C p: 130	 IP: 1.54.210.166 : 51267	 Xu: 4870	 TÊng ti“n vπn: 14278
05:02:42	 Tµi kho∂n: tkmoi1	 Nh©n vÀt: D–pŸLµo	 DWORD ID: -666879951	 C p: 125	 IP: 222.255.113.183 : 54601	 Xu: 5	 TÊng ti“n vπn: 201646
05:03:44	 Tµi kho∂n: tkmoi8	 Nh©n vÀt: CayTienVan2	 DWORD ID: -1981110088	 C p: 123	 IP: 222.255.113.183 : 54609	 Xu: 0	 TÊng ti“n vπn: 35164
05:03:45	 Tµi kho∂n: tkmoi6	 Nh©n vÀt: CayTienVan	 DWORD ID: 1913290082	 C p: 123	 IP: 222.255.113.183 : 54611	 Xu: 0	 TÊng ti“n vπn: 52345
05:04:18	 Tµi kho∂n: aipcorp2	 Nh©n vÀt: ThoaŸMun	 DWORD ID: -668223086	 C p: 129	 IP: 1.54.210.166 : 39258	 Xu: 80	 TÊng ti“n vπn: 0
05:04:27	 Tµi kho∂n: tkmoi6	 Nh©n vÀt: CayTienVan	 DWORD ID: 1913290082	 C p: 123	 IP: 222.255.113.183 : 54622	 Xu: 0	 TÊng ti“n vπn: 52345
05:04:30	 Tµi kho∂n: tkmoi1	 Nh©n vÀt: D–pŸLµo	 DWORD ID: -666879951	 C p: 125	 IP: 222.255.113.183 : 54623	 Xu: 5	 TÊng ti“n vπn: 202245
