08:54:38	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 1	 IP: 192.168.1.4 : 65182	 Xu: 906437	 Tæng tiÒn v¹n: 0
09:15:02	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 65269	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:15:34	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 65271	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:16:08	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 65273	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:16:48	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 65276	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:20:25	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 65281	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:21:22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 65284	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:22:43	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 65288	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:23:59	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51401	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:25:11	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51567	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:26:13	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51646	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:26:41	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51654	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:27:28	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51661	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:29:08	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51841	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:31:19	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51906	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:32:12	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51910	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:32:36	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51912	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:34:13	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51949	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:34:59	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51951	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:36:34	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51956	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:37:03	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51959	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:38:49	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51962	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:39:38	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51964	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:40:14	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51967	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:40:50	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51969	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:41:32	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51972	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:42:13	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51975	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:42:53	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51978	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:43:26	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51980	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:46:48	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51987	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:47:57	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51991	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:49:36	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 51996	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:51:32	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52002	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:52:54	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52009	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:53:36	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52011	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:55:29	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52026	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:56:36	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52032	 Xu: 906437	 Tæng tiÒn v¹n: 2000
10:01:40	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52054	 Xu: 906437	 Tæng tiÒn v¹n: 2000
10:11:57	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52095	 Xu: 906437	 Tæng tiÒn v¹n: 2000
10:12:25	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52097	 Xu: 906437	 Tæng tiÒn v¹n: 2000
10:12:37	 Tµi kho¶n: conquinho03	 Nh©n vËt: Testttt	 DWORD ID: -535698003	 CÊp: 1	 IP: 192.168.1.4 : 52099	 Xu: 0	 Tæng tiÒn v¹n: 0
10:14:19	 Tµi kho¶n: conquinho01	 Nh©n vËt: 5456456	 DWORD ID: 2076610276	 CÊp: 1	 IP: 192.168.1.4 : 52104	 Xu: 999747	 Tæng tiÒn v¹n: 0
10:18:17	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52107	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
10:18:42	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52109	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
10:19:06	 Tµi kho¶n: conquinho03	 Nh©n vËt: Testttt	 DWORD ID: -535698003	 CÊp: 120	 IP: 192.168.1.4 : 52112	 Xu: 0	 Tæng tiÒn v¹n: 2000
10:33:20	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52181	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
10:34:24	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52183	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
10:37:39	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52189	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
10:42:08	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52194	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
10:42:39	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52196	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
10:43:45	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52198	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
10:45:47	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52200	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
10:55:24	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52218	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
10:58:07	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52233	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
10:58:20	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52235	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
11:03:42	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52243	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
11:03:55	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52245	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
11:04:16	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52247	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
11:05:17	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52252	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
11:16:33	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52261	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
11:19:33	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 52284	 Xu: 906437	 Tæng tiÒn v¹n: 112212000
11:33:52	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 150	 IP: 192.168.1.4 : 52317	 Xu: 906437	 Tæng tiÒn v¹n: 111912000
11:35:16	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 150	 IP: 192.168.1.4 : 52330	 Xu: 906437	 Tæng tiÒn v¹n: 111912000
