????	???????¨¤	?????¨¤¡À?	??????????	?????????¡Â??	?¨ª??	????	???¡Â??¡Á?	?¨º???¨¤¡À?	Level	
S­ ®å thiÕp	4	15	\spr\item\questkey\taskobj091.spr	38	1	1	Sö dông trong <color=red>Chøc n¨ng s­ ®å <color>	0	1	
ThÇn Bİ §¹i Hång Bao	4	16	\spr\thanh\vuotai.spr	41	1	1	Më ra nhËn ®­îc rÊt nhiÒu vËt phÈm quı hiÕm	1	1	
Kim Nguyªn B¶o	4	17	\spr\item\questkey\obj_item_cardg.spr	41	1	1	§æi vµng t¹i NPC TiÒn Trang<enter><color=green>1 Kim Nguyªn B¶o = 20 vµng	0	1	
Ngò Hoa T¸n	4	18	\spr\item\medecine\obj-potion12.spr	41	1	1	VËt phËm nhiÖm vô Long Ngò	0	1	
Bİ Kİp 120	4	19	\spr\item\script\other\21miji.spr	41	1	1	Sö dông ®Ó lÜnh ngé kü n¨ng 120 cña m«n ph¸i. <enter><color=green> §· häc kü n¨ng 120 råi sö dông sÏ nhËn ®­îc 10 ®iÓm tiÒm n¨ng	0	1	60000000
S¸ch T©n Thñ	4	20	\spr\item\script\jingniangshijian.spr	41	1	1	Cuèn s¸ch hç trî cho T©n Thñ míi gia nhËp M¸y Chñ Hoµi NiÖm	0	1	
HuyÒn Tinh 1 Tinh KhiÕt	4	21	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	VËt phÈm nhiÖm vô	0	1	
Qu¶ Huy Hoµng	4	22	\spr\item\questkey\huihuangzhiguo.spr	377	1	1	¡n vµo t¨ng thªm 5.000.000 kinh nghiÖm<enter>Sö dông cho ®¼ng cÊp: <color=red>d­íi 100	0	1	
Khiªu ChiÕn LÖnh	4	23	\spr\item\vietnam\tiaozhanling.spr	277	1	1	Tiİn vËt c«ng thµnh chiÕn	1	1	
Tèng Kim Chiªu Th­	4	24	\spr\item\songjin\rescript.spr	383	1	1	GiÊy phĞp th«ng hµnh ®Ó tham gia ChiÕn tr­êng Tèng Kim<enter><color=green>NhÊp chuét ph¶i ®Ó sö dông <color>	0	1	
Cóc Hoa Th¹ch	4	25	\spr\item\questkey\taskobj056.spr	41	1	1	Lo¹i ®¸ quİ nh×n bÒ ngoµi gièng hoa cóc. (dïng ®Ó th¨ng cÊp Kü N¨ng ChuyÓn Sinh 2)	0	1	
M· N·o	4	26	\spr\item\questkey\taskobj144.spr	41	1	1	Lo¹i ®¸ quİ mµ c¸c quan viªn th­êng thu thËp. (dïng ®Ó th¨ng cÊp Kü N¨ng ChuyÓn Sinh 2)	0	1	
Ngäc Bİ Èn	4	27	\spr\item\questkey\bingcanwujisi.spr	41	1	1	Lo¹i ngäc cùc kú quı hiÕm. Sö dông trong C­êng Hãa Vò Khİ 11 - 15	1	1	
Lam Thuû Tinh	4	28	\spr\item\questkey\baoshi_zhuanxu.spr	333	1	1	Viªn thuû tinh chøa søc m¹nh thÇn b×	0	1	
Tö Thuû Tinh	4	29	\spr\item\questkey\baoshi_xingtian.spr	333	1	1	Viªn thuû tinh chøa søc m¹nh thÇn b×	0	1	
Lôc Thuû Tinh	4	30	\spr\item\questkey\baoshi_nvwa.spr	333	1	1	Viªn thuû tinh chøa søc m¹nh thÇn b×	0	1	
Tinh Hång B¶o Th¹ch	4	31	\spr\item\obj_item_red.spr	333	1	1	Thø b¶o th¹ch thÇn b× gióp ®· th«ng kinh m¹ch khi luyÖn c«ng	0	1	
Kª HuyÕt Th¹ch 	4	32	\spr\item\questkey\nanmingzhijing.spr	41	1	1	Lo¹i ®¸ s¾c ®á h¬n c¶ chu sa. (dïng ®Ó th¨ng cÊp Kü N¨ng ChuyÓn Sinh 2)	0	1	
§¸ Th¨ng CÊp Phiªn Vò [2]	4	33	\spr\item\questkey\taskobj018.spr	41	1	1	Lo¹i thiªn th¹ch ngµn n¨m khã t×m. (dïng ®Ó th¨ng cÊp Ngùa Phiªn Vò CÊp 2)	1	1	
D©y Th¨ng CÊp Siªu Quang	4	34	\spr\item\vietnam\midautumn06\tiesi.spr	41	1	1	Lo¹i d©y dïng ®Ó n©ng cÊp ngùa Siªu Quang	1	1	
Lªnh Bµi An Bang	4	35	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn T­¬ng D­¬ng gÆp An Bang Sø Gi¶ ®Ó ®æi lÊy <color=red>[An Bang B¨ng Tinh Th¹ch H¹ng Liªn]	0	1	
Lªnh Bµi An Bang	4	36	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn T­¬ng D­¬ng gÆp An Bang Sø Gi¶ ®Ó ®æi lÊy <color=red>[An Bang Cóc Hoa Th¹ch ChØ Hoµn]	0	1	
Lªnh Bµi An Bang	4	37	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn T­¬ng D­¬ng gÆp An Bang Sø Gi¶ ®Ó ®æi lÊy <color=red>[An Bang Kª HuyÕt Th¹ch Giíi ChØ]	0	1	
Lªnh Bµi An Bang	4	38	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn T­¬ng D­¬ng gÆp An Bang Sø Gi¶ ®Ó ®æi lÊy <color=red>[An Bang §iÒn Hoµng Th¹ch Ngäc Béi]	0	1	
Lªnh Bµi §Şnh Quèc	4	39	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn Ph­îng T­êng gÆp §Şnh Quèc Sø Gi¶ ®Ó ®æi lÊy <color=red>[§Şnh Quèc ¤ Sa Ph¸t Qu¸n]	0	1	
Lªnh Bµi §Şnh Quèc	4	40	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn Ph­îng T­êng gÆp §Şnh Quèc Sø Gi¶ ®Ó ®æi lÊy <color=red>[§Şnh Quèc Thanh Sa Tr­êng Sam]	0	1	
Lªnh Bµi §Şnh Quèc	4	41	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn Ph­îng T­êng gÆp §Şnh Quèc Sø Gi¶ ®Ó ®æi lÊy <color=red>[§Şnh Quèc Ng©n TÇm Yªu §¸i]	0	1	
Lªnh Bµi §Şnh Quèc	4	42	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn Ph­îng T­êng gÆp §Şnh Quèc Sø Gi¶ ®Ó ®æi lÊy <color=red>[§Şnh Quèc Xİch QuyÒn NhuyÔn Ngoa]	0	1	
Lªnh Bµi §Şnh Quèc	4	43	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn Ph­îng T­êng gÆp §Şnh Quèc Sø Gi¶ ®Ó ®æi lÊy <color=red>[§Şnh Quèc Tö §»ng Hé UyÓn]	0	1	
Tinh Th¹ch C­êng Hãa	4	44	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Dïng ®Ó Ph©n T¸ch C­êng Hãa trang bŞ xanh	1	1	
HuyÒn Tinh 2	4	45	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Nguyªn liÖu ph©n r· trang bŞ Hoµng Kim	1	1	
HuyÒn Tinh 3	4	46	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Nguyªn liÖu ph©n r· trang bŞ Hoµng Kim	1	1	
HuyÒn Tinh 4	4	47	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Nguyªn liÖu ph©n r· trang bŞ Hoµng Kim	1	1	
HuyÒn Tinh 5	4	48	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Nguyªn liÖu ph©n r· trang bŞ Hoµng Kim	1	1	
HuyÒn Tinh 6	4	49	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Nguyªn liÖu ph©n r· trang bŞ Hoµng Kim	1	1	
HuyÒn Tinh 7	4	50	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Nguyªn liÖu ph©n r· trang bŞ Hoµng Kim	1	1	
HuyÒn Tinh 8	4	51	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Nguyªn liÖu ph©n r· trang bŞ Hoµng Kim	1	1	
HuyÒn Tinh 9	4	52	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Nguyªn liÖu ph©n r· trang bŞ Hoµng Kim	1	1	
HuyÒn Tinh 10	4	53	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Nguyªn liÖu ph©n r· trang bŞ Hoµng Kim	1	1	
§iÒn Hoµng th¹ch	4	54	\spr\item\questkey\taskobj026.spr	41	1	1	"Mét lo¹i linh th¹ch, mµu nh­ lßng ®á trøng gµ, rÊt hiÕm. (dïng ®Ó th¨ng cÊp Kü N¨ng ChuyÓn Sinh 2)"	0	1	
LÖnh bµi vinh dù Hoµng Kim	4	55	\spr\item\vietnam\leaguematch\icon_league_gold.spr	385	1	1	Sö dông sÏ nhËn ®­îc 500 ®iÓm vinh dù	0	1	
LÖnh bµi vinh dù B¹ch Ng©n	4	56	\spr\item\vietnam\leaguematch\icon_league_silver.spr	385	1	1	Sö dông sÏ nhËn ®­îc 100 ®iÓm vinh dù	0	1	
LÖnh bµi vinh dù Thanh ®ång	4	57	\spr\item\vietnam\leaguematch\icon_league_iron.spr	385	1	1	Sö dông sÏ nhËn ®­îc 50 ®iÓm vinh dù	0	1	
LÖnh bµi vinh dù Hµn thiÕt	4	58	\spr\item\vietnam\leaguematch\icon_league_copper.spr	385	1	1	Sö dông sÏ nhËn ®­îc 10 ®iÓm vinh dù	0	1	
X¸ Lîi Kim §¬n	4	59	\spr\item\newyear0901\liubaozhu.spr	41	1	1	BÊm chuét ph¶i vµo ®Ó gi¶m 1 PK	0	1	
T©m T©m T­¬ng ¸nh phï 	4	60	\spr\item\obj_item_heart.spr	41	1	1	Sö dông lËp tøc vÒ bªn c¹nh ng­êi tri kû 	0	1	
M·nh Thiªn Th¹ch 1	4	61	\spr\item\questkey\yunshisuipian1.spr	41	1	1	Nguyªn liÖu c­êng hãa An Bang Hoµn Mü 	0	1	
M·nh Thiªn Th¹ch 2	4	62	\spr\item\questkey\yunshisuipian2.spr	41	1	1	Nguyªn liÖu c­êng hãa An Bang Hoµn Mü 	0	1	
M·nh Thiªn Th¹ch 3	4	63	\spr\item\questkey\yunshisuipian3.spr	41	1	1	Nguyªn liÖu c­êng hãa An Bang Hoµn Mü 	0	1	
M·nh Thiªn Th¹ch 4	4	64	\spr\item\questkey\yunshisuipian4.spr	41	1	1	Nguyªn liÖu c­êng hãa An Bang Hoµn Mü 	0	1	
M·nh Thiªn Th¹ch 5	4	65	\spr\item\questkey\yunshisuipian5.spr	41	1	1	Nguyªn liÖu c­êng hãa An Bang Hoµn Mü 	0	1	
M·nh Thiªn Th¹ch 6	4	66	\spr\item\questkey\yunshisuipian6.spr	41	1	1	Nguyªn liÖu c­êng hãa An Bang Hoµn Mü 	0	1	
Hép Quµ Nhµ Gi¸o	4	67	\spr\item\script\jiefang_jieri\200804\luckybox.spr	428	1	1	Më ra nhËn ®­îc nguyªn liÖu ghĞp S¸ch mõng ngµy <color=yellow>Nhµ Gi¸o ViÖt Nam 20-11	1	1	
M¶nh cê 1	4	68	\spr\item\script\jiefang_jieri\200804\qisuipian1.spr	428	1	1	"Nguyªn liÖu ®Ó ghĞp thµnh L¸ Cê ChiÕn Th¾ng, mõng ngµy 02-09<enter>L­u ı: Click chuét ph¶i ®Ó xÕp chång."	1	1	
M¶nh cê 2	4	69	\spr\item\script\jiefang_jieri\200804\qisuipian2.spr	428	1	1	"Nguyªn liÖu ®Ó ghĞp thµnh L¸ Cê ChiÕn Th¾ng, mõng ngµy 02-09<enter>L­u ı: Click chuét ph¶i ®Ó xÕp chång."	1	1	
M¶nh cê 3	4	70	\spr\item\script\jiefang_jieri\200804\qisuipian3.spr	428	1	1	"Nguyªn liÖu ®Ó ghĞp thµnh L¸ Cê ChiÕn Th¾ng, mõng ngµy 02-09<enter>L­u ı: Click chuét ph¶i ®Ó xÕp chång."	1	1	
M¶nh cê 4	4	71	\spr\item\script\jiefang_jieri\200804\qisuipian4.spr	428	1	1	"Nguyªn liÖu ®Ó ghĞp thµnh L¸ Cê ChiÕn Th¾ng, mõng ngµy 02-09<enter>L­u ı: Click chuét ph¶i ®Ó xÕp chång."	1	1	
L¸ Cê ChiÕn Th¾ng	4	72	\spr\item\script\jiefang_jieri\200804\zhanshengqi.spr	428	2	2	L¸ Cê ChiÕn Th¾ng mõng ngµy 02-09<enter>Sö dông sÏ nhËn ®­îc rÊt nhiÒu kinh nghiÖm.	1	1	
Trèng	4	73	\spr\item\songjin\wardrum.spr	428	1	1	Mét bé phÇn cña thuyÒn Rång <enter>NhÊn chuét ph¶i xem chi tiÕt	1	1	
ThÇn bİ kho¸ng th¹ch	4	74	\spr\item\christmas\perfect.spr	425	1	1	<color=yellow>Dïng ®Ó kh¶m n¹m vµ n©ng cÊp Trang bŞ HuyÒn Tinh hoÆc trang bŞ Hoµng Kim	0	1	
§¹t Ma §é Giang	4	75	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=yellow>Thiªu L©m 	0	1	
V« T­íng Tr¶m	4	76	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=yellow>Thiªu L©m 	0	1	
Hoµnh T¶o Thiªn Qu©n	4	77	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=yellow>Thiªu L©m 	0	1	
Truy Tinh Tróc NguyÖt	4	78	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=yellow>Thiªn V­¬ng Bang	0	1	
Truy Phong QuyÕt	4	79	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=yellow>Thiªn V­¬ng Bang	0	1	
Ph¸ Thiªn Tr¶m	4	80	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=yellow>Thiªn V­¬ng Bang	0	1	
B¶o Vò Lª Hoa	4	81	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=wood>§­êng M«n	0	1	
NhiÕp Hån NguyÖt ¶nh	4	82	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=wood>§­êng M«n	0	1	
Cöu Cung Phi Tinh	4	83	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=wood>§­êng M«n	0	1	
Lo¹n Hoµn Kİch	4	84	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=wood>§­êng M«n	0	1	
¢m Phong Thùc Cèt	4	85	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=wood>Ngò §éc Gi¸o	0	1	
HuyÒn ¢m Tr¶m	4	86	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=wood>Ngò §éc Gi¸o	0	1	
§o¹n C©n Hñ Cèt	4	87	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=wood>Ngò §éc Gi¸o	0	1	
Phong S­¬ng To¸I ¶nh	4	88	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=blue>Nga Mi Ph¸i	0	1	
Tam Nga Tª TuyÕt	4	89	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=blue>Nga Mi Ph¸i	0	1	
Phæ §é Chóng Sinh	4	90	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=blue>Nga Mi Ph¸i	0	1	
B¨ng Tung V« ¶nh	4	91	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=blue>Thuı Yªn M«n	0	1	
B¨ng T©m Tiªn Tö	4	92	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=blue>Thuı Yªn M«n	0	1	
Phi Long T¹i Thiªn	4	93	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=fire>C¸I Bang	0	1	
Thiªn H¹ V« Cèu	4	94	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=fire>C¸I Bang	0	1	
Thiªn Ngo¹i L­u Tinh	4	95	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=fire>Thiªn NhÉn	0	1	
V©n Long Kİch	4	96	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=fire>Thiªn NhÉn	0	1	
NhiÕp Hån Lo¹n T©m	4	97	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=fire>Thiªn NhÉn	0	1	
Thiªn §Şa V« Cùc	4	98	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=earth>Vâ §ang	0	1	
Nh©n KiÕm Hîp NhÊt	4	99	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=earth>Vâ §ang	0	1	
L«i §éng Cöu Thiªn	4	100	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=earth>C«n L«n	0	1	
Ng¹o TuyÕt Tiªu Phong	4	101	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=earth>C«n L«n	0	1	
Tuı Tiªn T¸ Cèt	4	102	\spr\item\questkey\obj_item_lection.spr	341	1	1	S¸ch ghi l¹i vâ c«ng 90 cña <color=earth>C«n L«n	0	1	
Ngò Hoa Ngäc Lé Hoµn LÔ Bao	4	103	\spr\item\obj_item_jixiang.spr	277	1	1	VËt phÈm hç trî luyÖn c«ng<enter>Sö dông sÏ nhËn ®­îc 20 viªn Ngò Hoa Ngäc Lé Hoµn	1	1	60000
Cöu ChuyÓn Hoµn Hån §an LÔ Bao	4	104	\spr\item\obj_item_jixiang.spr	277	1	1	VËt phÈm hç trî luyÖn c«ng<enter>Sö dông sÏ nhËn ®­îc 20 viªn Cöu ChuyÓn Hoµn Hån §an chuyªn dông.	1	1	40000
Thñ ¤ Hoµn ThÇn §an LÔ Bao	4	105	\spr\item\obj_item_jixiang.spr	277	1	1	VËt phÈm hç trî luyÖn c«ng<enter>Sö dông sÏ nhËn ®­îc 20 viªn Thñ ¤ Hoµn ThÇn §an chuyªn dông.	1	1	40000
Ngò Hoa Ngäc Lé Hoµn LÔ Bao	4	106	\spr\item\obj_item_jixiang.spr	277	1	1	VËt phÈm hç trî Tèng Kim<enter>Sö dông sÏ nhËn ®­îc 20 viªn Ngò Hoa Ngäc Lé Hoµn	1	1	
Thõa Tiªn MËt LÔ Bao (Trung)	4	107	\spr\item\obj_item_jixiang.spr	370	1	1	VËt phÈm hç trî luyÖn c«ng<enter>Sö dông sÏ nhËn ®­îc 20 viªn Thõa Tiªn MËt Trung	1	1	3000
Kim S¸ng D­îc LÔ Bao (Trung)	4	108	\spr\item\obj_item_jixiang.spr	370	1	1	VËt phÈm hç trî luyÖn c«ng<enter>Sö dông sÏ nhËn ®­îc 20 viªn Kim S¸ng D­îc Trung	1	1	2000
Thõa Tiªn MËt LÔ Bao (§¹i)	4	109	\spr\item\obj_item_jixiang.spr	277	1	1	VËt phÈm hç trî luyÖn c«ng<enter>Sö dông sÏ nhËn ®­îc 20 viªn Thõa Tiªn MËt §¹i	1	1	7500
Kim S¸ng D­îc LÔ Bao (§¹i)	4	110	\spr\item\obj_item_jixiang.spr	277	1	1	VËt phÈm hç trî luyÖn c«ng<enter>Sö dông sÏ nhËn ®­îc 20 viªn Kim S¸ng D­îc §¹i	1	1	5000
Ng­ng ThÇn §an LÔ Bao (§¹i)	4	111	\spr\item\obj_item_jixiang.spr	277	1	1	VËt phÈm hç trî luyÖn c«ng<enter>Sö dông sÏ nhËn ®­îc 20 viªn Ng­ng ThÇn §an §¹i	1	1	5000
Ng­ng ThÇn §an LÔ Bao (Trung)	4	112	\spr\item\obj_item_jixiang.spr	277	1	1	VËt phÈm hç trî luyÖn c«ng<enter>Sö dông sÏ nhËn ®­îc 20 viªn Ng­ng ThÇn §an Trung	1	1	2000
Tiªn Th¶o Lé 30 phót	4	113	\spr\item\medecine\xiancaolu.spr	41	1	1	"T¨ng 2 lÇn kinh nghiÖm khi ®¸nh qu¸i trong 30 phót<enter><color=green>Kh«ng giíi h¹n sè l­îng sö dông trong ngµy, cã céng dån"	0	1	
N÷ Nhi Hång 30 phót	4	114	\spr\item\questkey\taskobj084.spr	41	1	1	"T¨ng 2 lÇn tèc ®é luyÖn skill trong 30 phót <enter><color=green>Kh«ng giíi h¹n sè l­îng sö dông trong ngµy, cã céng dån"	0	1	
N÷ Nhi Hång 3 giê	4	115	\spr\item\questkey\taskobj084.spr	41	1	1	T¨ng 2 lÇn tèc ®é luyÖn skill trong 3 giê	0	1	
N÷ Nhi Hång ®Æc biÖt	4	116	\spr\item\questkey\taskobj084.spr	41	1	1	T¨ng 2 lÇn tèc ®é luyÖn skill trong 6 giê	0	1	
Tiªn Th¶o Lé 1 giê	4	117	\spr\item\medecine\xiancaolu.spr	41	1	1	"T¨ng 2 lÇn kinh nghiÖm khi ®¸nh qu¸i trong 1 giê <enter><color=green>Kh«ng giíi h¹n sè l­îng sö dông trong ngµy, cã céng dån"	0	1	1200000
N÷ Nhi Hång 1 giê	4	118	\spr\item\questkey\taskobj084.spr	41	1	1	T¨ng 2 lÇn tèc ®é luyÖn skill trong 1 giê	0	1	1200000
Tiªn Th¶o Lé 3 giê	4	119	\spr\item\medecine\xiancaolu.spr	41	1	1	"T¨ng 2 lÇn kinh nghiÖm khi ®¸nh qu¸i trong 3 giê <enter><color=green>Kh«ng giíi h¹n sè l­îng sö dông trong ngµy, cã céng dån"	0	1	3600000
Tiªn Th¶o Lé ®Æc biÖt	4	120	\spr\item\medecine\xiancaolu_sp.spr	41	1	1	T¨ng 2 lÇn kinh nghiÖm khi ®¸nh qu¸i trong 6 giê <enter><color=green>Kh«ng giíi h¹n sè l­îng sö dông trong ngµy	0	1	7200000
B¸nh trung thu con heo	4	121	\spr\item\vietnam\midautumn06\mooncake_6.spr	430	2	1	Sö dông sÏ nhËn ®­îcrÊt nhiÒu kinh nghiÖm	1	1	
Hép vËt liÖu lång ®Ìn	4	122	\spr\item\mid_autumn\zhongqiuwupin.spr	432	1	1	Trong chøa c¸c vËt liÖu lµm lång ®Ìn	1	1	
GiÊy kiÕng vµng (VËt liÖu lµm lång ®Ìn)	4	123	\spr\item\vietnam\midautumn06\paper_yello.spr	432	1	1	Mang ®ñ vËt liÖu ®Õn LÔ Quan trong thµnh ®Ó hîp thµnh lång ®Ìn	1	1	
GiÊy kiÕng lam (VËt liÖu lµm lång ®Ìn)	4	124	\spr\item\vietnam\midautumn06\paper_blue.spr	432	1	1	Mang ®ñ vËt liÖu ®Õn LÔ Quan trong thµnh ®Ó hîp thµnh lång ®Ìn	1	1	
GiÊy kiÕng lôc (VËt liÖu lµm lång ®Ìn)	4	125	\spr\item\vietnam\midautumn06\paper_green.spr	432	1	1	Mang ®ñ vËt liÖu ®Õn LÔ Quan trong thµnh ®Ó hîp thµnh lång ®Ìn	1	1	
GiÊy kiÕng ®á (VËt liÖu lµm lång ®Ìn)	4	126	\spr\item\vietnam\midautumn06\paper_red.spr	432	1	1	Mang ®ñ vËt liÖu ®Õn LÔ Quan trong thµnh ®Ó hîp thµnh lång ®Ìn	1	1	
