????	???????¨¤	?????¨¤¡À?	??????????	?????????¡Â??	?¨ª??	????	???¡Â??¡Á?	?¨º???¨¤¡À?	Level	
Kim Nguyªn B¶o	4	17	\spr\item\questkey\obj_item_cardg.spr	41	1	1	Sö dông nhËn ®­îc <color=yellow>20<color> vµng<enter>§æi vµng t¹i NPC TiÒn Trang	0	1	
Ngò Hoa T¸n	4	18	\spr\item\medecine\obj-potion12.spr	41	1	1	VËt phËm nhiÖm vô Long Ngò	0	1	
Bİ Kİp 120	4	19	\spr\item\questkey\taskobj022.spr	41	1	1	Sö dông ®Ó lÜnh ngé kü n¨ng 120 cña m«n ph¸i	0	1	60000000
S¸ch T©n Thñ	4	20	\spr\item\questkey\taskobj119.spr	41	1	1	Cuèn s¸ch hç trî cho T©n Thñ míi gia nhËp T©n KiÕm HiÖp	0	1	
HuyÒn Tinh 1 Tinh KhiÕt	4	21	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	VËt phÈm nhiÖm vô	0	1	
Qu¶ Hoµng Kim	4	22	\spr\item\questkey\huihuangzhiguo.spr	377	1	1	¡n vµo sÏ t¨ng gÊp ®«i c«ng lùc	0	1	
Khiªu ChiÕn LÖnh	4	23	\spr\item\vietnam\tiaozhanling.spr	277	1	1	Tiİn vËt c«ng thµnh chiÕn	0	1	
Tèng Kim Chiªu Th­	4	24	\spr\tkchieuthu.spr	383	1	1	GiÊy phĞp th«ng hµnh ®Ó tham gia ChiÕn tr­êng Tèng Kim<enter><color=green>NhÊp chuét ph¶i ®Ó sö dông <color>	0	1	
Cóc Hoa Th¹ch	4	25	\spr\item\questkey\taskobj056.spr	41	1	1	Lo¹i ®¸ quİ nh×n bÒ ngoµi gièng hoa cóc. (dïng ®Ó chÕ t¹o trang bŞ An Bang hoµn mü)	0	1	
M· N·o	4	26	\spr\item\questkey\taskobj144.spr	41	1	1	Lo¹i ®¸ quİ mµ c¸c quan viªn th­êng thu thËp. (dïng ®Ó chÕ t¹o trang bŞ An Bang hoµn mü)	0	1	
B¨ng ThiÒm T¬	4	27	\spr\item\questkey\bingcanwujisi.spr	41	1	1	"Lo¹i t¬ quİ hiÕm, v« cïng ch¾c ch¾n. (dïng ®Ó chÕ t¹o trang bŞ An Bang hoµn mü)"	0	1	
Lam Thuû Tinh	4	28	\spr\item\questkey\baoshi_zhuanxu.spr	333	1	1	Viªn thuû tinh chøa søc m¹nh thÇn b×	0	1	
Tö Thuû Tinh	4	29	\spr\item\questkey\baoshi_xingtian.spr	333	1	1	Viªn thuû tinh chøa søc m¹nh thÇn b×	0	1	
Lôc Thuû Tinh	4	30	\spr\item\questkey\baoshi_nvwa.spr	333	1	1	Viªn thuû tinh chøa søc m¹nh thÇn b×	0	1	
Tinh Hång B¶o Th¹ch	4	31	\spr\item\obj_item_red.spr	333	1	1	Thø b¶o th¹ch thÇn b× gióp ®· th«ng kinh m¹ch khi luyÖn c«ng	0	1	
Kª HuyÕt Th¹ch 	4	32	\spr\item\questkey\nanmingzhijing.spr	41	1	1	Lo¹i ®¸ s¾c ®á h¬n c¶ chu sa. (dïng ®Ó chÕ t¹o trang bŞ An Bang hoµn mü)	0	1	
B¨ng th¹ch kÕt tinh	4	33	\spr\item\questkey\taskobj018.spr	41	1	1	"KÕt tinh tõ b¨ng th¹ch thiªn niªn, kh¸ng l«i rÊt hiÖu qu¶. (dïng ®Ó chÕ t¹o trang bŞ An Bang hoµn mü)"	0	1	
M¶nh Thiªn th¹ch	4	34	\spr\item\questkey\taskobj125.spr	41	1	1	Lo¹i thiªn th¹ch ngµn n¨m khã t×m. (dïng ®Ó chÕ t¹o trang bŞ An Bang hoµn mü)	0	1	
Lªnh Bµi An Bang	4	35	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn T­¬ng D­¬ng gÆp An Bang Sø Gi¶ ®Ó ®æi lÊy <color=red>[An Bang B¨ng Tinh Th¹ch H¹ng Liªn]	0	1	
Lªnh Bµi An Bang	4	36	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn T­¬ng D­¬ng gÆp An Bang Sø Gi¶ ®Ó ®æi lÊy <color=red>[An Bang Cóc Hoa Th¹ch ChØ Hoµn]	0	1	
Lªnh Bµi An Bang	4	37	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn T­¬ng D­¬ng gÆp An Bang Sø Gi¶ ®Ó ®æi lÊy <color=red>[An Bang Kª HuyÕt Th¹ch Giíi ChØ]	0	1	
Lªnh Bµi An Bang	4	38	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn T­¬ng D­¬ng gÆp An Bang Sø Gi¶ ®Ó ®æi lÊy <color=red>[An Bang §iÒn Hoµng Th¹ch Ngäc Béi]	0	1	
Lªnh Bµi §Şnh Quèc	4	39	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn Ph­îng T­êng gÆp §Şnh Quèc Sø Gi¶ ®Ó ®æi lÊy <color=red>[§Şnh Quèc ¤ Sa Ph¸t Qu¸n]	0	1	
Lªnh Bµi §Şnh Quèc	4	40	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn Ph­îng T­êng gÆp §Şnh Quèc Sø Gi¶ ®Ó ®æi lÊy <color=red>[§Şnh Quèc Thanh Sa Tr­êng Sam]	0	1	
Lªnh Bµi §Şnh Quèc	4	41	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn Ph­îng T­êng gÆp §Şnh Quèc Sø Gi¶ ®Ó ®æi lÊy <color=red>[§Şnh Quèc Ng©n TÇm Yªu §¸i]	0	1	
Lªnh Bµi §Şnh Quèc	4	42	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn Ph­îng T­êng gÆp §Şnh Quèc Sø Gi¶ ®Ó ®æi lÊy <color=red>[§Şnh Quèc Xİch QuyÒn NhuyÔn Ngoa]	0	1	
Lªnh Bµi §Şnh Quèc	4	43	\spr\item\questkey\obj_item_herokey1.spr	41	1	1	§Õn Ph­îng T­êng gÆp §Şnh Quèc Sø Gi¶ ®Ó ®æi lÊy <color=red>[§Şnh Quèc Tö §»ng Hé UyÓn]	0	1	
HuyÒn Tinh 1	4	44	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Lµ 1 trong nh­ng nguyªn liÖu chÕ t¹o trang bŞ HuyÒn Tinh	0	1	
HuyÒn Tinh 2	4	45	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Lµ 1 trong nh­ng nguyªn liÖu chÕ t¹o trang bŞ HuyÒn Tinh	0	1	
HuyÒn Tinh 3	4	46	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Lµ 1 trong nh­ng nguyªn liÖu chÕ t¹o trang bŞ HuyÒn Tinh	0	1	
HuyÒn Tinh 4	4	47	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Lµ 1 trong nh­ng nguyªn liÖu chÕ t¹o trang bŞ HuyÒn Tinh	0	1	
HuyÒn Tinh 5	4	48	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Lµ 1 trong nh­ng nguyªn liÖu chÕ t¹o trang bŞ HuyÒn Tinh	0	1	5000000
HuyÒn Tinh 6	4	49	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Lµ 1 trong nh­ng nguyªn liÖu chÕ t¹o trang bŞ HuyÒn Tinh	0	1	
HuyÒn Tinh 7	4	50	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Lµ 1 trong nh­ng nguyªn liÖu chÕ t¹o trang bŞ HuyÒn Tinh	0	1	
HuyÒn Tinh 8	4	51	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Lµ 1 trong nh­ng nguyªn liÖu chÕ t¹o trang bŞ HuyÒn Tinh	0	1	
HuyÒn Tinh 9	4	52	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Lµ 1 trong nh­ng nguyªn liÖu chÕ t¹o trang bŞ HuyÒn Tinh	0	1	
HuyÒn Tinh 10	4	53	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Lµ 1 trong nh­ng nguyªn liÖu chÕ t¹o trang bŞ HuyÒn Tinh	0	1	
§iÒn Hoµng th¹ch	4	54	\spr\item\questkey\taskobj026.spr	41	1	1	"Mét lo¹i linh th¹ch, mµu nh­ lßng ®á trøng gµ, rÊt hiÕm. (dïng ®Ó chÕ t¹o trang bŞ An Bang hoµn mü)"	0	1	
LÖnh bµi vinh dù Hoµng Kim	4	55	\spr\item\vietnam\leaguematch\icon_league_gold.spr	385	1	1	Sö dông sÏ nhËn ®­îc 500 ®iÓm vinh dù	0	1	
LÖnh bµi vinh dù B¹ch Ng©n	4	56	\spr\item\vietnam\leaguematch\icon_league_silver.spr	385	1	1	Sö dông sÏ nhËn ®­îc 100 ®iÓm vinh dù	0	1	
LÖnh bµi vinh dù Thanh ®ång	4	57	\spr\item\vietnam\leaguematch\icon_league_iron.spr	385	1	1	Sö dông sÏ nhËn ®­îc 50 ®iÓm vinh dù	0	1	
LÖnh bµi vinh dù Hµn thiÕt	4	58	\spr\item\vietnam\leaguematch\icon_league_copper.spr	385	1	1	Sö dông sÏ nhËn ®­îc 10 ®iÓm vinh dù	0	1	
X¸ Lîi Kim §¬n	4	59	\spr\item\newyear0901\liubaozhu.spr	403	1	1	BÊm chuét ph¶i vµo ®Ó gi¶m 1 PK	0	1	
T©m T©m T­¬ng ¸nh phï 	4	60	\spr\item\obj_item_heart.spr	346	1	1	Sö dông lËp tøc vÒ bªn c¹nh ng­êi tri kû 	0	1	
M·nh Thiªn Th¹ch	4	61	\spr\item\questkey\yunshisuipian1.spr	41	1	1	"Mét m¶nh thiªn th¹ch, dïng ®Ó chÕ t¹o b¶o vËt<enter>Nghe nãi ®©y lµ vËt ®Ó hîp thµnh <color=yellow> m¶nh Hoµng Kim thø 1<color>"	0	1	
M·nh Thiªn Th¹ch	4	62	\spr\item\questkey\yunshisuipian2.spr	41	1	1	"Mét m¶nh thiªn th¹ch, dïng ®Ó chÕ t¹o b¶o vËt<enter>Nghe nãi ®©y lµ vËt ®Ó hîp thµnh <color=yellow> m¶nh Hoµng Kim thø 2<color>"	0	1	
M·nh Thiªn Th¹ch	4	63	\spr\item\questkey\yunshisuipian3.spr	41	1	1	"Mét m¶nh thiªn th¹ch, dïng ®Ó chÕ t¹o b¶o vËt<enter>Nghe nãi ®©y lµ vËt ®Ó hîp thµnh <color=yellow> m¶nh Hoµng Kim thø 3<color>"	0	1	
M·nh Thiªn Th¹ch	4	64	\spr\item\questkey\yunshisuipian4.spr	41	1	1	"Mét m¶nh thiªn th¹ch, dïng ®Ó chÕ t¹o b¶o vËt<enter>Nghe nãi ®©y lµ vËt ®Ó hîp thµnh <color=yellow> m¶nh Hoµng Kim thø 4<color>"	0	1	
M·nh Thiªn Th¹ch	4	65	\spr\item\questkey\yunshisuipian5.spr	41	1	1	"Mét m¶nh thiªn th¹ch, dïng ®Ó chÕ t¹o b¶o vËt<enter>Nghe nãi ®©y lµ vËt ®Ó hîp thµnh <color=yellow> m¶nh Hoµng Kim thø 5<color>"	0	1	
M·nh Thiªn Th¹ch	4	66	\spr\item\questkey\yunshisuipian6.spr	41	1	1	"Mét m¶nh thiªn th¹ch, dïng ®Ó chÕ t¹o b¶o vËt<enter>Nghe nãi ®©y lµ vËt ®Ó hîp thµnh <color=yellow> m¶nh Hoµng Kim thø 6<color>"	0	1	
GiÊy kiÕng vµng	4	67	\spr\item\vietnam\midautumn06\paper_yello.spr	432	1	1	VËt liÖu lµm lång ®Ìn trung thu	1	1	
GiÊy kiÕng lam	4	68	\spr\item\vietnam\midautumn06\paper_blue.spr	432	1	1	VËt liÖu lµm lång ®Ìn trung thu	1	1	
Hép vËt liÖu lång ®Ìn	4	69	\spr\item\mid_autumn\zhongqiuwupin.spr	432	1	1	Bªn trong chøa vËt phÈm lµm lång ®Ìn	1	1	
Thanh tre	4	70	\spr\item\vietnam\midautumn06\bamboo.spr	432	1	1	VËt liÖu lµm lång ®Ìn trung thu	1	1	
D©y cãi	4	71	\spr\item\vietnam\midautumn06\tiesi.spr	432	1	1	VËt liÖu lµm lång ®Ìn trung thu	1	1	
NÕn	4	72	\spr\item\vitenambirthday\candle004.spr	432	1	1	VËt liÖu lµm lång ®Ìn trung thu	1	1	
Tèng Kim Hoµng Kim Bµi	4	73	\spr\item\task\item_xinshijin.spr	385	1	2	LÖnh bµi nhËn ®­îc trong Tèng Kim	0	1	
ThÇn bİ kho¸ng th¹ch	4	74	\spr\item\christmas\perfect.spr	425	1	1	<color=yellow>Dïng ®Ó kh¶m n¹m vµ n©ng cÊp Trang bŞ HuyÒn Tinh hoÆc trang bŞ Hoµng Kim	0	1	
§å Phæ Hoµng Kim	4	75	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - ThiÕu L©m QuyÒn 	0	1	
§å Phæ Hoµng Kim	4	76	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - ThiÕu L©m §ao 	0	1	
§å Phæ Hoµng Kim	4	77	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - ThiÕu L©m Bæng 	0	1	
§å Phæ Hoµng Kim	4	78	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - Thiªn V­¬ng Th­¬ng	0	1	
§å Phæ Hoµng Kim	4	79	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - Thiªn V­¬ng Chïy	0	1	
§å Phæ Hoµng Kim	4	80	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - Thiªn V­¬ng §ao	0	1	
§å Phæ Hoµng Kim	4	81	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - §­êng M«n Ná 	0	1	
§å Phæ Hoµng Kim	4	82	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - §­êng M«n Phi §ao	0	1	
§å Phæ Hoµng Kim	4	83	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - §­êng M«n Phi Tiªu	0	1	
§å Phæ Hoµng Kim	4	84	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - §­êng M«n BÉy	0	1	
§å Phæ Hoµng Kim	4	85	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - Ngò §éc Ch­ëng	0	1	
§å Phæ Hoµng Kim	4	86	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - Ngò §éc §ao	0	1	
§å Phæ Hoµng Kim	4	87	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - Ngò §éc Bïa	0	1	
§å Phæ Hoµng Kim	4	88	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - Nga Mi Ch­ëng	0	1	
§å Phæ Hoµng Kim	4	89	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - Nga Mi KiÕm	0	1	
§å Phæ Hoµng Kim	4	90	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - Nga Mi Hç Trî	0	1	
§å Phæ Hoµng Kim	4	91	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - Thóy Yªn §ao	0	1	
§å Phæ Hoµng Kim	4	92	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - Thóy Yªn Song §ao	0	1	
§å Phæ Hoµng Kim	4	93	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - C¸i Bang Ch­ëng	0	1	
§å Phæ Hoµng Kim	4	94	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - C¸i Bang Bæng	0	1	
§å Phæ Hoµng Kim	4	95	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - Thiªn NhÉn §ao	0	1	
§å Phæ Hoµng Kim	4	96	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - Thiªn NhÉn Kİch	0	1	
§å Phæ Hoµng Kim	4	97	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - Thiªn NhÉn Bïa	0	1	
§å Phæ Hoµng Kim	4	98	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - Vâ §ang KiÕm	0	1	
§å Phæ Hoµng Kim	4	99	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - Vâ §ang Ch­ëng	0	1	
§å Phæ Hoµng Kim	4	100	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - C«n L«n Ch­ëng	0	1	
§å Phæ Hoµng Kim	4	101	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - C«n L«n §ao	0	1	
§å Phæ Hoµng Kim	4	102	\spr\item\script\item_huangjintupu.spr	341	1	1	Cuèn ®å phæ dïng ®Ó t¹o thµnh <color=yellow>Trang bŞ Hoµng Kim - C«n L«n Bïa	0	1	
Ngò Hoa Ngäc Lé Hoµn LÔ Bao	4	103	\spr\item\obj_item_jixiang.spr	277	1	1	VËt phÈm hç trî luyÖn c«ng<enter>Sö dông sÏ nhËn ®­îc 20 viªn Ngò Hoa Ngäc Lé Hoµn	0	1	60000
Cöu ChuyÓn Hoµn Hån §an LÔ Bao	4	104	\spr\item\obj_item_jixiang.spr	277	1	1	VËt phÈm hç trî luyÖn c«ng<enter>Sö dông sÏ nhËn ®­îc 20 viªn Cöu ChuyÓn Hoµn Hån §an chuyªn dông.	0	1	40000
Thñ ¤ Hoµn ThÇn §an LÔ Bao	4	105	\spr\item\obj_item_jixiang.spr	277	1	1	VËt phÈm hç trî luyÖn c«ng<enter>Sö dông sÏ nhËn ®­îc 20 viªn Thñ ¤ Hoµn ThÇn §an chuyªn dông.	0	1	40000
Ngò Hoa Ngäc Lé Hoµn LÔ Bao	4	106	\spr\item\obj_item_jixiang.spr	277	1	1	VËt phÈm hç trî Tèng Kim<enter>Sö dông sÏ nhËn ®­îc 20 viªn Ngò Hoa Ngäc Lé Hoµn	0	1	
Phóc Duyªn Trung [Ver 3]	4	107	\spr\item\medecine\fuyuanlu_middle.spr	370	1	1	H·y sö dông vµ ®Õn Hç Trî T©n Thñ ®Ó ®æi Phóc Duyªn Lé míi	1	1	
Phóc Duyªn §¹i [Ver 3]	4	108	\spr\item\medecine\fuyuanlu_big.spr	370	1	1	H·y sö dông vµ ®Õn Hç Trî T©n Thñ ®Ó ®æi Phóc Duyªn Lé míi	1	1	
Thõa Tiªn MËt LÔ Bao	4	109	\spr\item\obj_item_jixiang.spr	277	1	1	VËt phÈm hç trî luyÖn c«ng<enter>Sö dông sÏ nhËn ®­îc 20 viªn Thõa Tiªn MËt §¹i	0	1	7500
Kim S¸ng D­îc LÔ Bao	4	110	\spr\item\obj_item_jixiang.spr	277	1	1	VËt phÈm hç trî luyÖn c«ng<enter>Sö dông sÏ nhËn ®­îc 20 viªn Kim S¸ng D­îc §¹i	0	1	5000
Ng­ng ThÇn §an LÔ Bao	4	111	\spr\item\obj_item_jixiang.spr	277	1	1	VËt phÈm hç trî luyÖn c«ng<enter>Sö dông sÏ nhËn ®­îc 20 viªn Ng­ng ThÇn §an §¹i	0	1	5000
xxxxxxxxxxxxxxx	4	112	\spr\thanh\ttl.spr	41	1	1	T¨ng 2 lÇn kinh nghiÖm khi ®¸nh qu¸I trong 30 phót	1	1	
Tiªn Th¶o Lé nh?	4	113	\spr\thanh\ttl.spr	41	1	1	T¨ng 2 lÇn kinh nghiÖm khi ®¸nh qu¸I trong 30 phót	0	1	
N÷ Nhi Hång	4	114	\spr\item\questkey\taskobj084.spr	41	1	1	T¨ng 2 lÇn tèc ®é luyÖn skill trong 30 phót	0	1	
N÷ Nhi Hång 3 giê	4	115	\spr\item\questkey\taskobj084.spr	41	1	1	T¨ng 2 lÇn tèc ®é luyÖn skill trong 3 giê	0	1	
N÷ Nhi Hång 6 giê	4	116	\spr\item\questkey\taskobj084.spr	41	1	1	T¨ng 2 lÇn tèc ®é luyÖn skill trong 6 giê	0	1	
Tiªn Th¶o Lé	4	117	\spr\thanh\ttl.spr	41	1	1	T¨ng 2 lÇn kinh nghiÖm khi ®¸nh qu¸i trong 1 giê	0	1	1200000
N÷ Nhi Hång	4	118	\spr\item\questkey\taskobj084.spr	41	1	1	T¨ng 2 lÇn tèc ®é luyÖn skill trong 1 giê	0	1	1200000
Tiªn Th¶o Lé 3 giê	4	119	\spr\thanh\ttl.spr	41	1	1	T¨ng 2 lÇn kinh nghiÖm khi ®¸nh qu¸i trong 3 giê	0	1	3600000
Tiªn Th¶o Lé ®Æc biÖt	4	120	\spr\item\medecine\xiancaolu_sp.spr	41	1	1	T¨ng 2 lÇn kinh nghiÖm khi ®¸nh qu¸i trong 6 giê	0	1	7200000
GiÊy kiÕng lôc	4	121	\spr\item\vietnam\midautumn06\paper_green.spr	432	1	1	VËt liÖu lµm lång ®Ìn trung thu	1	1	
GiÊy kiÕng ®á	4	122	\spr\item\vietnam\midautumn06\paper_red.spr	432	1	1	VËt liÖu lµm lång ®Ìn trung thu	1	1	
GiÊy kiÕng cam	4	123	\spr\item\vietnam\midautumn06\paper_orange.spr	432	1	1	VËt liÖu lµm lång ®Ìn trung thu	1	1	
Lång ®Ìn b­¬m b­ím	4	124	\spr\item\vietnam\midautumn06\lantern_yello.spr	451	1	1	Th¾p lªn sÏ nh©n ®«I kinh nghiÖm trong 5 phót (kh«ng dïng chung víi Tiªn Th¶o Lé)	1	1	
Lång ®Ìn ng«i sao	4	125	\spr\item\vietnam\midautumn06\lantern_blue.spr	452	1	1	Th¾p lªn sÏ nh©n ®«I kinh nghiÖm trong 10 phót (kh«ng dïng chung víi Tiªn Th¶o Lé)	1	1	
