Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	"Lo¹i phi tiªu nµy trõ phi lµ c¸c cao thñ sö dông, nÕu kh«ng sÏ kh«ng cã c«ng hiÖu. "		6	1	1	28	6	6	29	11	11	167	-20	-20	31	100	100										36	0	32	20	33	30							0																					
Cang Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	Lo¹i phi ®ao ®­îc lµm tõ thÐp tinh chÕ. 		10	2	1	28	9	9	29	20	20	167	-20	-20	31	100	100										36	9	32	28	33	40							0																					
LiÔu DiÖp §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	"Lo¹i ®ao cùc máng, tèc ®é rÊt nhanh. "		13	3	1	28	14	14	29	30	30	167	-20	-20	31	100	100										36	18	32	39	33	50							0																					
Nh¹n VÜ §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	"Th©n nhá vµ dµi, rÊt khã sö dông, cÇn ph¶i cã tr×nh ®é nhÊt ®Þnh míi cã thÓ dïng. "		20	4	1	28	17	17	29	38	38	167	-20	-20	31	100	100										36	27	32	49	33	60							0																					
§¸iY §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	"ChÕ t¹o tõ hîp kim, sö dông ®¬n gi¶n, søc s¸t th­¬ng lín. "		26	5	1	28	21	21	29	46	46	167	-20	-20	31	100	100										36	36	32	59	33	70							0																					
§µo Hoa §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Lo¹i phi ®ao nhá vµ máng. 		33	6	1	28	25	25	29	56	56	167	-20	-20	31	100	100										36	45	32	69	33	80							0																					
Quang C¸n §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	"Lo¹i phi ®ao kh«ng cã chu«i, chØ dïng ch­ëng lùc ®Ó phãng ®i, rÊt khã sö dông. "		46	7	1	28	29	29	29	65	65	167	-20	-20	31	100	100										36	54	32	79	33	90							0																					
T©m ý §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	"Tïy ý mµ phãng, b¸ch ph¸t b¸ch tróng, lµ lo¹i ¸m khÝ rÊt h÷u dông"		60	8	1	28	33	33	29	74	74	167	-20	-20	31	100	100										36	63	32	89	33	100							0																					
§éc C¬ §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Lo¹i phi ®ao th«ng th­êng nh­ng cã tÈm thuèc ®éc. 		100	9	1	28	36	36	29	83	83	167	-20	-20	31	100	100										36	72	32	99	33	110							0																					
To¸i NguyÖt §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	"Lo¹i phi ®ao nhá vµ máng, phãng ra gièng nh­ v« h×nh. "		110	10	1	28	40	40	29	91	91	167	-20	-20	31	100	100										36	81	32	109	33	120							0																					
Tô TiÔn	0	1	2	\spr\item\equip\rangeweapon\obj-adart21.spr	17	1	3	"GiÊu trong èng s¸o, khi thæi vµo sÏ phãng ra, nh­ng kh¶ n¨ng s¸t th­¬ng thÊp. "		50	1	0	28	8	8	29	13	13	167	0	0	31	28	28										36	0	32	15	33	35							0																					
Tóc §Ó Ch©m	0	1	2	\spr\item\equip\rangeweapon\obj-adart24.spr	17	2	2	"GiÊu d­íi lßng bµn ch©n, khi nhÊc ch©n lªn sÏ phãng, rÊt khã ®Ò phßng. "		133	2	0	28	11	11	29	22	22	167	0	0	31	46	46										36	9	32	20	33	50							0																					
Tinh Trang Tô TiÔn	0	1	2	\spr\item\equip\rangeweapon\obj-adart21.spr	17	1	3	Lµ lo¹i Tô tiÔn nh­ng søc phãng ®i rÊt m¹nh. 		333	3	0	28	16	16	29	32	32	167	0	0	31	42	42										36	18	32	25	33	70							0																					
Thanh Phong §inh	0	1	2	\spr\item\equip\rangeweapon\obj-adart24.spr	17	2	2	"Lo¹i kim giÊu trong èng ®ång, khi thæi vµo sÏ phãng ®i, rÊt khã phßng bÞ. "		533	4	0	28	19	19	29	40	40	167	0	0	31	65	65										36	27	32	30	33	90							0																					
Bèi Trang Nç	0	1	2	\spr\item\equip\rangeweapon\obj-adart22.spr	16	2	2	"Lo¹i ¸m khÝ nguy hiÓm giÊu trªn l­ng, khi cói ®Çu sÏ phãng ra, rÊt khã phßng bÞ. "		1000	5	0	28	23	23	29	48	48	167	0	0	31	88	88										36	36	32	35	33	110							0																					
Hµm Sa X¹ ¶nh	0	1	2	\spr\item\equip\rangeweapon\obj-adart25.spr	17	2	2	"GiÊu phÝa tr­íc ngùc, phãng ra rÊt khã ®Ò phßng, lµ lo¹i ¸m khÝ rÊt lîi h¹i. "		1166	6	0	28	27	27	29	58	58	167	0	0	31	84	84										36	45	32	40	33	130							0																					
Ph¸ Gi¸p Nç	0	1	2	\spr\item\equip\rangeweapon\obj-adart22.spr	16	2	2	"Lo¹i ná cã søc c«ng ph¸ kinh ng­êi, cã thÓ b¾n xuyªn gi¸p s¾t. "		2166	7	0	28	31	31	29	67	67	167	0	0	31	118	118										36	54	32	45	33	150							0																					
B¹o Vò Lª Hoa Ch©m	0	1	2	\spr\item\equip\rangeweapon\obj-adart25.spr	17	2	2	"§éc m«n ¸m khÝ cña §­êng m«n, sè l­îng nhiÒu, søc c«ng ph¸ m¹nh, ®· tõng x­ng hïng mét thêi. "		2500	8	0	28	35	35	29	76	76	167	0	0	31	103	103										36	63	32	50	33	170							0																					
Gia C¸t Nç	0	1	2	\spr\item\equip\rangeweapon\obj-adart23.spr	16	2	2	"C¶i biÕn l¹i tõ d¹ng ná thêi Vò HËu, c­êng lùc rÊt m¹nh. "		3333	9	0	28	38	38	29	85	85	167	0	0	31	148	148										36	72	32	55	33	190							0																					
Khæng T­íc Linh	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	"Lo¹i ¸m khÝ thÇn bÝ, ng­êi tróng ph¶i chÕt kh«ng thÓ cøu. "		5000	10	0	28	42	42	29	93	93	167	0	0	31	121	121										36	81	32	60	33	210							0																					
B¨ng Hµn §¬n ChØ Phi §ao 	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Trang BÞ Hoµng Kim		30000	21	1	28	44	44	29	110	110	167	-20	-20	31	500	500										36	90	32	90	33	110	39	2					1	13	10	0	85	120	120	115	30	30	126	50	50	121	30	30	137	4	4	1048	1	1
B¨ng Hµn §¬n ChØ Phi §ao 	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Trang BÞ Hoµng Kim		30000	22	1	28	44	44	29	110	110	167	-20	-20	31	500	500										36	90	32	90	33	110	39	2					1	13	10	0	85	120	200	115	30	60	126	50	100	121	30	50	137	4	8	1048	1	3
B¨ng Hµn §¬n ChØ Phi §ao 	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Trang BÞ Hoµng Kim		30000	23	1	28	44	44	29	110	110	167	-20	-20	31	500	500										36	90	32	90	33	110	39	2					1	13	10	0	85	120	200	115	30	60	126	50	100	121	30	50	137	4	8	1048	1	3
B¨ng Hµn §¬n ChØ Phi §ao 	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Trang BÞ Hoµng Kim		30000	24	1	28	44	44	29	110	110	167	-20	-20	31	500	500										36	90	32	90	33	110	39	2					1	13	10	0	85	120	200	115	30	60	126	50	100	121	30	50	137	4	8	1048	1	3
B¨ng Hµn §¬n ChØ Phi §ao 	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Trang BÞ Hoµng Kim		30000	25	1	28	44	44	29	110	110	167	-20	-20	31	500	500										36	90	32	90	33	110	39	2					1	13	10	0	85	120	200	115	30	60	126	50	100	121	30	50	137	4	8	1048	1	3
B¨ng Hµn §¬n ChØ Phi §ao 	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Trang BÞ Hoµng Kim		30000	26	1	28	44	44	29	110	110	167	-20	-20	31	500	500										36	90	32	90	33	110	39	2					1	13	10	0	85	120	200	115	30	60	126	50	100	121	30	50	137	4	8	1048	1	3
B¨ng Hµn §¬n ChØ Phi §ao 	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Trang BÞ Hoµng Kim		30000	27	1	28	44	44	29	110	110	167	-20	-20	31	500	500										36	90	32	90	33	110	39	2					1	13	10	0	85	120	200	115	30	60	126	50	100	121	30	50	137	4	8	1048	1	3
B¨ng Hµn §¬n ChØ Phi §ao 	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Trang BÞ Hoµng Kim		30000	28	1	28	44	44	29	110	110	167	-20	-20	31	500	500										36	90	32	90	33	110	39	2					1	13	10	0	85	120	200	115	30	60	126	50	100	121	30	50	137	4	8	1048	1	3
B¨ng Hµn §¬n ChØ Phi §ao 	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Trang BÞ Hoµng Kim		30000	29	1	28	44	44	29	110	110	167	-20	-20	31	500	500										36	90	32	90	33	110	39	2					1	13	10	0	85	120	200	115	30	60	126	50	100	121	30	50	137	4	8	1048	1	3
B¨ng Hµn §¬n ChØ Phi §ao 	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Trang BÞ Hoµng Kim		30000	30	1	28	44	44	29	110	110	167	-20	-20	31	500	500										36	90	32	90	33	110	39	2					1	13	10	0	85	120	200	115	30	60	126	50	100	121	30	50	137	4	8	1048	1	3
S©m Hoµng Phi Tinh §o¹t Hån 	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Trang BÞ Hoµng Kim		30000	41	1	28	42	42	29	98	98	167	0	0	31	500	500										36	90	32	90	33	110	39	2					1	14	10	0	85	300	300	115	25	25	126	100	100	121	50	50	137	4	4	1048	1	1
S©m Hoµng Phi Tinh §o¹t Hån 	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Trang BÞ Hoµng Kim		30000	42	1	28	42	42	29	98	98	167	0	0	31	500	500										36	90	32	90	33	110	39	2					1	14	10	0	85	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
S©m Hoµng Phi Tinh §o¹t Hån 	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Trang BÞ Hoµng Kim		30000	43	1	28	42	42	29	98	98	167	0	0	31	500	500										36	90	32	90	33	110	39	2					1	14	10	0	85	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
S©m Hoµng Phi Tinh §o¹t Hån 	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Trang BÞ Hoµng Kim		30000	44	1	28	42	42	29	98	98	167	0	0	31	500	500										36	90	32	90	33	110	39	2					1	14	10	0	85	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
S©m Hoµng Phi Tinh §o¹t Hån 	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Trang BÞ Hoµng Kim		30000	45	1	28	42	42	29	98	98	167	0	0	31	500	500										36	90	32	90	33	110	39	2					1	14	10	0	85	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
S©m Hoµng Phi Tinh §o¹t Hån 	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Trang BÞ Hoµng Kim		30000	46	1	28	42	42	29	98	98	167	0	0	31	500	500										36	90	32	90	33	110	39	2					1	14	10	0	85	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
S©m Hoµng Phi Tinh §o¹t Hån 	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Trang BÞ Hoµng Kim		30000	47	1	28	42	42	29	98	98	167	0	0	31	500	500										36	90	32	90	33	110	39	2					1	14	10	0	85	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
S©m Hoµng Phi Tinh §o¹t Hån 	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Trang BÞ Hoµng Kim		30000	48	1	28	42	42	29	98	98	167	0	0	31	500	500										36	90	32	90	33	110	39	2					1	14	10	0	85	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
S©m Hoµng Phi Tinh §o¹t Hån 	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Trang BÞ Hoµng Kim		30000	49	1	28	42	42	29	98	98	167	0	0	31	500	500										36	90	32	90	33	110	39	2					1	14	10	0	85	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
S©m Hoµng Phi Tinh §o¹t Hån 	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Trang BÞ Hoµng Kim		30000	50	1	28	42	42	29	98	98	167	0	0	31	500	500										36	90	32	90	33	110	39	2					1	14	10	0	85	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
Thiªn Quang Hoa Vò M·n Thiªn 	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Trang BÞ Hoµng Kim		15000	31	0	28	46	46	29	102	102	167	0	0	31	500	500										36	90	32	65	33	230	39	2					1	15	10	0	89	300	300	115	25	25	126	100	100	121	50	50	137	4	4	1048	1	1
Thiªn Quang Hoa Vò M·n Thiªn 	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Trang BÞ Hoµng Kim		15000	32	0	28	46	46	29	102	102	167	0	0	31	500	500										36	90	32	65	33	230	39	2					1	15	10	0	89	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
Thiªn Quang Hoa Vò M·n Thiªn 	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Trang BÞ Hoµng Kim		15000	33	0	28	46	46	29	102	102	167	0	0	31	500	500										36	90	32	65	33	230	39	2					1	15	10	0	89	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
Thiªn Quang Hoa Vò M·n Thiªn 	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Trang BÞ Hoµng Kim		15000	34	0	28	46	46	29	102	102	167	0	0	31	500	500										36	90	32	65	33	230	39	2					1	15	10	0	89	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
Thiªn Quang Hoa Vò M·n Thiªn 	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Trang BÞ Hoµng Kim		15000	35	0	28	46	46	29	102	102	167	0	0	31	500	500										36	90	32	65	33	230	39	2					1	15	10	0	89	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
Thiªn Quang Hoa Vò M·n Thiªn 	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Trang BÞ Hoµng Kim		15000	36	0	28	46	46	29	102	102	167	0	0	31	500	500										36	90	32	65	33	230	39	2					1	15	10	0	89	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
Thiªn Quang Hoa Vò M·n Thiªn 	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Trang BÞ Hoµng Kim		15000	37	0	28	46	46	29	102	102	167	0	0	31	500	500										36	90	32	65	33	230	39	2					1	15	10	0	89	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
Thiªn Quang Hoa Vò M·n Thiªn 	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Trang BÞ Hoµng Kim		15000	38	0	28	46	46	29	102	102	167	0	0	31	500	500										36	90	32	65	33	230	39	2					1	15	10	0	89	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
Thiªn Quang Hoa Vò M·n Thiªn 	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Trang BÞ Hoµng Kim		15000	39	0	28	46	46	29	102	102	167	0	0	31	500	500										36	90	32	65	33	230	39	2					1	15	10	0	89	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
Thiªn Quang Hoa Vò M·n Thiªn 	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Trang BÞ Hoµng Kim		15000	40	0	28	46	46	29	102	102	167	0	0	31	500	500										36	90	32	65	33	230	39	2					1	15	10	0	89	300	400	115	25	40	126	100	150	121	50	60	137	4	8	1048	1	3
Kim TiÒn tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart01.spr	15	1	1	Lo¹i phi tiªu b»ng ®ång th«ng th­êng. 		20	61	1	28	4	4	29	9	9	167	0	0	31	50	50										36	0			33	30							2		1																			
ThiÕu L©m T¸o Nh©n Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart01.spr	15	1	1	"¸m khÝ b»ng ®ång, nhá nh­ h¹t t¸o. "		30	62	1	28	7	7	29	18	18	167	0	0	31	50	50										36	9	32	10	33	45							2		2																			
YÕn tö Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart01.spr	15	1	1	"Lo¹i phi tiªu nh­ ®u«i chim yÕn, bay kh«ng nghe tiÕng kªu, h¹ thñ chÝnh x¸c. "		40	63	1	28	12	12	29	28	28	167	0	0	31	50	50										36	18	32	15	33	60							2		3																			
ThËp tù tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart02.spr	15	1	1	"Lo¹i phi tiªu c¸c nhÉn gi¶ NhËt B¶n th­êng thÝch sö dông, nh­ng tiÕng kªu rÊt to. "		60	64	1	28	15	15	29	36	36	167	0	0	31	50	50										36	27	32	20	33	75							2		4																			
LiÔu DiÖp tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart02.spr	15	1	1	"Máng nh­ l¸ liÔu, kü thuËt ph¶i thËt ®iªu luyÖn míi cã thÓ phãng tróng. "		80	65	1	28	19	19	29	44	44	167	0	0	31	50	50										36	36	32	30	33	90							2		5																			
Phi Hoµng Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart02.spr	15	1	1	"Th©n cã hai c¸nh, sau ®u«i cã mét mãc c©u, lµ lo¹i ¸m khÝ rÊt lîi h¹i. "		100	66	1	28	23	23	29	54	54	167	0	0	31	50	50										36	45	32	40	33	105							2		6																			
ThiÕu L©m L­îng Ng©n Phi Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart03.spr	15	1	1	"Ng­êi xuÊt gia lÊy tõ bi lµm ®Çu, ¸m khÝ chØ s¸t th­¬ng nhÑ. "		140	67	1	28	27	27	29	63	63	167	0	0	31	50	50										36	54	32	50	33	120							2		7																			
Hå §iÖp Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart03.spr	15	1	1	"H×nh nh­ b­¬m b­ím, cã thÓ bay l­în trong kh«ng trung. "		180	68	1	28	31	31	29	72	72	167	0	0	31	50	50										36	63	32	60	33	135							2		8																			
Kim Tiªu 	0	1	0	\spr\item\equip\rangeweapon\obj-adart03.spr	15	1	1	"Lo¹i phi tiªu b»ng s¾t ®Çu bÞt vµng, nhän vµ rÊt nÆng, ph¶i cã søc m¹nh míi cã thÓ sö dông. "		250	69	1	28	34	34	29	81	81	167	0	0	31	50	50										36	72	32	70	33	150							2		9																			
B¸ V­¬ngTiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	"Lo¹i phi tiªu nµy ®óng ra ph¶i gäi lµ mminh khÝ, h×nh d¹ng to lín kh«ng thÓ gäi lµ ¸m khÝ. "		330	70	1	28	38	38	29	89	89	167	0	0	31	50	50										36	81	32	80	33	155							2		10																			
Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	"Lo¹i phi tiªu nµy trõ phi lµ c¸c cao thñ sö dông, nÕu kh«ng sÏ kh«ng cã c«ng hiÖu. "		20	61	1	28	6	6	29	11	11	167	-20	-20	31	50	50										36	0	32	20	33	30							2		1																			
Cang Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	Lo¹i phi ®ao ®­îc lµm tõ thÐp tinh chÕ. 		30	62	1	28	9	9	29	20	20	167	-20	-20	31	50	50										36	9	32	28	33	40							2		2																			
