SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	ClientSend	SkillCostType	CostValue	TimePerCast	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetObj	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LevelUpScript	SkillDesc	IsMagic	Series	IsSkillPhysical	IsSkillMagic	TimePerCastHorse		SkillMiniIcon
Hoµnh T¶o Lôc Hîp	Íâ¹¦Ïµ¹¥»÷	11	1	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_12.spr		\sound\skill\sound_k002.wav	0	0	0	0	1	300	5	1	6	1	8	217	1	3	0	10	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	2	1	100	0	32		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	hengsao_liuhe	attackrating_p	hengsao_liuhe		hengsao_liuhe		hengsao_liuhe	skill_attackradius	hengsao_liuhe	skill_cost_v	hengsao_liuhe	seriesdame	hengsao_liuhe	colddamage_v	hengsao_liuhe	addskilldame1	hengsao_liuhe		hengsao_liuhe		"Vâ c«ng cao cÊp, tÊn c«ng cïng lóc nhiÒu ®èi thñ"	0		1	0	0		
Kim Cang Hé ThÓ	±»¶¯·ÀÓù¸¨Öú	12	21	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_11.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin.lua	adddefense_v																					"Vâ c«ng cao cÊp, t¨ng kh¶ n¨ng phßng ngù"	0		0	0	0		
LËp §Þa Thµnh PhËt  		13		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_13.spr	\spr\skill\ÉÙÁÖ\sl_02_ÇåÐÄèóÒô.spr	\sound\skill\sound_k011.wav	0	0	0	2	0	400	0	1	0	1	3	76	0	1	1	11	1	0	5	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	188	30	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin.lua	badstatustimereduce_v		skill_cost_v																			????¡§?????????¡è???????????¡§??????????????	0		0	0	2		
Hµng Long B¸t Vò	ÄÚ¹¦Ïµ¹¥»÷	14	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_21.spr		\sound\skill\sound_k003.wav		0	0	0	0	90	0	0	0	1	7	66	1	1	1	10	1	1	5	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-1	0	40	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	xinglong_buyu	skill_cost_v	xinglong_buyu	seriesdame	xinglong_buyu	skill_eventskilllevel	xinglong_buyu	addskilldame1	xinglong_buyu	addskilldame2	xinglong_buyu	addskilldame3	xinglong_buyu	addskilldame4	xinglong_buyu		xinglong_buyu		xinglong_buyu		"§ao ph¸p cao cÊp, s¸t th­¬ng ®ao cùc kú lîi h¹i"	1		1	0	2		
BËt §éng Minh V­¬ng	Ö÷¶¯·ÀÓù¸¨Öú	15	22	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_22.spr	\spr\skill\ÉÙÁÖ\sl_05_²»¶¯Ã÷ÍõÖä.spr	\sound\skill\²»¶¯Ã÷ÍõÖä.wav	0	52	0	2	0	400	0	1	0	1	3	76	0	1	1	11	1	0	5	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	22	20	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin.lua	attackratingenhance_p	budong_mingwang	adddefense_v	budong_mingwang	skill_cost_v	budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		"Thiªn ca, t¨ng kh¶ n¨ng chiÕn ®Êu"	0		0	0	2		
La H¸n TrËn	¹â»·Õ½¶·¸¨Öú	16	33	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_23.spr				45	1	2	0	100	0	0	0	1	7	202	1	1	0	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin.lua	addphysicsdamage_p	luohan_zhen	meleedamagereturn_p	luohan_zhen	rangedamagereturn_p	luohan_zhen	adddefense_v	luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		"C«ng thñ toµn diÖn, ph¶n ®ßn s¸t th­¬ng rÊt hiÖu nghiÖm"	0		0	0	0		\spr\Ui\×´Ì¬Í¼±ê\ÂÞººÕó.spr
Long Tr¶o Hæ Tr¶o (##) 	Íâ¹¦Ïµ¹¥»÷	17	1	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_31.spr		\sound\skill\sound_k004.wav	0	0	0	0	0	200	0	0	0	1	4	218	0	6	0	10	0	1	0	0	0	0	10	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	40	20	-2	1	80	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	longzhao_huzhua	ignoredefense_p	longzhao_huzhua	skill_cost_v	longzhao_huzhua	stun_p	longzhao_huzhua		longzhao_huzhua	addskilldame2	longzhao_huzhua	missle_speed_v	longzhao_huzhua	skill_attackradius	longzhao_huzhua	skill_cost_v	longzhao_huzhua		longzhao_huzhua		??????????????????????????????????	0		0	0	10		
HuÖ Nh·n chó 	Ö÷¶¯¹¥»÷¸¨Öú	18	12	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_32.spr	\spr\skill\ÉÙÁÖ\sl_04_»ÛÑÛÖä.spr	\sound\skill\»ÛÑÛÖä.wav	0	0	0	2	0	400	0	0	0	1	3	76	0	1	1	11	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	185	40	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin.lua	attackratingenhance_p		skill_cost_v		deadlystrikeenhance_p																	????¡§???????????¡è??????????????¡è??¡§???????	0		0	0	0		
Ma Ha V« L­îng	Íâ¹¦Ïµ¹¥»÷	19	203	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_41.spr		\sound\skill\Ä¦Ú­ÎÞÁ¿.wav		0	0	0	0	200	5	2	4	9	1	95	1	2	1	10	0	0	5	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	1	0	0	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	mohe_wuliang	skill_eventskilllevel	mohe_wuliang	missle_speed_v	mohe_wuliang	skill_attackradius	mohe_wuliang	skill_cost_v	mohe_wuliang	seriesdame	mohe_wuliang	colddamage_v	mohe_wuliang	addskilldame1	mohe_wuliang		mohe_wuliang		mohe_wuliang		"Vâ c«ng trung cÊp, hiÖu qu¶ chiÕn ®Êu cùc cao"	0		1	0	5		
S­ Tö Hèng	ÄÚ¹¦Ïµ¹¥»÷	20	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_42.spr	\spr\skill\ÉÙÁÖ\sl_06_Ê¨×Óºð.spr	\sound\skill\Ê¨×Óºð.wav	0	0	0	2	0	400	0	0	0	1	7	76	0	1	1	11	1	0	5	0	0	0	30	0	0	1	0	0	0	0	0	1	22	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					0	0	\script\skill\shaolin.lua	stun_p	shizi_hou	physicsdamage_v	shizi_hou	skill_cost_v	shizi_hou	skill_eventskilllevel	shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		"Thiªn ca, khiÕn ®èi ph­¬ng bÞ cho¸ng gi¶m kh¶ n¨ng chiÕn ®Êu"	0		0	0	30		\spr\Ui\×´Ì¬Í¼±ê\Ê¨×Óºð.spr
DÞch C©n Kinh	±»¶¯·ÀÓù¸¨Öú	21	21	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_43.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin.lua		yijin_jing	allres_p	yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		"Chiªu thøc tèi cao, t¨ng toµn bé kh¸ng tÝnh"	0		0	0	0		
Kim Ba		22		0					0	0	3	0	0	0	1	0	0	3	59	1	32	1	11	0	0	5	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin.lua		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		????¡§???????????????????????¡§?????????	0		0	0	2		
Thiªn V­¬ng Th­¬ng Ph¸p	±»¶¯¹¥»÷¸¨Öú	23	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_qf.spr		0	0	0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	3	0	0	0	0		0					1	0	\script\skill\tianwang.lua	addphysicsdamage_p	tianwang_qiangfa	attackratingenhance_p	tianwang_qiangfa	deadlystrikeenhance_p	tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		T¨ng hiÖu qu¶ sö dông th­¬ng	0		0	0	0		
Thiªn V­¬ng §ao Ph¸p	±»¶¯¹¥»÷¸¨Öú	24	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_df.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	1	0	0	0	0		0					1	0	\script\skill\tianwang.lua	addphysicsdamage_p	tianwang_daofa	attackratingenhance_p	tianwang_daofa	deadlystrikeenhance_p	tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		T¨ng hiÖu qu¶ sö dông ®ao	0		0	0	0		
Th¸nh V­¬ng §ao ph¸p (##) 	±»¶¯¹¥»÷¸¨Öú	25	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\µ¶·¨.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\tianwang.lua																							0		0	0	0		
Thiªn V­¬ng Chuú Ph¸p	±»¶¯¹¥»÷¸¨Öú	26	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_cf.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	4	0	0	0	0		0					1	0	\script\skill\tianwang.lua	addphysicsdamage_p	tianwang_chuifa	attackratingenhance_p	tianwang_chuifa	deadlystrikeenhance_p	tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		T¨ng hiÖu qu¶ sö dông chuú	0		0	0	0		
Thiªn V­¬ng  Phñ ph¸p (##) 	±»¶¯¹¥»÷¸¨Öú	27	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\¹÷·¨.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\tianwang.lua																							0		0	0	0		
Th¸nh V­¬ng Phñ ph¸p (##) 	±»¶¯¹¥»÷¸¨Öú	28	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\Ë«´¸Ì×Â·.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\tianwang.lua																							0		0	0	0		
Tr¶m Long QuyÕt	Íâ¹¦Ïµ¹¥»÷	29	103	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_62.spr		\sound\skill\sound_k001.wav	0	0	0	0	0	72	0	1	10	1	12	218	0	1	0	9	0	1	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	4	1	60	0	0		0					0	0	\script\skill\tianwang.lua	physicsenhance_p	zhanlong_jue	ignoredefense_p	zhanlong_jue	missle_speed_v	zhanlong_jue	skill_cost_v	zhanlong_jue	addskilldame4	zhanlong_jue	missle_lifetime_v	zhanlong_jue	seriesdame	zhanlong_jue	addskilldame1	zhanlong_jue	addskilldame2	zhanlong_jue	addskilldame3	zhanlong_jue		"Chuú ph¸p nhËp m«n, khiÕn ®èi ph­¬ng rÊt khã xoay së"	0		1	0	0		
Håi Phong L¹c Nh©n	Íâ¹¦Ïµ¹¥»÷	30	1	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_61.spr		\sound\skill\sound_k001.wav	0	0	0	0	0	90	0	1	10	1	12	219	0	2	0	9	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	3	1	60	0	10		0					0	0	\script\skill\tianwang.lua	physicsenhance_p	huifeng_luoyan	attackrating_p	huifeng_luoyan	missle_speed_v	huifeng_luoyan	skill_attackradius	huifeng_luoyan	skill_cost_v	huifeng_luoyan	missle_lifetime_v	huifeng_luoyan	seriesdame	huifeng_luoyan	addskilldame1	huifeng_luoyan	addskilldame2	huifeng_luoyan	addskilldame3	huifeng_luoyan		"Th­¬ng ph¸p nhËp m«n, mét lÇn xuÊt liªn tôc 2 chiªu"	0		1	0	0		
Hµng V©n QuyÕt	Íâ¹¦Ïµ¹¥»÷	31	2	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_12.spr		\sound\skill\sound_k002.wav	0	0	0	0	0	72	0	1	8	1	12	209	0	1	1	9	0	1	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	20	4	1	80	0	0		0					1	0	\script\skill\tianwang.lua	physicsenhance_p	xingyun_jue	missle_speed_v	xingyun_jue	ignoredefense_p	xingyun_jue	skill_cost_v	xingyun_jue	missle_lifetime_v	xingyun_jue	seriesdame	xingyun_jue	addskilldame1	xingyun_jue	addskilldame2	xingyun_jue		xingyun_jue		xingyun_jue		"Chuú ph¸p trung cÊp, khiÕn ®èi ph­¬ng rÊt khã xoay së"	0		1	0	0		
V« T­íng Tr¶m	Íâ¹¦Ïµ¹¥»÷	32	1	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_11.spr		\sound\skill\sound_k002.wav	0	0	0	0	1	400	5	1	5	1	12	220	0	1	0	9	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	60	20	1	0	40	0	0		0					0	0	\script\skill\tianwang.lua	physicsenhance_p	wuxin_zhan	skill_cost_v	wuxin_zhan	missle_speed_v	wuxin_zhan	skill_attackradius	wuxin_zhan	seriesdamage_p	wuxin_zhan	colddamage_v	wuxin_zhan	missle_lifetime_v	wuxin_zhan	addskilldame2	wuxin_zhan	addskilldame1	wuxin_zhan		wuxin_zhan		"§ao ph¸p cao cÊp, hiÖu qu¶ s¸t th­¬ng cùc cao"	0		1	0	0		
TÜnh T©m QuyÕt	±»¶¯¹¥»÷¸¨Öú	33	11	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_13.spr		\sound\skill\sound_k002.wav		46	0	2	0	400	0	0	0	1	7	0	-1	0	0	11	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	\script\skill\tianwang.lua	attackratingenhance_p	jingxin_jue	skill_cost_v	jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		"S¬ cÊp t©m ph¸p, t¨ng ®é chÝnh x¸c c«ng kÝch"	0		0	0	0		\spr\Ui\×´Ì¬Í¼±ê\¾²ÐÄ¾÷.spr
Kinh L«i Tr¶m	Íâ¹¦Ïµ¹¥»÷	34	102	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_01.spr		\sound\skill\sound_k003.wav		0	0	0	0	72	0	1	10	1	12	234	0	1	0	9	0	1	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	1	0	60	0	0		0					0	0	\script\skill\tianwang.lua	physicsenhance_p	jinglei_zhan	seriesdame	jinglei_zhan	missle_speed_v	jinglei_zhan	skill_attackradius	jinglei_zhan	skill_cost_v	jinglei_zhan	missle_lifetime_v	jinglei_zhan	addskilldame1	jinglei_zhan	addskilldame2	jinglei_zhan	addskilldame3	jinglei_zhan		jinglei_zhan		"§ao ph¸p nhËp m«n, hiÖu qu¶ s¸t th­¬ng kh«ng cao"	0		1	0	0		
D­¬ng Qu©n Tam DiÖp	Íâ¹¦Ïµ¹¥»÷	35	101	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_63.spr		\sound\skill\sound_k003.wav	0	0	0	0	0	90	0	1	8	1	12	221	0	3	0	10	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	20	3	1	80	0	10		0					0	0	\script\skill\tianwang.lua	physicsenhance_p	yangguan_sandie	attackrating_p	yangguan_sandie	missle_speed_v	yangguan_sandie	skill_attackradius	yangguan_sandie	skill_cost_v	yangguan_sandie	missle_lifetime_v	yangguan_sandie	seriesdame	yangguan_sandie	addskilldame1	yangguan_sandie	addskilldame2	yangguan_sandie		yangguan_sandie		"Thiªn vu¬ng th­¬ng ph¸p trung cÊp, mét lÇn xuÊt 3 chiªu"	0		1	0	0		
Thiªn V­¬ng ChiÕn Y	Ö÷¶¯ÊôÐÔ¼ÓÇ¿	36	42	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_23.spr		0	0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	30	-2	0	0	0	0		0					0	0	\script\skill\tianwang.lua	lifemax_p	tianwang_zhanyi	deadlystrikeenhance_p	tianwang_zhanyi		tianwang_zhanyi		tianwang_zhanyi		tianwang_zhanyi		tianwang_zhanyi		tianwang_zhanyi		tianwang_zhanyi		tianwang_zhanyi		tianwang_zhanyi		"Cao cÊp t©m ph¸p, cã thÓ t¨ng sinh lùc tèi ®a"	0		0	0	0		
