道具种类	具体类别	详细类别	五行属性	等级	TypeKTC	TypeTL	TypeVD
0	0	4	4	7			
0	0	4	4	8			
0	0	4	4	9			
0	0	4	4	10			
0	0	5	0	1			
0	0	5	0	2			
0	0	5	0	3			
0	0	5	0	4			
0	0	5	0	5			
0	0	5	0	6			
0	0	5	0	7			
0	0	5	0	8			
0	0	5	0	9			
0	0	5	0	10			
0	1	0	1	1			
0	1	0	1	2			
0	1	0	1	3			
0	1	0	1	4			
0	1	0	1	5			
0	1	0	1	6			
0	1	0	1	7			
0	1	0	1	8			
0	1	0	1	9			
0	1	0	1	10			
0	1	1	1	1			
0	1	1	1	2			
0	1	1	1	3			
0	1	1	1	4			
0	1	1	1	5			
0	1	1	1	6			
0	1	1	1	7			
0	1	1	1	8			
0	1	1	1	9			
0	1	1	1	10			
0	1	2	1	1			
0	1	2	1	2			
0	1	2	1	3			
0	1	2	1	4			
0	1	2	1	5			
0	1	2	1	6			
0	1	2	1	7			
0	1	2	1	8			
0	1	2	1	9			
0	1	2	1	10			
0	10	0	0	1			
0	10	0	0	2			
0	10	0	0	3			
0	10	0	0	4			
0	10	0	0	5			
0	10	0	0	6			
0	10	0	0	7			
0	10	0	0	8			
0	10	0	0	9			
0	10	0	0	10			
0	10	1	0	1			
0	10	1	0	2			
0	10	1	0	3			
0	10	1	0	4			
0	10	1	0	5			
0	10	1	0	6			
0	10	1	0	7			
0	10	1	0	8			
0	10	1	0	9			
0	10	1	0	10			
0	10	2	0	1			
0	10	2	0	2			
0	10	2	0	3			
0	10	2	0	4			
0	10	2	0	5			
0	10	2	0	6			
0	10	2	0	7			
0	10	2	0	8			
0	10	2	0	9			
0	10	2	0	10			
0	10	3	0	1			
0	10	3	0	2			
0	10	3	0	3			
0	10	3	0	4			
0	10	3	0	5			
0	10	3	0	6			
0	10	3	0	7			
0	10	3	0	8			
0	10	3	0	9			
0	10	3	0	10			
0	10	4	0	1			
0	10	4	0	2			
0	10	4	0	3			
0	10	4	0	4			
0	10	4	0	5			
0	10	4	0	6			
0	10	4	0	7			
0	10	4	0	8			
0	10	4	0	9			
0	10	4	0	10			
0	7	0	0	1			
1	5	0	0	1			
1	5	0	0	2			
1	5	0	0	3			
1	5	0	0	4			
1	5	0	0	5			
1	6	0	0	1			
1	6	0	0	2			
1	6	0	0	3			
1	6	0	0	4			
1	6	0	0	5			
1	7	0	0	1			
1	7	0	0	2			
1	0	0	0	1			
4	22	1	0	1	75		
4	161	1	0	1	250		
4	43	1	0	1	75		
4	42	1	0	1	75		
4	41	1	0	1	75		
4	40	1	0	1	100		
4	39	1	0	1	100		
4	38	1	0	1	150		
4	37	1	0	1	150		
4	36	1	0	1	150		
4	35	1	0	1	300		
0	10	7	0	8	600		
0	10	6	0	1	500		
0	10	8	0	1	200		
0	10	5	0	4	80		
0	10	5	0	3	80		
0	10	5	0	1	80		
0	10	5	0	2	100		
0	10	5	0	5	150		
4	14	1	0	1	20		
4	156	1	0	1	2		
4	117	1	0	1	1		
4	118	1	0	1	1		
4	119	1	0	1	3		
4	120	1	0	1	6		
4	2	1	0	1	1		
4	177	1	0	1	20		
4	28	1	0	1	7		
4	29	1	0	1	7		
4	30	1	0	1	7		
4	31	1	0	1	3		
4	0	1	0	1	25		
4	1	1	0	1	25		
4	201	1	0	1	1		
4	209	1	0	1	100		
4	230	1	0	1	100		
4	218	1	0	1	1		
4	236	1	0	1	1		
1	8	0	0	1		500	
1	8	0	0	2		500	
1	8	0	0	3		500	
1	8	0	0	4		500	
1	8	0	0	5		500	
1	9	0	0	1		2000	
1	9	0	0	2		500	
1	9	0	0	3		500	
1	9	0	0	4		500	
1	9	0	0	5		500	
1	10	0	0	1		20	
1	10	0	0	2		15	
4	25	1	0	1			500
4	26	1	0	1			5000
4	27	1	0	1			1000
4	32	1	0	1			500
4	33	1	0	1			3000
4	34	1	0	1			2000
4	54	1	0	1			500
4	74	1	0	1		100000	
4	55	1	0	1			700
4	56	1	0	1			140
4	57	1	0	1			70
4	58	1	0	1			14
4	59	1	0	1			300
4	165	1	0	1		50000	
4	103	1	0	1			
4	104	1	0	1			
4	105	1	0	1			
4	128	1	0	1	5		
4	185	1	0	1	1		
4	186	1	0	1	1		
4	109	1	0	1			
4	110	1	0	1			
4	111	1	0	1			
4	117	1	0	1			
4	118	1	0	1			
4	119	1	0	1			
4	120	1	0	1			
4	19	1	0	1			
4	22	1	0	1			
0	3	31	2	1			500000
0	3	32	3	1			500000
4	48	1	0	1			
4	35	1	0	1			5000
4	36	1	0	1			2500
4	37	1	0	1			2500
4	38	1	0	1			2500
4	28	1	0	1		20000	
4	29	1	0	1		20000	
4	30	1	0	1		20000	
4	31	1	0	1		11500	
4	17	1	0	1	20		
4	165	1	0	1	5		
4	115	1	0	1	3		
4	116	1	0	1	6		
4	156	1	0	1	2		
4	59	1	0	1			
4	135	1	0	1	1		
4	186	1	0	1	6		
4	187	1	0	1	10		
4	188	1	0	1	12		
0	2	28	0	1			
0	2	28	0	2			
0	2	28	0	3			
0	2	28	0	4			
0	2	28	0	5			
0	2	28	0	6			
0	2	28	0	7			
0	2	28	0	8			
4	60	1	0	1	1		
4	22	1	0	1	4		
4	59	1	0	1	4		
4	251	1	0	1	20		
4	252	1	0	1	10		
4	173	1	0	1	10		
4	174	1	0	1	10		
4	175	1	0	1	10		
