MissleId	MissleName	MoveKind	FollowKind	ColFollowTarget	MissleHeight	CollidRange	IsRangeDmg	DmgRange	DmgInterval	LifeTime	Speed	Zspeed	Zacc	LoopPlay	SubLoop	SubStart	SubStop	ResponseSkill	CanDestroy	ColVanish	CanSlow	CanColFriend	AutoExplode	Param1	Param2	Param3	MultiShow	AnimFile1	AnimFileInfo1	SndFile1	AnimFile2	AnimFileInfo2	SndFile2	AnimFile3	AnimFileInfo3	SndFile3	AnimFile4	AnimFileInfo4	SndFile4	AnimFileB1	AnimFileInfoB1	SndFileB1	AnimFileB2	AnimFileInfoB2	SndFileB2	AnimFileB3	AnimFileInfoB3	SndFileB3	AnimFileB4	AnimFileInfoB4	SndFileB4	RedLum	GreenLum	BlueLum	LightRadius
20	ttdm1	0	0	1	15	2	1	3	13	540	0	0	0	1	1	1	30	0	0	1	0	0	0	0	0	0	0				\spr\skillkt\dmb_9x_1_c.spr	540,1,1						60,1,1														255	255	231	90
21	一气三清符	0	0	0	18	1	1	5	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0										\spr\skill\昆仑\kl_13_大力金刚符.spr	20,1,1														255	219	99	90
22	ttdm2	1	0	1	10	1	0	1	0	54	12	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\skill\others\137.spr	60,1,54					\spr\skill\五毒教\bz_du1_爆炸.spr	13,1,1	\sound\skill\刀剑刺中声.wav													239	231	189	90
23	岁月无情符	0	0	0	18	1	1	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0										\spr\skill\昆仑\kl_15_岁月无情符.spr	20,1,1														255	219	99	90
24	怒雷指	1	0	1	10	1	0	1	0	20	20	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\武当\wd_01_怒雷指.spr	160,16,1	\sound\skill\怒雷指.wav				\spr\skill\武当\Bz_dian1_爆炸.spr	8,1,1	\sound\skill\sound_k040.wav													239	231	189	90
25	沧海明月	1	0	1	10	1	0	1	0	24	20	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0				\spr\skill\武当\wd_02_沧海明月.spr	8,1,1	\sound\skill\沧海明月.wav				\spr\skill\武当\Bz_dian1_爆炸.spr	8,1,1														189	239	239	90
26	天际惊雷	0	0	1	10	1	1	5	17	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\武当\wd_03_天际惊雷.spr	17,1,1	\sound\skill\剑飞惊天.wav				\spr\skill\昆仑\Bz_dian3_爆炸.spr	8,1,1														255	255	231	90
27	玄一无象	0	0	1	15	4	0	1	11	10	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0										\spr\skill\武当\wd_04_玄一无象.spr	8,1,1	\sound\skill\玄一无象.wav													255	255	231	90
28	剥及而复	0	0	1	15	7	1	4	13	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\武当\wd_05_剥及而复.spr	12,1,1	\sound\skill\剥极而复.wav																			255	255	231	90
29	无我无剑	1	0	1	10	1	0	1	0	18	20	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0				\spr\skill\武当\wd_10_无我无剑.spr	96,16,1																				255	255	231	90
30	Doc sa chuong	1	0	1	10	1	0	1	0	16	32	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\wu\玄冥吸星.spr	128,16,1	\sound\skill\幽冥骷髅.wav				\spr\skill\五毒教\bz_du2_爆炸.spr	6,1,1	\sound\skill\普通爆炸.wav													140	207	156	90
31	血手毒杀	1	0	1	10	1	0	1	0	30	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\五毒教\wdu_02_大手印.spr	10,1,1	\sound\skill\血手毒杀.wav				\spr\skill\五毒教\bz_du1_爆炸.spr	13,1,1														140	207	156	90
32	骷髅炸弹	1	0	1	10	1	1	1	0	30	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\五毒教\wdu_03_骷髅炸弹.spr	80,16,1	\sound\skill\幽冥骷髅.wav				\spr\skill\五毒教\bz_du2_爆炸.spr	6,1,1	\sound\skill\普通爆炸.wav													140	207	156	90
33	九阴白骨抓	0	0	0	20	1	0	5	6	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\五毒教\wdu_04_九阴白骨抓.spr	8,1,1		\spr\skill\五毒教\wdu_04_九阴白骨抓消亡.spr	13,1,4																	140	207	156	90
34	蛤蟆功	1	0	1	10	1	1	1	0	30	31	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0				\spr\skill\五毒教\wdu_05_蛤蟆功.spr	160,16,1	\sound\skill\朱蛤青冥.wav				\spr\skill\五毒教\bz_du2_爆炸.spr	6,1,1														140	207	156	90
35	霹雳弹	7	0	1	10	1	1	1	0	60	16	10240	5120	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\唐门\tm_03_霹雳弹.spr	10,1,1	\sound\skill\霹雳弹.wav				\spr\skill\天忍\mag_bz_huo1_爆炸效果.spr	6,1,2														132	125	107	90
36	天罗地网碰撞小子弹	5	0	1	10	1	0	1	0	25	18	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\唐门\tm_驭飞刀.spr	128,16,1	\sound\skill\夺魂镖.wav																			255	251	214	90
37	追心箭	1	0	1	10	1	0	1	0	20	30	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\唐门\tm_05_多向箭.spr	160,16,1	\sound\skill\追心箭.wav																			148	219	255	90
38	漫天花雨	0	0	1	20	1	1	7	40	39	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\唐门\tm_06_漫天花雨.spr	40,1,3																				255	219	214	90
39	穿心刺爆炸	0	0	0	20	2	1	2	28	27	0	0	0	0	1	1	60	0	0	0	0	0	0	0	0	0	0				\spr\skill\tm\穿心刺.spr	27,1,1	\sound\skill\霹雳弹.wav	\spr\skill\tm\穿心刺.spr	27,1,1	\sound\skill\霹雳弹.wav			\sound\skill\sound_k038.wav				\spr\skill\唐门\bz_du3_爆炸.spr	16,1,1	\sound\skill\霹雳弹.wav	\spr\skill\唐门\bz_du3_爆炸.spr	16,1,1					239	146	82	90
40	百毒穿心	3	0	1	10	3	1	3	1	24	20	0	0	1	0	0	0	0	1	0	1	0	0	0	3	64	0				\spr\skill\五毒教\wdu_02_大手印.spr	10,1,1	\sound\skill\幽冥骷髅.wav				\spr\skill\五毒教\bz_du2_爆炸.spr	6,1,1	\sound\skill\普通爆炸.wav													140	207	156	90
41	推窗望月	1	0	1	10	1	0	1	0	16	32	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0				\spr\skill\em\em_风霜碎影_平飞.spr	96,16,1	\sound\skill\不灭不绝.wav				\spr\skill\峨嵋\mag_em_bin4_爆炸效果.spr	6,1,1	\sound\skill\刀剑刺中声.wav													156	211	255	90
42	风卷残雪动画	1	0	0	5	1	0	1	0	20	26	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1				\spr\skill\翠烟\mag_cy_02_风卷残雪_a.spr	7,1,1	\sound\skill\风卷残雪.wav										\spr\skill\翠烟\mag_cy_02_风卷残雪_b.spr	7,1,1								156	211	255	90
43	迅雷咒动画	1	0	1	10	1	0	1	0	16	30	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1				\spr\skill\昆仑\kl_02_疾电法a.spr	160,16,1	\sound\skill\迅雷咒.wav				\spr\skill\昆仑\Bz_dian3_爆炸.spr	8,1,1	\sound\skill\sound_k040.wav				\spr\skill\昆仑\kl_02_疾电法b.spr	160,16,1								255	255	239	90
44	投石问路	7	0	1	10	1	1	1	0	40	14	10240	2048	1	0	0	0	0	1	1	1	0	1	0	0	0	0				\spr\skill\丐帮\mag_gb_01_投石问路.spr	1,1,1	\sound\skill\投石问路.wav	\spr\skill\丐帮\mag_bz_tu1_爆炸效果.spr	16,1,2		\spr\skill\丐帮\mag_bz_tu1.spr	16,1,2	\sound\skill\sound_k044.wav													123	113	107	90
45	沿门托钵	1	0	1	10	1	0	1	0	15	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\丐帮\mag_gb_02_沿门托钵.spr	64,16,1	\sound\skill\沿门托钵.wav				\spr\skill\天忍\mag_tr_bz1_爆炸效果.spr	8,1,2														255	174	60	90
46	见人伸手	1	0	1	10	1	0	1	0	15	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\丐帮\mag_gb_03_见人伸手.spr	64,16,1	\sound\skill\见人伸手.wav				\spr\skill\天忍\mag_tr_bz1_爆炸效果.spr	8,1,2														255	174	60	90
47	天下无狗	5	0	1	10	1	0	1	0	32	24	0	0	1	0	0	0	0	1	1	1	0	7	8	8	0	0				\spr\skill\丐帮\mag_gb_04_天下无狗.spr	64,16,1	\sound\skill\天下无狗.wav				\spr\skill\天忍\mag_bz_huo3_爆炸效果.spr	18,1,2														255	174	60	90
48	亢龙有悔	1	0	1	10	1	1	1	0	36	10	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\丐帮\mag_gb_05_亢龙有悔.spr	80,16,1	\sound\skill\亢龙无悔.wav				\spr\skill\丐帮\mag_gb_bz5_爆炸效果.spr	6,1,2	\sound\skill\sound_k037.wav													255	174	60	90
49	孤木遁雷	0	0	0	20	1	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\丐帮\mag_gb_06_孤木遁雷.spr	13,1,2																				255	255	214	90
50	奔流到海	0	0	0	20	1	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\丐帮\mag_gb_09_奔流到海.spr	15,1,2																				165	170	255	90
51	奎木星照	0	0	0	20	1	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\丐帮\mag_gb_08_奎木星照.spr	15,1,2																				123	255	189	90
52	金乌映雪	0	0	0	10	1	0	1	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\丐帮\mag_gb_07_金乌映雪.spr	20,1,2																				247	154	41	90
53	化险为夷	0	0	0	20	1	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\丐帮\mag_gb_10_化险为夷.spr	15,1,2																				247	154	41	90
54	残阳如血	1	0	0	10	1	0	1	0	18	15	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\天忍\mag_tr_01_残阳如雪.spr	48,16,1	\sound\skill\sound_k028.wav				\spr\skill\天忍\mag_bz_huo1_爆炸效果.spr	18,1,2	\sound\skill\sound_k037.wav													239	146	82	90
55	推山填海	0	0	0	20	2	1	2	12	120	0	0	0	1	1	20	30	0	0	0	0	0	0	0	0	0	1				\spr\skill\天忍\mag_tr_02_推山填海_a1.spr	31,1,2	\sound\skill\推山填海.wav	\spr\skill\天忍\mag_tr_02_推山填海_a2.spr	10,1,2				\sound\skill\sound_k038.wav				\spr\skill\天忍\mag_tr_02_推山填海_b1.spr	31,1,2	\sound\skill\sound_k036.wav	\spr\skill\天忍\mag_tr_02_推山填海_b2.spr	10,1,2					239	146	82	90
56	烈火情天	1	0	1	10	1	0	1	0	28	18	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\天忍\mag_tr_01_残阳如雪.spr	48,16,1	\sound\skill\烈火情天.wav				\spr\skill\天忍\mag_bz_huo1_爆炸效果.spr	18,1,2	\sound\skill\sound_k037.wav													239	146	82	90
57	弹指烈焰	1	0	1	10	1	1	1	0	12	25	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\天忍\mag_tr_04_弹指烈焰.spr	48,16,1	\sound\skill\sound_k028.wav				\spr\skill\天忍\mag_bz_huo3_爆炸效果.spr	18,1,2	\sound\skill\sound_k037.wav													239	146	82	90
58	七伤神拳	0	0	1	10	4	1	4	5	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0																									255	255	255	90
59	金波	1	0	0	10	1	0	1	0	30	20	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0				\spr\skill\少林\bz_bo1_金波.spr	320,32,1																				231	227	107	90
60	tttld2	1	1	1	10	1	1	1	0	20	32	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\skillkt\tld_9x_1_c.spr	90,16,1					\spr\skillkt\tnd_9x_1_p.spr	36,1,1														239	231	189	90
61	摩诃无量	1	0	0	10	1	0	1	0	10	31	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\skill\少林\sl_01_摩诃无量.spr	80,16,1																				231	227	107	90
62	狮子吼	1	0	1	10	1	0	1	0	10	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\少林\bz_bo2_红波.spr	320,32,1																				222	101	74	90
63	短兵物理攻击	1	0	1	10	1	1	1	0	4	30	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0										\spr\skill\补充\刀剑爆炸.spr	4,1,1	\sound\skill\刀剑刺中声.wav										\spr\skill\补充\刀剑爆炸.spr	4,1,1		181	203	255	0
64	长兵物理攻击	1	0	1	10	1	0	1	0	6	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										\spr\skill\补充\刀剑爆炸.spr	4,1,1	\sound\skill\枪刺中声.wav													181	203	255	0
65	远程物理攻击	1	0	1	10	1	0	1	0	20	16	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\补充\远程攻击.spr	16,16,5					\spr\skill\补充\刀剑爆炸.spr	4,1,1	\sound\skill\sound_k032.wav													231	227	107	10
66	行龙不雨	0	0	1	5	4	1	4	10	15	20	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\少林\sl_03_行龙不雨.spr	15,1,1	\sound\skill\行龙不雨.wav																			231	227	107	90
67	tttnd1	0	0	0	320	1	0	1	19	17	0	-81920	1024	1	0	0	0	0	1	1	0	0	1	0	0	0	0				\spr\skillkt\tnd_9x_1_c.spr	36,1,1			36,1,1		\spr\skillkt\tnd_9x_1_c.spr	36,1,1														156	211	255	90
68	飘雪穿云	1	0	1	10	1	0	1	0	12	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\峨嵋\mag_em_01_飘雪穿云.spr	64,16,1	\sound\skill\飘雪穿云.wav				\spr\skill\峨嵋\mag_bz_bin1_爆炸效果.spr	14,1,1														115	219	255	90
69	偷天换日	1	0	1	10	1	0	1	0	3	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0										\spr\skill\天忍\mag_tr_07_偷天换日.spr	15,1,2	\sound\skill\sound_k032.wav													255	113	114	90
70	借力打力	1	0	1	10	1	0	1	0	3	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0										\spr\skill\天忍\mag_tr_09_借力打力.spr	15,1,2	\sound\skill\sound_k032.wav													255	255	123	90
71	吸星大法	1	0	1	10	1	0	1	0	3	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0										\spr\skill\天忍\mag_tr_08_吸星大法.spr	15,1,2	\sound\skill\sound_k032.wav													115	166	255	90
72	地焰火	0	0	1	15	2	1	2	13	540	0	0	0	1	1	1	30	0	0	1	0	0	0	0	0	0	0				\spr\skill\tm\xj_地焰火.01.spr	1080,1,1																				255	255	231	90
73	ttndd2	0	0	1	15	2	1	4	2	18	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					18,1,1					\spr\skillkt\ndd_9x_2_c.spr	18,1,1														255	255	231	90
74	ttdmtt1	0	0	1	15	1	1	3	7	15	0	0	0	1	1	1	16	0	0	0	0	0	1	0	0	0	0				\spr\skillkt\dmtt_9x_1_c.spr	36,1,1					\spr\skill\五毒教\bz_du1_爆炸.spr	13,1,1														255	255	231	90
75	寒冰刺爆炸	0	0	0	20	2	1	2	28	27	0	0	0	0	1	1	60	0	0	0	0	0	0	0	0	0	0				\spr\skill\tm\bz_寒冰刺.spr	27,1,1	\sound\skill\霹雳弹.wav	\spr\skill\tm\bz_寒冰刺.spr	27,1,1	\sound\skill\霹雳弹.wav			\sound\skill\sound_k038.wav				\spr\skill\唐门\bz_du3_爆炸.spr	16,1,1	\sound\skill\霹雳弹.wav	\spr\skill\唐门\bz_du3_爆炸.spr	16,1,1					239	146	82	90
76	BuffMe	0	0	0	2	16	1	16	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0																									255	255	255	0
77	BuffYou	0	0	0	2	6	1	6	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0																									255	255	255	0
78	TL	1	0	1	10	1	1	1	0	20	20	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\npcres\boss\boss020\enemy216_st.spr	160,16,1					\spr\skill\sl\金龙探爪.spr	6,1,1	\sound\skill\sound_k040.wav													239	231	189	90
79	vu da le hoa 2	1	0	0	2	1	1	3	0	20	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0				\spr\skill\峨嵋\mag_bz_bin4_爆炸效果.spr	16,1,2																				222	101	74	90
80	天罗地网碰撞小子弹	1	0	1	10	1	0	1	0	9	18	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\唐门\tm_驭飞刀.spr	128,16,1	\sound\skill\夺魂镖.wav																			255	251	214	90
81	ttcbr2	0	0	1	10	3	1	3	13	12	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skillkt\cbr_9x_2_c.spr	36,1,1						36,1,1														239	146	82	90
82	七伤神拳伤害	1	0	1	10	1	0	1	0	24	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\天忍\mag_bz_huo4_爆炸效果.spr	16,1,2					\spr\skill\天忍\mag_bz_huo3_爆炸效果.spr	6,1,2														239	146	82	90
83	雷击术	0	0	1	15	2	1	2	13	540	0	0	0	1	1	1	30	0	0	1	0	0	0	0	0	0	0				\spr\skill\tm\xj_雷击术.spr	1080,1,1																				255	255	231	90
84	雷击术爆炸	0	0	0	20	2	1	2	28	27	0	0	0	0	1	1	60	0	0	0	0	0	0	0	0	0	0				\spr\skill\tm\雷击术.spr	27,1,1	\sound\skill\霹雳弹.wav	\spr\skill\tm\雷击术.spr	27,1,1	\sound\skill\霹雳弹.wav			\sound\skill\sound_k038.wav				\spr\skill\唐门\bz_du3_爆炸.spr	16,1,1	\sound\skill\霹雳弹.wav	\spr\skill\唐门\bz_du3_爆炸.spr	16,1,1					239	146	82	90
85	ttndc1	0	0	0	20	3	1	6	18	20	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					20,1,1					\spr\skillkt\ndc_9x_1_c.spr	36,1,1														140	207	156	90
86	横扫六合	0	0	0	2	1	1	5	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0										\spr\skill\补充\棍棒爆炸.spr	4,1,1														255	255	255	0
87	KTP	0	0	1	15	3	1	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					20,1,1					\spr\skill\昆仑\kl_14_弃心符.spr	20,1,1														255	255	231	90
88	tttysd2	0	0	1	10	1	1	1	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					36,1,1					\spr\skillkt\tydd_9x_2_c.spr	36,1,2														156	211	255	90
89	一撮毛	1	0	1	10	1	0	1	0	20	30	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\NPC\mag_npc_尖毛.spr	64,16,20																				214	231	132	90
90	tttnk1	1	0	1	10	1	1	1	0	9	32	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\skillkt\tnk_9x_1_c.spr	90,16,1					\spr\skillkt\tnk_9x_1_p.spr	36,1,1														239	146	82	90
91	ttdmpd1	1	0	1	10	1	0	1	0	18	32	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\skillkt\dmpd_9x_1_c.spr	70,16,1																				148	219	255	90
92	友好光环传递子弹	0	0	0	2	1	1	16	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0																									255	255	255	0
93	ttdmpd2	0	0	1	20	3	1	4	8	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					36,1,1					\spr\skillkt\dmpd_9x_2_c.spr	36,1,2														255	219	214	90
94	伤害类短光环传递子弹	0	0	0	2	4	0	4	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0										\spr\skill\五毒教\bz_du1_爆炸.spr	6,1,1														255	255	255	0
95	Ma ha vo luong	1	0	1	10	1	0	1	0	20	30	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\skill\少林\sl_01_摩诃无量.spr	80,16,1						20,1,1														239	231	189	90
96	暴雨梨花	0	0	1	15	1	0	1	18	90	0	0	0	1	1	1	16	0	0	0	0	0	1	0	0	0	0				\spr\skill\唐门\tm_07_小李飞刀.spr	90,1,1	\sound\skill\剥极而复.wav																			255	255	231	90
