????	ItemGenre	DetailType	ParticularType	??????????	?????????????	???????	????	??????????	????????	????	????	????¡§¡§?????¡§¡§?	???????????1?????¡§¡§??	???????????1???????	???????????1??????????	???????????2?????¡§¡§??	???????????2???????	???????????2??????????	???????????3?????¡§¡§??	???????????3???????	???????????3??????????	???????????4?????¡§¡§??	???????????4???????	???????????4??????????	???????????5?????¡§¡§??	???????????5???????	???????????5??????????	???????????6?????¡§¡§??	???????????6???????	???????????6??????????	???????????7?????¡§¡§??	???????????7???????	???????????7??????????	????????????????1?????¡§¡§??	????????????????1????	????????????????2?????¡§¡§??	????????????????2????	????????????????3?????¡§¡§??	????????????????3????	????????????????4?????¡§¡§??	????????????????4????	????????????????5?????¡§¡§??	????????????????5????	????????????????6?????¡§¡§??	????????????????6????	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
Kim Phong §ång T­íc Xu©n Th©m	0	3	1	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	1	20000	10	0																						36	60											1	1	5	1	85	60	80	103	6	18	89	60	80									
Kim Phong C«ng CÈn Tam Th¸n	0	3	2	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	1	0																						36	40											1	1	5	2	85	60	80	97	8	12	89	60	80									
Kim Phong C«ng CÈn Tam Th¸n	0	3	2	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	2	0																						36	40											1	1	5	2	85	60	80	97	8	12	89	60	80									
Kim Phong C«ng CÈn Tam Th¸n	0	3	2	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	3	0																						36	40											1	1	5	2	85	60	80	97	8	12	89	60	80									
Kim Phong C«ng CÈn Tam Th¸n	0	3	2	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	4	0																						36	40											1	1	5	2	85	60	80	97	8	12	89	60	80									
Kim Phong C«ng CÈn Tam Th¸n	0	3	2	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	5	0																						36	40											1	1	5	2	85	60	80	97	8	12	89	60	80									
Kim Phong C«ng CÈn Tam Th¸n	0	3	2	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	6	0																						36	40											1	1	5	2	85	60	80	97	8	12	89	60	80									
Kim Phong C«ng CÈn Tam Th¸n	0	3	2	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	7	0																						36	40											1	1	5	2	85	60	80	97	8	12	89	60	80									
Kim Phong C«ng CÈn Tam Th¸n	0	3	2	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	8	0																						36	40											1	1	5	2	85	60	80	97	8	12	89	60	80									
Kim Phong C«ng CÈn Tam Th¸n	0	3	2	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	9	0																						36	40											1	1	5	2	85	60	80	97	8	12	89	60	80									
Kim Phong C«ng CÈn Tam Th¸n	0	3	2	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	10	0																						36	40											1	1	5	2	85	60	80	97	8	12	89	60	80									
An Bang Cóc Hoa Th¹ch ChØ Hoµn	0	3	3	\Spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	1	0																						36	80											1	2	1	2	89	120	200	105	25	25												
An Bang Cóc Hoa Th¹ch ChØ Hoµn	0	3	3	\Spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	2	0																						36	80											1	2	2	2	89	120	200	105	26	26												
An Bang Cóc Hoa Th¹ch ChØ Hoµn	0	3	3	\Spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	3	0																						36	80											1	2	3	2	89	120	200	105	26	26												
An Bang Cóc Hoa Th¹ch ChØ Hoµn	0	3	3	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	4	0																						36	80											1	2	4	2	89	120	200	105	27	27												
An Bang Cóc Hoa Th¹ch ChØ Hoµn	0	3	3	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	5	0																						36	80											1	2	5	2	89	120	200	105	27	27												
An Bang Cóc Hoa Th¹ch ChØ Hoµn	0	3	3	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	6	0																						36	80											1	2	6	2	89	120	200	105	28	28												
An Bang Cóc Hoa Th¹ch ChØ Hoµn	0	3	3	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	7	0																						36	80											1	2	7	2	89	120	200	105	28	28												
An Bang Cóc Hoa Th¹ch ChØ Hoµn	0	3	3	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	8	0																						36	80											1	2	8	2	89	120	200	105	29	29												
An Bang Cóc Hoa Th¹ch ChØ Hoµn	0	3	3	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	9	0																						36	80											1	2	9	2	89	120	200	105	29	29												
An Bang Cóc Hoa Th¹ch ChØ Hoµn	0	3	3	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	10	0																						36	80											1	2	10	2	89	120	200	105	30	30												
An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	3	4	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	1	0																						36	80											1	2	1	3	89	120	200	102	25	25												
An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	3	4	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	2	0																						36	80											1	2	2	3	89	120	200	102	26	26												
An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	3	4	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	3	0																						36	80											1	2	3	3	89	120	200	102	26	26												
An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	3	4	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	4	0																						36	80											1	2	4	3	89	120	200	102	27	27												
An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	3	4	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	5	0																						36	80											1	2	5	3	89	120	200	102	27	27												
An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	3	4	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	6	0																						36	80											1	2	6	3	89	120	200	102	28	28												
An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	3	4	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	7	0																						36	80											1	2	7	3	89	120	200	102	28	28												
An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	3	4	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	8	0																						36	80											1	2	8	3	89	120	200	102	29	29												
An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	3	4	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	9	0																						36	80											1	2	9	3	89	120	200	102	29	29												
An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	3	4	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	10	0																						36	80											1	2	10	3	89	120	200	102	30	30												
Nhu T×nh Phông Nghi Giíi ChØ	0	3	5	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	4	20000	1	0																						36	45	38	1									1	3	5	4	100	16	24															
Nhu T×nh Phông Nghi Giíi ChØ	0	3	5	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	4	20000	2	0																						36	45	38	1									1	3	5	4	100	16	24															
Nhu T×nh Phông Nghi Giíi ChØ	0	3	5	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	4	20000	3	0																						36	45	38	1									1	3	5	4	100	16	24															
Nhu T×nh Phông Nghi Giíi ChØ	0	3	5	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	4	20000	4	0																						36	45	38	1									1	3	5	4	100	16	24															
Nhu T×nh Phông Nghi Giíi ChØ	0	3	5	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	4	20000	5	0																						36	45	38	1									1	3	5	4	100	16	24															
Nhu T×nh Phông Nghi Giíi ChØ	0	3	5	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	4	20000	6	0																						36	45	38	1									1	3	5	4	100	16	24															
Nhu T×nh Phông Nghi Giíi ChØ	0	3	5	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	4	20000	7	0																						36	45	38	1									1	3	5	4	100	16	24															
Nhu T×nh Phông Nghi Giíi ChØ	0	3	5	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	4	20000	8	0																						36	45	38	1									1	3	5	4	100	16	24															
Nhu T×nh Phông Nghi Giíi ChØ	0	3	5	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	4	20000	9	0																						36	45	38	1									1	3	5	4	100	16	24															
Nhu T×nh Phông Nghi Giíi ChØ	0	3	5	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	4	20000	10	0																						36	45	38	1									1	3	5	4	100	16	24															
HiÖp Cèt §an T©m Giíi	0	3	6	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	45	38	0									1	4	5	0	97	16	24															
HiÖp Cèt §an T©m Giíi	0	3	6	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	45	38	0									1	4	5	0	97	16	24															
HiÖp Cèt §an T©m Giíi	0	3	6	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	45	38	0									1	4	5	0	97	16	24															
HiÖp Cèt §an T©m Giíi	0	3	6	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	45	38	0									1	4	5	0	97	16	24															
HiÖp Cèt §an T©m Giíi	0	3	6	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	45	38	0									1	4	5	0	97	16	24															
HiÖp Cèt §an T©m Giíi	0	3	6	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	45	38	0									1	4	5	0	97	16	24															
HiÖp Cèt §an T©m Giíi	0	3	6	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	45	38	0									1	4	5	0	97	16	24															
HiÖp Cèt §an T©m Giíi	0	3	6	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	45	38	0									1	4	5	0	97	16	24															
HiÖp Cèt §an T©m Giíi	0	3	6	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	45	38	0									1	4	5	0	97	16	24															
HiÖp Cèt §an T©m Giíi	0	3	6	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	45	38	0									1	4	5	0	97	16	24															
Tø Kh«ng Giíi LuËt Ph¸p Giíi 	0	3	7	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	0									1	7	10	2	43	-1	-1	205	1	1												
Tø Kh«ng Giíi LuËt Ph¸p Giíi 	0	3	7	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	0									1	7	10	2	43	-1	-1	205	1	1												
Tø Kh«ng Giíi LuËt Ph¸p Giíi 	0	3	7	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	0									1	7	10	2	43	-1	-1	205	1	1												
Tø Kh«ng Giíi LuËt Ph¸p Giíi 	0	3	7	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	0									1	7	10	2	43	-1	-1	205	1	1												
Tø Kh«ng Giíi LuËt Ph¸p Giíi 	0	3	7	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	0									1	7	10	2	43	-1	-1	205	1	1												
Tø Kh«ng Giíi LuËt Ph¸p Giíi 	0	3	7	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	0									1	7	10	2	43	-1	-1	205	1	1												
Tø Kh«ng Giíi LuËt Ph¸p Giíi 	0	3	7	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	0									1	7	10	2	43	-1	-1	205	1	1												
Tø Kh«ng Giíi LuËt Ph¸p Giíi 	0	3	7	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	0									1	7	10	2	43	-1	-1	205	1	1												
Tø Kh«ng Giíi LuËt Ph¸p Giíi 	0	3	7	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	0									1	7	10	2	43	-1	-1	205	1	1												
Tø Kh«ng Giíi LuËt Ph¸p Giíi 	0	3	7	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	0									1	7	10	2	43	-1	-1	205	1	1												
Phôc Ma PhËt T©m NhuyÔn KhÊu 	0	3	8	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	0									1	8	10	1	43	-1	-1	205	1	1												
Phôc Ma PhËt T©m NhuyÔn KhÊu 	0	3	8	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	0									1	8	10	1	43	-1	-1	205	1	1												
Phôc Ma PhËt T©m NhuyÔn KhÊu 	0	3	8	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	0									1	8	10	1	43	-1	-1	205	1	1												
Phôc Ma PhËt T©m NhuyÔn KhÊu 	0	3	8	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	0									1	8	10	1	43	-1	-1	205	1	1												
Phôc Ma PhËt T©m NhuyÔn KhÊu 	0	3	8	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	0									1	8	10	1	43	-1	-1	205	1	1												
Phôc Ma PhËt T©m NhuyÔn KhÊu 	0	3	8	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	0									1	8	10	1	43	-1	-1	205	1	1												
Phôc Ma PhËt T©m NhuyÔn KhÊu 	0	3	8	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	0									1	8	10	1	43	-1	-1	205	1	1												
Phôc Ma PhËt T©m NhuyÔn KhÊu 	0	3	8	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	0									1	8	10	1	43	-1	-1	205	1	1												
Phôc Ma PhËt T©m NhuyÔn KhÊu 	0	3	8	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	0									1	8	10	1	43	-1	-1	205	1	1												
Phôc Ma PhËt T©m NhuyÔn KhÊu 	0	3	8	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	0									1	8	10	1	43	-1	-1	205	1	1												
Ngù Long TuyÖt MÖnh ChØ Hoµn 	0	3	9	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	1									1	11	10	1	43	-1	-1	205	1	1												
Ngù Long TuyÖt MÖnh ChØ Hoµn 	0	3	9	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	1									1	11	10	1	43	-1	-1	205	1	1												
Ngù Long TuyÖt MÖnh ChØ Hoµn 	0	3	9	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	1									1	11	10	1	43	-1	-1	205	1	1												
Ngù Long TuyÖt MÖnh ChØ Hoµn 	0	3	9	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	1									1	11	10	1	43	-1	-1	205	1	1												
Ngù Long TuyÖt MÖnh ChØ Hoµn 	0	3	9	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	1									1	11	10	1	43	-1	-1	205	1	1												
Ngù Long TuyÖt MÖnh ChØ Hoµn 	0	3	9	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	1									1	11	10	1	43	-1	-1	205	1	1												
Ngù Long TuyÖt MÖnh ChØ Hoµn 	0	3	9	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	1									1	11	10	1	43	-1	-1	205	1	1												
Ngù Long TuyÖt MÖnh ChØ Hoµn 	0	3	9	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	1									1	11	10	1	43	-1	-1	205	1	1												
Ngù Long TuyÖt MÖnh ChØ Hoµn 	0	3	9	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	1									1	11	10	1	43	-1	-1	205	1	1												
Ngù Long TuyÖt MÖnh ChØ Hoµn 	0	3	9	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	1									1	11	10	1	43	-1	-1	205	1	1												
§Þa Ph¸ch TÝch LÞch L«i Háa Giíi 	0	3	10	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	2									1	12	10	1	43	-1	-1	205	1	1												
§Þa Ph¸ch TÝch LÞch L«i Háa Giíi 	0	3	10	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	2									1	12	10	1	43	-1	-1	205	1	1												
§Þa Ph¸ch TÝch LÞch L«i Háa Giíi 	0	3	10	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	2									1	12	10	1	43	-1	-1	205	1	1												
§Þa Ph¸ch TÝch LÞch L«i Háa Giíi 	0	3	10	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	2									1	12	10	1	43	-1	-1	205	1	1												
§Þa Ph¸ch TÝch LÞch L«i Háa Giíi 	0	3	10	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	2									1	12	10	1	43	-1	-1	205	1	1												
§Þa Ph¸ch TÝch LÞch L«i Háa Giíi 	0	3	10	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	2									1	12	10	1	43	-1	-1	205	1	1												
§Þa Ph¸ch TÝch LÞch L«i Háa Giíi 	0	3	10	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	2									1	12	10	1	43	-1	-1	205	1	1												
§Þa Ph¸ch TÝch LÞch L«i Háa Giíi 	0	3	10	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	2									1	12	10	1	43	-1	-1	205	1	1												
§Þa Ph¸ch TÝch LÞch L«i Háa Giíi 	0	3	10	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	2									1	12	10	1	43	-1	-1	205	1	1												
§Þa Ph¸ch TÝch LÞch L«i Háa Giíi 	0	3	10	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	2									1	12	10	1	43	-1	-1	205	1	1												
Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn 	0	3	11	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	2									1	15	10	2	43	-1	-1	205	1	1												
