名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	脚本名(参数1)	技能ID（参数1）	参数2(释法类型)	参数3(是否广播)	参数4(是否有等级概念)	参数5(是否可放快捷栏)
太极剑谱·卷二	6	1	34	\spr\item\questkey\obj_item_lection.spr	341	1	1	记述武当绝技太极剑法的高深招数，学习可以获得<人剑合一>招式。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
云龙击·矛法	6	1	35	\spr\item\questkey\obj_item_lection.spr	341	1	1	"记录了天忍矛法的高级招式,学习可获得<云龙击>招式。"		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
流星·刀法	6	1	36	\spr\item\questkey\obj_item_lection.spr	341	1	1	天忍刀法中高级招式的文字记录，学习可获得<天外流星>招式。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
天王锤法·卷一	6	1	37	\spr\item\questkey\obj_item_lection.spr	341	1	1	书中纹绘了天王锤法的各种精要动作，仔细研习可以学的<追风诀>招式。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
天王枪法·卷二	6	1	38	\spr\item\questkey\obj_item_lection.spr	341	1	1	天王枪法第三卷，记录了<追星逐月>招式。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
天王刀法·卷三	6	1	39	\spr\item\questkey\obj_item_lection.spr	341	1	1	详细描述了天王刀法的各个精要招式，研习可以获得<破天斩>。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
翠烟刀法	6	1	40	\spr\item\questkey\obj_item_lection.spr	341	1	1	讲述翠烟刀法的武功秘籍，可以从中学得<冰踪无影>招式。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
翠烟双刀	6	1	41	\spr\item\questkey\obj_item_lection.spr	341	1	1	讲述翠烟双刀的武功秘籍，可以从中学得<冰心仙子>招式。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
灭剑秘籍	6	1	42	\spr\item\questkey\obj_item_lection.spr	341	1	1	峨嵋灭剑秘籍，其中记载了灭剑中的绝妙招式<三峨霁雪>。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
峨嵋佛光掌秘籍	6	1	43	\spr\item\questkey\obj_item_lection.spr	341	1	1	讲述峨嵋掌法中高级招式<风霜碎影>的书籍。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
替身丸	6	1	44	\spr\item\medecine\obj-potion15.spr	19	1	1	使用后增加挂机时间1个小时/个，最多可同时使用24个		6000	1	0	\script\missions\chatworld\use_autopill.lua	0	1	1	0	1
飞刀术·摄魂月影	6	1	45	\spr\item\questkey\obj_item_lection.spr	341	1	1	唐门飞刀术，学习可获得<慑魂月影>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
飞镖术·九宫飞星	6	1	46	\spr\item\questkey\obj_item_lection.spr	341	1	1	唐门飞镖术，学习可获得<九宫飞星>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
五毒掌法·卷一	6	1	47	\spr\item\questkey\obj_item_lection.spr	341	1	1	五毒掌法，学习可获得<阴风蚀骨>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
五毒刀法·卷二	6	1	48	\spr\item\questkey\obj_item_lection.spr	341	1	1	五毒刀法，学习可获得<玄阴斩>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
五毒慑心术·卷三	6	1	49	\spr\item\questkey\obj_item_lection.spr	341	1	1	五毒辅助心法，学习可获得<断筋腐骨>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
驭风术	6	1	50	\spr\item\questkey\obj_item_lection.spr	341	1	1	昆仑刀法，学习后可获得<傲雪啸风>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
驭雷术	6	1	51	\spr\item\questkey\obj_item_lection.spr	341	1	1	昆仑剑法，学习后可获得<雷动九天>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
驭心术	6	1	52	\spr\item\questkey\obj_item_lection.spr	341	1	1	昆仑心法，学习后可获得<醉仙错骨>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
摄魂·诅咒	6	1	53	\spr\item\questkey\obj_item_lection.spr	341	1	1	"天忍诅咒的高级招式,研习可从中学得<慑魂乱心>。"		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
丐帮掌法	6	1	54	\spr\item\questkey\obj_item_lection.spr	341	1	1	丐帮掌法，学习后可获得<飞龙在天>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
丐帮棍法	6	1	55	\spr\item\questkey\obj_item_lection.spr	341	1	1	丐帮棍法，学习后可获得<天下无狗>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
少林拳法·卷一	6	1	56	\spr\item\questkey\obj_item_lection.spr	341	1	1	少林拳法，学习后可获得<达摩渡江>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
少林棍法·卷二	6	1	57	\spr\item\questkey\obj_item_lection.spr	341	1	1	少林棍法，学习后可获得<横扫千军>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
少林刀法·卷三	6	1	58	\spr\item\questkey\obj_item_lection.spr	341	1	1	少林刀法，学习后可获得<无相斩>技能。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
普渡秘籍	6	1	59	\spr\item\questkey\obj_item_lection.spr	341	1	1	普渡秘籍，记载了<普渡众生>的招式。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
板栗粽子	6	0	60	\spr\item\questkey\taskobj401.spr	366	1	1	吃过以后10分钟内，攻击速度增加20		100	1	0	0	401	1	1	0	1
猪肉粽子	6	0	61	\spr\item\questkey\taskobj402.spr	366	1	1	吃过以后10分钟内，生命和内力增加100％		100	1	0	0	402	1	1	0	1
牛肉粽子	6	0	62	\spr\item\questkey\taskobj403.spr	366	1	1	吃过以后10分钟内，所有抗性增加5％		100	1	0	0	403	1	1	0	1
什锦粽子	6	1	63	\spr\item\questkey\taskobj404.spr	366	1	1	吃过以后可以瞬间增加1000点经验		100	1	0	\script\item\shijin01.lua	0	1	1	0	1
蜜饯什锦粽子	6	1	64	\spr\item\questkey\taskobj404.spr	366	1	1	吃过以后可以瞬间增加5000的经验		100	1	0	\script\item\shijin02.lua	0	1	1	0	1
八宝什锦粽子	6	1	65	\spr\item\questkey\taskobj404.spr	366	1	1	吃过以后可以瞬间增加30000点经验		100	1	0	\script\item\shijin03.lua	0	1	1	0	1
百果什锦粽子	6	1	66	\spr\item\questkey\taskobj404.spr	366	1	1	吃过以后可以瞬间增加100000点经验		100	1	0	\script\item\shijin04.lua	0	1	1	0	1
水晶什锦粽子	6	1	67	\spr\item\questkey\taskobj404.spr	366	1	1	吃过以后可以瞬间增加500000点的经验		100	1	0	\script\item\shijin05.lua	0	1	1	0	1
屈原什锦粽子	6	1	68	\spr\item\questkey\taskobj405.spr	366	1	1	提升人物等级1级（经验最多提升2亿点），但吃后会对什锦类粽子产生抗性		100	1	0	\script\item\shijin06.lua	0	1	1	0	1
黄金宝箱	6	1	69	\spr\item\script\item_goldenbox.spr	367	2	2	一个金光闪闪的盒子，上面雕刻着神秘的花纹。使用后可以随机得到一样物品		2000	1	0	\script\item\goldenbox.lua	0	1	1	0	0
幸运粽子	6	0	70	\spr\item\questkey\taskobj405.spr	366	1	1	吃过半个小时内，提升幸运30点，不过只能在吃的地方发挥作用		100	1	0	0	410	1	1	0	1
仙草露	6	1	71	\spr\item\medecine\xiancaolu.spr	370	1	1	1小时内，打怪练级经验加倍。（重复使用无效）		5	1	0	\script\item\xiancaolu.lua	0	1	1	0	1
天山玉露	6	1	72	\spr\item\medecine\tianshanyulu.spr	370	1	1	1小时内，幸运增加10点。（重复使用无效）		5	1	0	\script\item\tianshanyulu.lua	0	1	1	0	1
百果露	6	1	73	\spr\item\medecine\baiguolu.spr	370	1	1	1小时内，所有抗性增加15点。（重复使用无效）		5	1	0	\script\item\baiguolu.lua	0	1	1	0	1
白驹丸	6	1	74	\spr\item\medecine\baijuwan.spr	19	1	1	一颗白驹丸，使用后可获得1小时的离线托管时间。		5	1	0	\script\item\baijuwan.lua	0	1	1	0	1
彩票	6	1	75	\spr\obj\item\caipiao.spr	38	1	1	一张关于雅典盛会的彩票。		10	1	0	\script\item\lottery.lua	0	1	1	0	0
黄金彩票	6	1	76	\spr\obj\item\huangjincaipiao.spr	38	1	1	有可能兑换黄金装备的彩票		0	1	0	\script\item\golden.lua	0	1	1	0	0
宋金轮回卷一	6	1	77	\spr\item\questkey\obj_item_lection02.spr	374	1	1	宋金轮回，卷一，共5卷，剑侠传说，右击阅读		800	1	1	\script\item\songjinlunhui1.lua	0	1	1	0	0
宋金轮回卷二	6	1	78	\spr\item\questkey\obj_item_lection02.spr	374	1	1	宋金轮回，卷二，共5卷，剑侠传说，右击阅读		800	1	1	\script\item\songjinlunhui2.lua	0	1	1	0	0
宋金轮回卷三	6	1	79	\spr\item\questkey\obj_item_lection02.spr	374	1	1	宋金轮回，卷三，共5卷，剑侠传说，右击阅读		800	1	1	\script\item\songjinlunhui3.lua	0	1	1	0	0
宋金轮回卷四	6	1	80	\spr\item\questkey\obj_item_lection02.spr	374	1	1	宋金轮回，卷四，共5卷，剑侠传说，右击阅读		800	1	1	\script\item\songjinlunhui4.lua	0	1	1	0	0
宋金轮回卷五	6	1	81	\spr\item\questkey\obj_item_lection02.spr	374	1	1	宋金轮回，卷五，共5卷，剑侠传说，右击阅读		800	1	1	\script\item\songjinlunhui5.lua	0	1	1	0	0
初啼江湖卷一	6	1	82	\spr\item\questkey\obj_item_lection02.spr	374	1	1	初啼江湖，卷一，共5卷，新手要诀，右击阅读		800	1	1	\script\item\chutijianghu1.lua	0	1	1	0	0
初啼江湖卷二	6	1	83	\spr\item\questkey\obj_item_lection02.spr	374	1	1	初啼江湖，卷二，共5卷，新手要诀，右击阅读		800	1	1	\script\item\chutijianghu2.lua	0	1	1	0	0
初啼江湖卷三	6	1	84	\spr\item\questkey\obj_item_lection02.spr	374	1	1	初啼江湖，卷三，共5卷，新手要诀，右击阅读		800	1	1	\script\item\chutijianghu3.lua	0	1	1	0	0
初啼江湖卷四	6	1	85	\spr\item\questkey\obj_item_lection02.spr	374	1	1	初啼江湖，卷四，共5卷，新手要诀，右击阅读		800	1	1	\script\item\chutijianghu4.lua	0	1	1	0	0
初啼江湖卷五	6	1	86	\spr\item\questkey\obj_item_lection02.spr	374	1	1	初啼江湖，卷五，共5卷，新手要诀，右击阅读		800	1	1	\script\item\chutijianghu5.lua	0	1	1	0	0
上手指引卷一	6	1	87	\spr\item\questkey\obj_item_lection01.spr	375	1	1	上手指引，卷一，共7卷，新手要诀，右击阅读		800	1	1	\script\item\shangshouzhiyin1.lua	0	1	1	0	0
上手指引卷二	6	1	88	\spr\item\questkey\obj_item_lection01.spr	375	1	1	上手指引，卷二，共7卷，新手要诀，右击阅读		800	1	1	\script\item\shangshouzhiyin2.lua	0	1	1	0	0
上手指引卷三	6	1	89	\spr\item\questkey\obj_item_lection01.spr	375	1	1	上手指引，卷三，共7卷，新手要诀，右击阅读		800	1	1	\script\item\shangshouzhiyin3.lua	0	1	1	0	0
上手指引卷四	6	1	90	\spr\item\questkey\obj_item_lection01.spr	375	1	1	上手指引，卷四，共7卷，新手要诀，右击阅读		800	1	1	\script\item\shangshouzhiyin4.lua	0	1	1	0	0
上手指引卷五	6	1	91	\spr\item\questkey\obj_item_lection01.spr	375	1	1	上手指引，卷五，共7卷，新手要诀，右击阅读		800	1	1	\script\item\shangshouzhiyin5.lua	0	1	1	0	0
上手指引卷六	6	1	92	\spr\item\questkey\obj_item_lection01.spr	375	1	1	上手指引，卷六，共7卷，新手要诀，右击阅读		800	1	1	\script\item\shangshouzhiyin6.lua	0	1	1	0	0
上手指引卷七	6	1	93	\spr\item\questkey\obj_item_lection01.spr	375	1	1	上手指引，卷七，共7卷，新手要诀，右击阅读		800	1	1	\script\item\shangshouzhiyin7.lua	0	1	1	0	0
擒怪伏魔谱卷一	6	1	94	\spr\item\questkey\obj_item_lection02.spr	374	1	1	擒怪伏魔谱，卷一，共8卷，练功宝典，右击阅读		800	1	1	\script\item\qinguaifumopu1.lua	0	1	1	0	0
擒怪伏魔谱卷二	6	1	95	\spr\item\questkey\obj_item_lection02.spr	374	1	1	擒怪伏魔谱，卷二，共8卷，练功宝典，右击阅读		800	1	1	\script\item\qinguaifumopu2.lua	0	1	1	0	0
擒怪伏魔谱卷三	6	1	96	\spr\item\questkey\obj_item_lection02.spr	374	1	1	擒怪伏魔谱，卷三，共8卷，练功宝典，右击阅读		800	1	1	\script\item\qinguaifumopu3.lua	0	1	1	0	0
擒怪伏魔谱卷四	6	1	97	\spr\item\questkey\obj_item_lection02.spr	374	1	1	擒怪伏魔谱，卷四，共8卷，练功宝典，右击阅读		800	1	1	\script\item\qinguaifumopu4.lua	0	1	1	0	0
擒怪伏魔谱卷五	6	1	98	\spr\item\questkey\obj_item_lection02.spr	374	1	1	擒怪伏魔谱，卷五，共8卷，练功宝典，右击阅读		800	1	1	\script\item\qinguaifumopu5.lua	0	1	1	0	0
擒怪伏魔谱卷六	6	1	99	\spr\item\questkey\obj_item_lection02.spr	374	1	1	擒怪伏魔谱，卷六，共8卷，练功宝典，右击阅读		800	1	1	\script\item\qinguaifumopu6.lua	0	1	1	0	0
擒怪伏魔谱卷七	6	1	100	\spr\item\questkey\obj_item_lection02.spr	374	1	1	擒怪伏魔谱，卷七，共8卷，练功宝典，右击阅读		800	1	1	\script\item\qinguaifumopu7.lua	0	1	1	0	0
擒怪伏魔谱卷八	6	1	101	\spr\item\questkey\obj_item_lection02.spr	374	1	1	擒怪伏魔谱，卷八，共8卷，练功宝典，右击阅读		800	1	1	\script\item\qinguaifumopu8.lua	0	1	1	0	0
武林秘录·天王篇	6	1	102	\spr\item\questkey\obj_item_lection02.spr	374	1	1	"武林秘录·天王篇,记录了天王主线技能,右击阅读"		800	1	1	\script\item\wulinmilu_tianwang.lua	0	1	1	0	0
武林秘录·少林篇	6	1	103	\spr\item\questkey\obj_item_lection02.spr	374	1	1	"武林秘录·少林篇,记录了少林主线技能,右击阅读"		800	1	1	\script\item\wulinmilu_shaolin.lua	0	1	1	0	0
武林秘录·唐门篇	6	1	104	\spr\item\questkey\obj_item_lection02.spr	374	1	1	"武林秘录·唐门篇,记录了唐门主线技能,右击阅读"		800	1	1	\script\item\wulinmilu_tangmen.lua	0	1	1	0	0
武林秘录·五毒篇	6	1	105	\spr\item\questkey\obj_item_lection02.spr	374	1	1	"武林秘录·五毒篇,记录了五毒主线技能,右击阅读"		800	1	1	\script\item\wulinmilu_wudu.lua	0	1	1	0	0
武林秘录·峨嵋篇	6	1	106	\spr\item\questkey\obj_item_lection02.spr	374	1	1	"武林秘录·峨嵋篇,记录了峨嵋主线技能,右击阅读"		800	1	1	\script\item\wulinmilu_emei.lua	0	1	1	0	0
武林秘录·翠烟篇	6	1	107	\spr\item\questkey\obj_item_lection02.spr	374	1	1	"武林秘录·翠烟篇,记录了翠烟主线技能,右击阅读"		800	1	1	\script\item\wulinmilu_cuiyan.lua	0	1	1	0	0
武林秘录·丐帮篇	6	1	108	\spr\item\questkey\obj_item_lection02.spr	374	1	1	"武林秘录·丐帮篇,记录了丐帮主线技能,右击阅读"		800	1	1	\script\item\wulinmilu_gaibang.lua	0	1	1	0	0
武林秘录·天忍篇	6	1	109	\spr\item\questkey\obj_item_lection02.spr	374	1	1	"武林秘录·天忍篇,记录了天忍主线技能,右击阅读"		800	1	1	\script\item\wulinmilu_tianren.lua	0	1	1	0	0
武林秘录·武当篇	6	1	110	\spr\item\questkey\obj_item_lection02.spr	374	1	1	"武林秘录·武当篇,记录了武当主线技能,右击阅读"		800	1	1	\script\item\wulinmilu_wudang.lua	0	1	1	0	0
武林秘录·昆仑篇	6	1	111	\spr\item\questkey\obj_item_lection02.spr	374	1	1	"武林秘录·昆仑篇,记录了昆仑主线技能,右击阅读"		800	1	1	\script\item\wulinmilu_kunlun.lua	0	1	1	0	0
仙草丸	6	1	113	\spr\item\medecine\xiancaolu.spr	370	1	1	1小时内，打怪练级经验额外增加50%（重复使用无效）		5	1	1	\script\item\xiancaowan.lua	0	1	1	0	1
研玉丸	6	1	114	\spr\item\medecine\hulu.spr	370	1	1	1小时内，技能熟练度掌握速度增加50%（重复使用无效）		5	1	1	\script\item\yanyuwan.lua	0	1	1	0	1
嫣红丹	6	1	115	\spr\item\medecine\obj-potion15.spr	19	1	1	30分钟内，生命值增加50%（重复使用无效）		50	1	0	\script\item\yanhongdan.lua	0	1	1	0	1
姹蓝丹	6	1	116	\spr\item\medecine\obj-potion15.spr	19	1	1	30分钟内，内力值增加50%（重复使用无效）		50	1	0	\script\item\chalandan.lua	0	1	1	0	1
内普丸	6	1	117	\spr\item\medecine\obj-potion15.spr	19	1	1	10分钟内，增加内功系普攻伤害100点（重复使用无效）		50	1	0	\script\item\neipuwan.lua	0	1	1	0	1
内毒丸	6	1	118	\spr\item\medecine\obj-potion15.spr	19	1	1	10分钟内，增加内功系毒伤害50点（重复使用无效）		50	1	0	\script\item\neiduwan.lua	0	1	1	0	1
内冰丸	6	1	119	\spr\item\medecine\obj-potion15.spr	19	1	1	10分钟内，增加内功系冰伤害100点（重复使用无效）		50	1	0	\script\item\neibingwan.lua	0	1	1	0	1
内火丸	6	1	120	\spr\item\medecine\obj-potion15.spr	19	1	1	10分钟内，增加内功系火伤害100点（重复使用无效）		50	1	0	\script\item\neihuowan.lua	0	1	1	0	1
内电丸	6	1	121	\spr\item\medecine\obj-potion15.spr	19	1	1	10分钟内，增加内功系电伤害100点（重复使用无效）		50	1	0	\script\item\neidianwan.lua	0	1	1	0	1
福缘露（小）	6	1	122	\spr\item\medecine\fuyuanlu_small.spr	370	1	1	小瓶的仙露，喝了能增加10点福缘		5	1	0	\script\item\fuyuanlu_small.lua	0	1	1	0	1
福缘露（中）	6	1	123	\spr\item\medecine\fuyuanlu_middle.spr	370	1	1	中瓶的仙露，喝了能增加20点福缘		5	1	0	\script\item\fuyuanlu_middle.lua	0	1	1	0	1
福缘露（大）	6	1	124	\spr\item\medecine\fuyuanlu_big.spr	370	1	1	大瓶的仙露，喝了能增加50点福缘		5	1	0	\script\item\fuyuanlu_big.lua	0	1	1	0	1
桂花酒	6	1	125	\spr\item\medecine\zq_icon_004.spr	376	1	1	30分钟内，使用者及其组队玩家提升幸运20点。		800	1	0	\script\item\ghj.lua	450	1	1	0	0
八珍福月团圆饼	6	1	126	\spr\item\medecine\zq_icon_003.spr	377	1	1	30分钟内，使用者及其组队玩家练级经验加倍。		800	1	0	\script\item\tyb.lua	451	1	1	0	0
奉月果蓉	6	1	127	\spr\item\medecine\zq_icon_001.spr	377	1	1	按秘方制作的稀有月饼，食用后武功技能点增加一点，等级要求80，每人限食2个。		800	1	0	\script\item\zhongqiu\奉月果蓉.lua	0	1	1	0	0
贡月芙蓉	6	1	128	\spr\item\medecine\zq_icon_002.spr	377	1	1	按秘方制作的稀有月饼，食用后自身潜能点增加5点，等级要求80，每人限吃3个。		800	1	0	\script\item\zhongqiu\贡月芙蓉.lua	0	1	1	0	0
幸运彩票	6	1	129	\spr\obj\item\huangjincaipiao.spr	38	1	1	有可能兑换黄金装备的彩票		0	1	0	\script\item\lottery_gold.lua	0	1	1	0	0
大白驹丸	6	1	130	\spr\item\medecine\baijuwan.spr	19	1	1	一颗大白驹丸，使用后可获得8小时的离线托管时间。		5	1	0	\script\item\dabaijuwan.lua	0	1	1	0	1
龙五的包袱	6	1	131	\spr\item\obj_item_jixiang.spr	347	1	1	"龙五交给你的包袱，里面似乎有几封信函,请右键点击打开。"		0	1	0	\script\item\pack.lua	0	1	1	0	0
龙五给正派的你的信	6	1	132	\spr\item\questkey\taskobj075.spr	41	1	1	龙五给你的信，请右键点击打开。		0	1	0	\script\item\letter.lua	0	1	1	0	0
龙五给中立的你的信 	6	1	133	\spr\item\questkey\taskobj090.spr	41	1	1	龙五给你的信，请右键点击打开。		0	1	0	\script\item\letter1.lua	0	1	1	0	0
龙五给邪派的你的信	6	1	134	\spr\item\questkey\taskobj091.spr	41	1	1	龙五给你的信，请右键点击打开。		0	1	0	\script\item\letter2.lua	0	1	1	0	0
祝福卡	6	1	135	\spr\item\questkey\card_zfk.spr	38	1	1	发送温馨祝福，右键点击使用。		50	1	0	\script\item\card_zfk.lua	0	1	1	0	0
帮派卡	6	1	136	\spr\item\questkey\card_bpk.spr	38	1	1	发送帮会祝福，右键点击使用。		50	1	0	\script\item\card_bpk.lua	0	1	1	0	0
生日卡	6	1	137	\spr\item\questkey\card_srk.spr	38	1	1	发送生日祝福，右键点击使用。		50	1	0	\script\item\card_srk.lua	0	1	1	0	0
玫瑰卡	6	1	138	\spr\item\questkey\card_mgk.spr	38	1	1	发送甜蜜祝福，右键点击使用。		50	1	0	\script\item\card_mgk.lua	0	1	1	0	0
圣诞卡	6	1	139	\spr\item\questkey\card_sdk.spr	38	1	1	发送圣诞祝福，右键点击使用。		50	1	0	\script\item\card_sdk.lua	0	1	1	0	0
新年卡	6	1	140	\spr\item\questkey\card_xnk.spr	38	1	1	发送新年祝福，右键点击使用。		50	1	0	\script\item\card_xnk.lua	0	1	1	0	0
欢乐卡册	6	1	141	\spr\item\questkey\card_all.spr	38	1	1	套卡，右键点击获得5张卡片。		50	1	0	\script\item\card_all.lua	0	1	1	0	0
