µÈ¼¶	chuyensinh0	chuyensinh1	chuyensinh2	chuyensinh3	chuyensinh4	chuyensinh5
90	65635200	21878400	21878400	10501632	21003264	21003264
91	71362800	23787600	23787600	11418048	22836096	22836096
92	77799000	25933000	25933000	12447840	24895680	24895680
93	84943800	28314600	28314600	13591008	27182016	27182016
94	92797200	30932400	30932400	14847552	29695104	29695104
95	101359200	33786400	33786400	16217472	32434944	32434944
96	110629800	36876600	36876600	17700768	35401536	35401536
97	120609000	40203000	40203000	19297440	38594880	38594880
98	131296800	43765600	43765600	21007488	42014976	42014976
99	142693200	47564400	47564400	22830912	45661824	45661824
100	150000000	50000000	50000000	24000000	48000000	48000000
101	150000000	50000000	50000000	24000000	48000000	48000000
102	150000000	50000000	50000000	24000000	48000000	48000000
103	150000000	50000000	50000000	24000000	48000000	48000000
104	150000000	50000000	50000000	24000000	48000000	48000000
105	150000000	50000000	50000000	24000000	48000000	48000000
106	150000000	50000000	50000000	24000000	48000000	48000000
107	150000000	50000000	50000000	24000000	48000000	48000000
108	150000000	50000000	50000000	24000000	48000000	48000000
109	150000000	50000000	50000000	24000000	48000000	48000000
110	180000000	60000000	60000000	28800000	57600000	57600000
111	180000000	60000000	60000000	28800000	57600000	57600000
112	180000000	60000000	60000000	28800000	57600000	57600000
113	180000000	60000000	60000000	28800000	57600000	57600000
114	180000000	60000000	60000000	28800000	57600000	57600000
115	180000000	60000000	60000000	28800000	57600000	57600000
116	180000000	60000000	60000000	28800000	57600000	57600000
117	180000000	60000000	60000000	28800000	57600000	57600000
118	180000000	60000000	60000000	28800000	57600000	57600000
119	180000000	60000000	60000000	28800000	57600000	57600000
120	300000000	100000000	100000000	48000000	96000000	96000000
121	300000000	100000000	100000000	48000000	96000000	96000000
122	300000000	100000000	100000000	48000000	96000000	96000000
123	300000000	100000000	100000000	48000000	96000000	96000000
124	300000000	100000000	100000000	48000000	96000000	96000000
125	360000000	120000000	120000000	57600000	115200000	115200000
126	360000000	120000000	120000000	57600000	115200000	115200000
127	360000000	120000000	120000000	57600000	115200000	115200000
128	360000000	120000000	120000000	57600000	115200000	115200000
129	360000000	120000000	120000000	57600000	115200000	115200000
130	480000000	160000000	160000000	76800000	153600000	153600000
131	480000000	160000000	160000000	76800000	153600000	153600000
132	480000000	160000000	160000000	76800000	153600000	153600000
133	480000000	160000000	160000000	76800000	153600000	153600000
134	480000000	160000000	160000000	76800000	153600000	153600000
135	600000000	200000000	200000000	96000000	192000000	192000000
136	600000000	200000000	200000000	96000000	192000000	192000000
137	600000000	200000000	200000000	96000000	192000000	192000000
138	600000000	200000000	200000000	96000000	192000000	192000000
139	600000000	200000000	200000000	96000000	192000000	192000000
140	900000000	300000000	300000000	144000000	288000000	288000000
141	900000000	300000000	300000000	144000000	288000000	288000000
142	900000000	300000000	300000000	144000000	288000000	288000000
143	900000000	300000000	300000000	144000000	288000000	288000000
144	900000000	300000000	300000000	144000000	288000000	288000000
145	1200000000	500000000	500000000	172800000	345600000	345600000
146	1200000000	500000000	500000000	172800000	345600000	345600000
147	1200000000	500000000	500000000	172800000	345600000	345600000
148	1200000000	500000000	500000000	172800000	345600000	345600000
149	1200000000	500000000	500000000	172800000	345600000	345600000
150	1500000000	800000000	800000000	192000000	384000000	384000000
151	1500000000	800000000	800000000	192000000	384000000	384000000
152	1500000000	800000000	800000000	192000000	384000000	384000000
153	1500000000	800000000	800000000	192000000	384000000	384000000
154	1500000000	800000000	800000000	192000000	384000000	384000000
155	1800000000	1200000000	1200000000	240000000	480000000	480000000
156	1800000000	1200000000	1200000000	240000000	480000000	480000000
157	1800000000	1200000000	1200000000	240000000	480000000	480000000
158	1800000000	1200000000	1200000000	240000000	480000000	480000000
159	1800000000	1200000000	1200000000	240000000	480000000	480000000
160	1800000000	1800000000	1800000000	336000000	672000000	672000000
161	1800000000	1800000000	1800000000	336000000	672000000	672000000
162	1800000000	1800000000	1800000000	336000000	672000000	672000000
163	1800000000	1800000000	1800000000	336000000	672000000	672000000
164	1800000000	1800000000	1800000000	336000000	672000000	672000000
165	2000000000	2000000000	2000000000	432000000	864000000	864000000
166	2000000000	2000000000	2000000000	432000000	864000000	864000000
167	2000000000	2000000000	2000000000	432000000	864000000	864000000
168	2000000000	2000000000	2000000000	432000000	864000000	864000000
169	2000000000	2000000000	2000000000	432000000	864000000	864000000
170	2000000000	2000000000	2000000000	480000000	960000000	960000000
171	2000000000	2000000000	2000000000	480000000	960000000	960000000
172	2000000000	2000000000	2000000000	480000000	960000000	960000000
173	2000000000	2000000000	2000000000	480000000	960000000	960000000
174	2000000000	2000000000	2000000000	480000000	960000000	960000000
175	2000000000	2000000000	2000000000	576000000	1152000000	1152000000
176	2000000000	2000000000	2000000000	576000000	1152000000	1152000000
177	2000000000	2000000000	2000000000	576000000	1152000000	1152000000
178	2000000000	2000000000	2000000000	576000000	1152000000	1152000000
179	2000000000	2000000000	2000000000	576000000	1152000000	1152000000
180	2000000000	2000000000	2000000000	672000000	1344000000	1344000000
181	2000000000	2000000000	2000000000	672000000	1344000000	1344000000
182	2000000000	2000000000	2000000000	672000000	1344000000	1344000000
183	2000000000	2000000000	2000000000	672000000	1344000000	1344000000
184	2000000000	2000000000	2000000000	672000000	1344000000	1344000000
185	2000000000	2000000000	2000000000	768000000	1536000000	1536000000
186	2000000000	2000000000	2000000000	768000000	1536000000	1536000000
187	2000000000	2000000000	2000000000	768000000	1536000000	1536000000
188	2000000000	2000000000	2000000000	768000000	1536000000	1536000000
189	2000000000	2000000000	2000000000	768000000	1536000000	1536000000
190	2000000000	2000000000	2000000000	864000000	1728000000	1728000000
191	2000000000	2000000000	2000000000	864000000	1728000000	1728000000
192	2000000000	2000000000	2000000000	864000000	1728000000	1728000000
193	2000000000	2000000000	2000000000	864000000	1728000000	1728000000
194	2000000000	2000000000	2000000000	864000000	1728000000	1728000000
195	2000000000	2000000000	2000000000	960000000	1920000000	1920000000
196	2000000000	2000000000	2000000000	960000000	1920000000	1920000000
197	2000000000	2000000000	2000000000	960000000	1920000000	1920000000
198	2000000000	2000000000	2000000000	960000000	1920000000	1920000000
199	2000000000	2000000000	2000000000	960000000	1920000000	1920000000
200	2000000000	2000000000	2000000000	960000000	1920000000	1920000000
