Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
Hçn ThiÕt Bæng	0	0	2	\spr\item\equip\closeweapon\obj-staff12.spr	11	1	4	"Lo¹i c«n ®­îc lµm tõ nhiÒu thø kim lo¹i, rÊt nÆng. "		7000	8	0	28	50	50	29	93	93	167	-10	-10	31	246	246										36	63	32	135									0																					
Gi¸c H¶i Bæng	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	"Lo¹i c«n ®Õn nay ph­¬ng thøc chÕ t¹o vÉn cßn bÝ truyÒn, cã thÓ lµm long trêi lë ®Êt. "		9333	9	0	28	56	56	29	105	105	167	-10	-10	31	260	260										36	72	32	150									0																					
Kim C« Bæng	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	"Lo¹i thiÕt bæng ®Çu bÞt kim c«, gièng nh­ c©y Nh­ ý Bæng cña T«n Ngé Kh«ng ®· dïng. "		12000	10	0	28	63	63	29	117	117	167	-10	-10	31	280	280										36	81	32	165									0																					
ThiÕt Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear11.spr	12	1	3	Lµ lo¹i th­¬ng lµm tõ gç nh­ng trªn ®Çu cã bÞt s¾t. 		33	1	0	28	1	1	29	14	14	167	30	30	31	36	36										36	0	32	25	33	20							0																					
Tr­êng Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear21.spr	12	2	4	"Lo¹i th­¬ng th­êng dïng khi tËp luyÖn, thùc tÕ rÊt Ýt khi dïng ®Ó chiÕn ®Êu. "		500	2	0	28	3	3	29	28	28	167	30	30	31	50	50										36	9	32	36	33	36							0																					
§iÓm Cang Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear01.spr	12	1	4	"Trªn ®Çu ®­îc bäc thÐp, søc s¸t th­¬ng h¬n h¼n lo¹i th­¬ng lµm tõ gç. "		1000	3	0	28	4	4	29	43	43	167	30	30	31	64	64										36	18	32	48	33	48							0																					
C©u Liªm Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear22.spr	12	2	4	"Tõ Ninh -h¶o h¸n cña L­¬ng S¬n B¹c-rÊt th¹o dïng, vÒ sau ®· dïng nã ®Ó ph¸ Liªn Hoµn m·. "		1666	4	0	28	6	6	29	57	57	167	30	30	31	78	78										36	27	32	61	33	61							0																					
Hoµn tö Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear02.spr	12	1	4	"Th­¬ng cã bäc nh÷ng viªn thÐp nhá, khi huy ®éng nã ph¸t ra nh÷ng tiÕng kªu, rÊt lµ uy phong. "		2500	5	0	28	8	8	29	72	72	167	30	30	31	92	92										36	36	32	74	33	74							0																					
B¸o vÜ th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear03.spr	12	1	4	"Lo¹i th­¬ng toµn b»ng B¹c, dµi kho¶ng 4 th­íc, c¸c thÞ vÖ cña Hoµng ®Õ th­êng dïng. "		3333	6	0	28	9	9	29	86	86	167	30	30	31	106	106										36	45	32	87	33	87							0																					
Nh¹n Linh Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear13.spr	12	1	3	"Th­¬ng ®­îc lµm tõ thÐp l¹nh, rÊt hiÕm thÊy. "		5000	7	0	28	11	11	29	100	100	167	30	30	31	120	120										36	54	32	99	33	99							0																					
Tó Cèt Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear23.spr	12	2	4	"Lo¹i th­¬ng v« cïng nhÑ, cã thÓ ®©m xuyªn x­¬ng cèt, mét thø binh khÝ cùc ®éc. "		7000	8	0	28	12	12	29	115	115	167	30	30	31	134	134										36	63	32	111	33	111							0																					
Háa NhuÖ Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear14.spr	12	1	3	"Mét lo¹i b¶o th­¬ng trong truyÒn thuyÕt, h×nh nh­ cã mét søc m¹nh thÇn bÝ. "		9333	9	0	28	14	14	29	129	129	167	30	30	31	148	148										36	72	32	124	33	124							0																					
Ph¸ Thiªn KÝch	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	"Lo¹i kÝch dÇu bäc thÐp tinh luyÖn, cã thÓ ®©m thñng mäi thø. "		12000	10	0	28	16	16	29	144	144	167	30	30	31	162	162										36	81	32	138	33	138							0																					
To¸n §Çu chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha01.spr	13	2	2	"§óc tõ §ång xanh, tuy h¬i nÆng nh­ng th­êng ®­îc dïng ®Ó tËp luyÖn. "		33	1	0	28	5	5	29	15	15	167	-30	-30	31	84	84										36	0	32	35									0																					
B¸t L¨ng chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha11.spr	13	2	3	"Lo¹i chïy rÊt nÆng, kh«ng tiÖn ®Ó chiÕn ®Êu. "		400	2	0	28	10	10	29	30	30	167	-30	-30	31	122	122										36	9	32	55									0																					
Ngò Tinh chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha03.spr	13	2	2	"H×nh d¸ng kú dÞ, c¸ch sö dông còng kh¸c biÖt. "		900	3	0	28	15	15	29	45	45	167	-30	-30	31	160	160										36	18	32	80									0																					
TÝch LÞch chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha03.spr	13	2	2	"Khi vung lªn tiÕng vang nh­ sÊm sÐt, khiÕn kÎ ®Þch hån phi ph¸ch t¸n. "		1500	4	0	28	20	20	29	60	60	167	-30	-30	31	198	198										36	27	32	100									0																					
L­îng Ng©n chïy 	0	0	4	\spr\item\equip\closeweapon\obj-adha02.spr	13	2	2	"§óc tõ B¹ch Ng©n, nhÑ vµ søc c«ng ph¸ kh«ng hiÖu qu¶. "		2500	5	0	28	25	25	29	75	75	167	-30	-30	31	236	236										36	36	32	115									0																					
Lang Nha chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha12.spr	13	2	3	"M·nh t­íng Kim §¬n Tö cña Kim quèc th­êng sö dông, v« cïng lîi h¹i. "		3000	6	0	28	30	30	29	90	90	167	-30	-30	31	274	274										36	45	32	135									0																					
LiÖt T©m chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha12.spr	13	2	3	"Hµ Nguyªn Kh¸nh-§¹i t­íng cña Nh¹c Phi - th­êng sö dông, uy phong lÉm liÖt. "		4500	7	0	28	35	35	29	105	105	167	-30	-30	31	312	312										36	54	32	155									0																					
Kim Qua chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha13.spr	13	2	3	"Nghiªm Thµnh Ph­¬ng - §¹i t­íng cña Nh¹c Phi - th­êng sö dông, uy phong lÉm liÖt. "		6666	8	0	28	40	40	29	120	120	167	-30	-30	31	346	346										36	63	32	170									0																					
NghiÖt Long chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha14.spr	13	2	3	"Lµ mét trong nh÷ng lo¹i thÇn chïy trong truyÒn thuyÕt, chØ cã thÇn t­íng míi sö dông. "		9000	9	0	28	45	45	29	135	135	167	-30	-30	31	374	374										36	72	32	185									0																					
Ph¸ Thiªn chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	"Lý Nguyªn B¸ - ®Ö nhÊt danh t­íng ®êi §­êng - ®· l­u l¹i, Uy lùc v« biªn. "		10666	10	0	28	50	50	29	150	150	167	-30	-30	31	400	400										36	81	32	200									0																					
Nga Mi ThÝch	0	0	5	\spr\item\equip\closeweapon\obj-adsd01.spr	14	2	2	Lo¹i binh khÝ mµ nh÷ng c« g¸i gÇy yÕu ht­êng hay trang bÞ hé th©n. 		33	1	0	28	5	5	29	8	8	167	20	20	31	30	30										36	0	32	20	33	20							0																					
TÊn ThiÕt Song §ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd11.spr	14	2	3	"Lo¹i ®ao ®­îc rÌn tõ thÐp giµ, cùc kú nÆng. "		400	2	0	28	11	11	29	16	16	167	20	20	31	44	44										36	9	32	25	33	20							0																					
NguyÖt Nha ThÝch	0	0	5	\spr\item\equip\closeweapon\obj-adsd01.spr	14	2	2	"Lo¹i vò khÝ cã thÓ b¶o vÖ ®­îc cho c¶ c¸nh tay, c«ng thñ toµn diÖn. "		900	3	0	28	16	16	29	25	25	167	20	20	31	58	58										36	18	32	30	33	30							0																					
H¾c B¹ch Song §ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd02.spr	14	2	2	"mét thanh ®­îc tinh luyÖn tõ thÐp, mét thanh ®­îc tinh luyÖn tõ s¾t. "		1600	4	0	28	22	22	29	33	33	167	20	20	31	74	74										36	27	32	35	33	40							0																					
TuyÕt Hoa L­îng Ng©n §ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd12.spr	14	2	3	"Dµi kho¶ng 3 th­íc, trong truyÒn thuyÕt Vâ Tßng ®· tõng dïng ®Ó trõ gian diÖt ¸c. "		2500	5	0	28	28	28	29	42	42	167	20	20	31	88	88										36	36	32	40	33	50							0																					
Uyªn ¦¬ng §ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd02.spr	14	2	2	"Mét lo¹i ®ao hai bªn cã hai mãc c©u, rÊt khã sö dông. "		3600	6	0	28	33	33	29	50	50	167	20	20	31	104	104										36	45	32	45	33	60							0																					
Phï Dung §ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd03.spr	14	2	2	"Lo¹i ®ao rÌn tõ thÐp l¹nh, s¸t khÝ ngïn ngôt, rÊt ®¸ng sî. "		5000	7	0	28	39	39	29	58	58	167	20	20	31	118	118										36	54	32	50	33	70							0																					
Hå §iÖp Song §ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd11.spr	14	2	3	"NhÑ nhµng, khÐo lÐo, gièng nh­ ®«i b­ím ®ang móa l­în. "		6666	8	0	28	44	44	29	67	67	167	20	20	31	132	132										36	63	32	55	33	80							0																					
Thu Vò §ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd13.spr	14	2	3	"S¸t khÝ l¹nh gi¸ kinh ng­êi, s¸t khÝ ®ñ ®Ó giÕt chÕt kÎ ®Þch. "		8333	9	0	28	50	50	29	75	75	167	20	20	31	146	146										36	72	32	60	33	90							0																					
Th«n NhËt Tr·m	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	"Bao c¶ nhËt nguyÖt tinh hoa, cã thÓ xem lµ ""thiªn h¹ ®Ö nhÊt ®ao"". "		10000	10	0	28	56	56	29	84	84	167	20	20	31	160	160										36	81	32	65	33	100							0																					
V« Gian û Thiªn KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	61	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	110	39	4							1	19	10	0	85	120	120	115	20	20	126	100	100	121	50	50	137	4	4	1252	1	1
V« Gian û Thiªn KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	62	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	110	39	4							1	19	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1252	1	3
V« Gian û Thiªn KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	63	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	110	39	4							1	19	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1252	1	3
V« Gian û Thiªn KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	64	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	110	39	4							1	19	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1252	1	3
V« Gian û Thiªn KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	65	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	110	39	4							1	19	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1252	1	3
V« Gian û Thiªn KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	66	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	110	39	4							1	19	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1252	1	3
V« Gian û Thiªn KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	67	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	110	39	4							1	19	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1252	1	3
V« Gian û Thiªn KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	68	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	110	39	4							1	19	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1252	1	3
V« Gian û Thiªn KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	69	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	110	39	4							1	19	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1252	1	3
V« Gian û Thiªn KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	70	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	110	39	4							1	19	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1252	1	3
Tø Kh«ng Gi¸ng Ma Giíi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	61	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	0							1	7	10	0	85	120	120	115	20	20	126	100	100	121	50	50	137	4	4	1273	1	1
Tø Kh«ng Gi¸ng Ma Giíi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	62	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	0							1	7	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1273	1	3
Tø Kh«ng Gi¸ng Ma Giíi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	63	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	0							1	7	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1273	1	3
Tø Kh«ng Gi¸ng Ma Giíi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	64	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	0							1	7	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1273	1	3
Tø Kh«ng Gi¸ng Ma Giíi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	65	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	0							1	7	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1273	1	3
