√˚≥∆	ItemGenre	DetailType	ParticularType	∂Øª≠Œƒº˛√˚	∂‘”¶ŒÔº˛À˜“˝	øÌ∂»	∏ﬂ∂»	Àµ√˜Œƒ◊÷	ŒÂ–– Ù–‘	º€∏Ò	µ»º∂	 «∑Òµ˛∑≈	ª˘¥° Ù–‘1¿‡–Õ	ª˘¥° Ù–‘1◊Ó–°÷µ	ª˘¥° Ù–‘1◊Ó¥Û÷µ	ª˘¥° Ù–‘2¿‡–Õ	ª˘¥° Ù–‘2◊Ó–°÷µ	ª˘¥° Ù–‘2◊Ó¥Û÷µ	ª˘¥° Ù–‘3¿‡–Õ	ª˘¥° Ù–‘3◊Ó–°÷µ	ª˘¥° Ù–‘3◊Ó¥Û÷µ	ª˘¥° Ù–‘4¿‡–Õ	ª˘¥° Ù–‘4◊Ó–°÷µ	ª˘¥° Ù–‘4◊Ó¥Û÷µ	ª˘¥° Ù–‘5¿‡–Õ	ª˘¥° Ù–‘5◊Ó–°÷µ	ª˘¥° Ù–‘5◊Ó¥Û÷µ	ª˘¥° Ù–‘6¿‡–Õ	ª˘¥° Ù–‘6◊Ó–°÷µ	ª˘¥° Ù–‘6◊Ó¥Û÷µ	ª˘¥° Ù–‘7¿‡–Õ	ª˘¥° Ù–‘7◊Ó–°÷µ	ª˘¥° Ù–‘7◊Ó¥Û÷µ	–Ë«Û Ù–‘1¿‡–Õ	–Ë«Û Ù–‘1 ˝÷µ	–Ë«Û Ù–‘2¿‡–Õ	–Ë«Û Ù–‘2 ˝÷µ	–Ë«Û Ù–‘3¿‡–Õ	–Ë«Û Ù–‘3 ˝÷µ	–Ë«Û Ù–‘4¿‡–Õ	–Ë«Û Ù–‘4 ˝÷µ	–Ë«Û Ù–‘5¿‡–Õ	–Ë«Û Ù–‘5 ˝÷µ	–Ë«Û Ù–‘6¿‡–Õ	–Ë«Û Ù–‘6 ˝÷µ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
Hi÷p CËt T◊nh ˝ K’t	0	9	4	\spr\item\equip\waist\obj-waist13.spr	35	1	2	Trang bﬁ Hoµng Kim	4	20000	10	0																						36	50	38	0									1	4	5	4	85	160	240	105	20	30	114	2	5									
Nhu T◊nh Tu÷ T©m Ng‰c BÈi	0	9	5	\spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	3	20000	1	0																						36	50	38	1									1	3	5	3	85	-50	50	104	15	25												
Nhu T◊nh Tu÷ T©m Ng‰c BÈi	0	9	5	\spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	3	20000	2	0																						36	50	38	1									1	3	5	3	85	-50	50	104	15	25												
Nhu T◊nh Tu÷ T©m Ng‰c BÈi	0	9	5	\spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	3	20000	3	0																						36	50	38	1									1	3	5	3	85	-50	50	104	15	25												
Nhu T◊nh Tu÷ T©m Ng‰c BÈi	0	9	5	\spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	3	20000	4	0																						36	50	38	1									1	3	5	3	85	-50	50	104	15	25												
Nhu T◊nh Tu÷ T©m Ng‰c BÈi	0	9	5	\spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	3	20000	5	0																						36	50	38	1									1	3	5	3	85	-50	50	104	15	25												
Nhu T◊nh Tu÷ T©m Ng‰c BÈi	0	9	5	\spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	3	20000	6	0																						36	50	38	1									1	3	5	3	85	-50	50	104	15	25												
Nhu T◊nh Tu÷ T©m Ng‰c BÈi	0	9	5	\spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	3	20000	7	0																						36	50	38	1									1	3	5	3	85	-50	50	104	15	25												
Nhu T◊nh Tu÷ T©m Ng‰c BÈi	0	9	5	\spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	3	20000	8	0																						36	50	38	1									1	3	5	3	85	-50	50	104	15	25												
Nhu T◊nh Tu÷ T©m Ng‰c BÈi	0	9	5	\spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	3	20000	9	0																						36	50	38	1									1	3	5	3	85	-50	50	104	15	25												
Nhu T◊nh Tu÷ T©m Ng‰c BÈi	0	9	5	\spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	3	20000	10	0																						36	50	38	1									1	3	5	3	85	-50	50	104	15	25												
MÈng Long PhÀt Ph∏p Huy“n BÈi 	0	9	6	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	1	0																						36	90	39	0									1	6	10	4	43	-1	-1	205	1	1												
MÈng Long PhÀt Ph∏p Huy“n BÈi 	0	9	6	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	2	0																						36	90	39	0									1	6	10	4	43	-1	-1	205	1	1												
MÈng Long PhÀt Ph∏p Huy“n BÈi 	0	9	6	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	3	0																						36	90	39	0									1	6	10	4	43	-1	-1	205	1	1												
MÈng Long PhÀt Ph∏p Huy“n BÈi 	0	9	6	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	4	0																						36	90	39	0									1	6	10	4	43	-1	-1	205	1	1												
MÈng Long PhÀt Ph∏p Huy“n BÈi 	0	9	6	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	5	0																						36	90	39	0									1	6	10	4	43	-1	-1	205	1	1												
MÈng Long PhÀt Ph∏p Huy“n BÈi 	0	9	6	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	6	0																						36	90	39	0									1	6	10	4	43	-1	-1	205	1	1												
MÈng Long PhÀt Ph∏p Huy“n BÈi 	0	9	6	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	7	0																						36	90	39	0									1	6	10	4	43	-1	-1	205	1	1												
MÈng Long PhÀt Ph∏p Huy“n BÈi 	0	9	6	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	8	0																						36	90	39	0									1	6	10	4	43	-1	-1	205	1	1												
MÈng Long PhÀt Ph∏p Huy“n BÈi 	0	9	6	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	9	0																						36	90	39	0									1	6	10	4	43	-1	-1	205	1	1												
MÈng Long PhÀt Ph∏p Huy“n BÈi 	0	9	6	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	10	0																						36	90	39	0									1	6	10	4	43	-1	-1	205	1	1												
B®ng Hµn Huy“n Thi™n B®ng H·a BÈi 	0	9	7	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	1	0																						36	90	39	2									1	13	10	1	43	-1	-1	205	1	1												
B®ng Hµn Huy“n Thi™n B®ng H·a BÈi 	0	9	7	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	2	0																						36	90	39	2									1	13	10	1	43	-1	-1	205	1	1												
B®ng Hµn Huy“n Thi™n B®ng H·a BÈi 	0	9	7	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	3	0																						36	90	39	2									1	13	10	1	43	-1	-1	205	1	1												
B®ng Hµn Huy“n Thi™n B®ng H·a BÈi 	0	9	7	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	4	0																						36	90	39	2									1	13	10	1	43	-1	-1	205	1	1												
B®ng Hµn Huy“n Thi™n B®ng H·a BÈi 	0	9	7	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	5	0																						36	90	39	2									1	13	10	1	43	-1	-1	205	1	1												
B®ng Hµn Huy“n Thi™n B®ng H·a BÈi 	0	9	7	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	6	0																						36	90	39	2									1	13	10	1	43	-1	-1	205	1	1												
B®ng Hµn Huy“n Thi™n B®ng H·a BÈi 	0	9	7	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	7	0																						36	90	39	2									1	13	10	1	43	-1	-1	205	1	1												
B®ng Hµn Huy“n Thi™n B®ng H·a BÈi 	0	9	7	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	8	0																						36	90	39	2									1	13	10	1	43	-1	-1	205	1	1												
B®ng Hµn Huy“n Thi™n B®ng H·a BÈi 	0	9	7	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	9	0																						36	90	39	2									1	13	10	1	43	-1	-1	205	1	1												
B®ng Hµn Huy“n Thi™n B®ng H·a BÈi 	0	9	7	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	10	0																						36	90	39	2									1	13	10	1	43	-1	-1	205	1	1												
S©m Hoµng Huy“n Thi’t T≠¨ng Ng‰c BÈi 	0	9	8	\spr\item\equip\waist\obj-waist11.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	1	0																						36	90	39	2									1	14	10	1	43	-1	-1	205	1	1												
S©m Hoµng Huy“n Thi’t T≠¨ng Ng‰c BÈi 	0	9	8	\spr\item\equip\waist\obj-waist11.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	2	0																						36	90	39	2									1	14	10	1	43	-1	-1	205	1	1												
S©m Hoµng Huy“n Thi’t T≠¨ng Ng‰c BÈi 	0	9	8	\spr\item\equip\waist\obj-waist11.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	3	0																						36	90	39	2									1	14	10	1	43	-1	-1	205	1	1												
S©m Hoµng Huy“n Thi’t T≠¨ng Ng‰c BÈi 	0	9	8	\spr\item\equip\waist\obj-waist11.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	4	0																						36	90	39	2									1	14	10	1	43	-1	-1	205	1	1												
S©m Hoµng Huy“n Thi’t T≠¨ng Ng‰c BÈi 	0	9	8	\spr\item\equip\waist\obj-waist11.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	5	0																						36	90	39	2									1	14	10	1	43	-1	-1	205	1	1												
S©m Hoµng Huy“n Thi’t T≠¨ng Ng‰c BÈi 	0	9	8	\spr\item\equip\waist\obj-waist11.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	6	0																						36	90	39	2									1	14	10	1	43	-1	-1	205	1	1												
S©m Hoµng Huy“n Thi’t T≠¨ng Ng‰c BÈi 	0	9	8	\spr\item\equip\waist\obj-waist11.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	7	0																						36	90	39	2									1	14	10	1	43	-1	-1	205	1	1												
S©m Hoµng Huy“n Thi’t T≠¨ng Ng‰c BÈi 	0	9	8	\spr\item\equip\waist\obj-waist11.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	8	0																						36	90	39	2									1	14	10	1	43	-1	-1	205	1	1												
S©m Hoµng Huy“n Thi’t T≠¨ng Ng‰c BÈi 	0	9	8	\spr\item\equip\waist\obj-waist11.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	9	0																						36	90	39	2									1	14	10	1	43	-1	-1	205	1	1												
S©m Hoµng Huy“n Thi’t T≠¨ng Ng‰c BÈi 	0	9	8	\spr\item\equip\waist\obj-waist11.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	10	0																						36	90	39	2									1	14	10	1	43	-1	-1	205	1	1												
V´ Tr«n PhÀt T©m Tı H˜u Y™u PhËi 	0	9	9	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	1	0																						36	90	39	4									1	21	10	0	85	300	300	1092	1	1	89	120	120	1291	1	1						
V´ Tr«n PhÀt T©m Tı H˜u Y™u PhËi 	0	9	9	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	2	0																						36	90	39	4									1	21	10	0	85	300	400	1092	1	3	89	120	200	1291	1	3						
V´ Tr«n PhÀt T©m Tı H˜u Y™u PhËi 	0	9	9	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	3	0																						36	90	39	4									1	21	10	0	85	300	400	1092	1	3	89	120	200	1291	1	3						
V´ Tr«n PhÀt T©m Tı H˜u Y™u PhËi 	0	9	9	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	4	0																						36	90	39	4									1	21	10	0	85	300	400	1092	1	3	89	120	200	1291	1	3						
V´ Tr«n PhÀt T©m Tı H˜u Y™u PhËi 	0	9	9	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bﬁ Hoµng Kim	4	20000	5	0																						36	90	39	4									1	21	10	0	85	300	400	1092	1	3	89	120	200	1291	1	3						
