Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
Miªu nh·n hé th©n phï	0	4	1	\spr\item\equip\nick\obj-neck13.spr	36	2	1	"Lµm tõ da hæ, rÊt cã gi¸ trÞ"		450	3	0																						36	14	38	0									0																					
Hæ T×nh hé th©n phï	0	4	1	\spr\item\equip\nick\obj-neck14.spr	36	2	1	"Lµm tõ da chim nh¹n, rÊt hiÕm thÊy"		800	4	0																						36	20	38	0									0																					
Thñy Tinh hé th©n phï	0	4	1	\spr\item\equip\nick\obj-neck15.spr	36	2	1	"Lµm tõ Thñy tinh, rÊt cã gi¸ trÞ."		1250	5	0																						36	27	38	0									0																					
Hæ Ph¸ch hé th©n phï	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	"Lµm tõ Hæ Ph¸ch, rÊt cã gi¸ trÞ"		1800	6	0																						36	34	38	0									0																					
B¹ch PhØ Thóy hé th©n phï	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Lµm tõ B¹ch PhØ Thóy quý hiÕm.		2450	7	0																						36	40	38	0									0																					
Hång PhØ Thóy hé th©n phï	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Lµm tõ Hång PhØ Thóy quý hiÕm.		3200	8	0																						36	47	38	0									0																					
Tö PhØ Thóy hé th©n phï	0	4	1	\spr\item\equip\nick\obj-neck19.spr	36	2	1	"Lo¹i lÖnh phï lµm b»ng da con PhØ Thóy, rÊt hiÕm thÊy."		4050	9	0																						36	54	38	0									0																					
Lôc PhØ Thóy hé th©n phï	0	4	1	\spr\item\equip\nick\obj-neck20.spr	36	2	1	"Lo¹i lÖnh phï b»ng Lôc PhØ Thóy cùc quý, chØ PhËt quèc Quèc s­ míi cã."		5000	10	0																						36	60	38	0									0																					
Kim Phong Tr¹c Liªn Quang	0	4	2	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	1	20000	1	0																						36	30											1	1	5	1	114	2	2	103	6	6	89	60	60									
Kim Phong Tr¹c Liªn Quang	0	4	2	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	1	20000	2	0																						36	30											1	1	5	1	114	2	5	103	6	12	89	60	80									
Kim Phong Tr¹c Liªn Quang	0	4	2	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	1	20000	3	0																						36	30											1	1	5	1	114	2	5	103	6	12	89	60	80									
Kim Phong Tr¹c Liªn Quang	0	4	2	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	1	20000	4	0																						36	30											1	1	5	1	114	2	5	103	6	12	89	60	80									
Kim Phong Tr¹c Liªn Quang	0	4	2	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	1	20000	5	0																						36	30											1	1	5	1	114	2	5	103	6	12	89	60	80									
Kim Phong Tr¹c Liªn Quang	0	4	2	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	1	20000	6	0																						36	30											1	1	5	1	114	2	5	103	6	12	89	60	80									
Kim Phong Tr¹c Liªn Quang	0	4	2	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	1	20000	7	0																						36	30											1	1	5	1	114	2	5	103	6	12	89	60	80									
Kim Phong Tr¹c Liªn Quang	0	4	2	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	1	20000	8	0																						36	30											1	1	5	1	114	2	5	103	6	12	89	60	80									
Kim Phong Tr¹c Liªn Quang	0	4	2	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	1	20000	9	0																						36	30											1	1	5	1	114	2	5	103	6	12	89	60	80									
Kim Phong Tr¹c Liªn Quang	0	4	2	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	1	20000	10	0																						36	30											1	1	5	1	114	2	5	103	6	12	89	60	80									
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	4	3	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	4	20000	1	0																						36	80											1	2	1	4	114	15	15															
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	4	3	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	4	20000	2	0																						36	80											1	2	2	4	114	16	16															
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	4	3	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	4	20000	3	0																						36	80											1	2	3	4	114	16	16															
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	4	3	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	4	20000	4	0																						36	80											1	2	4	4	114	17	17															
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	4	3	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	4	20000	5	0																						36	80											1	2	5	4	114	17	17															
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	4	3	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	4	20000	6	0																						36	80											1	2	6	4	114	18	18															
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	4	3	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	4	20000	7	0																						36	80											1	2	7	4	114	18	18															
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	4	3	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	4	20000	8	0																						36	80											1	2	8	4	114	19	19															
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	4	3	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	4	20000	9	0																						36	80											1	2	9	4	114	19	19															
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	4	3	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	4	20000	10	0																						36	80											1	2	10	4	114	20	20															
Nhu T×nh Thôc N÷ H¹ng Liªn	0	4	4	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	35	38	1									1	3	5	0	89	120	200	106	25	40												
Nhu T×nh Thôc N÷ H¹ng Liªn	0	4	4	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	35	38	1									1	3	5	0	89	120	200	106	25	40												
Nhu T×nh Thôc N÷ H¹ng Liªn	0	4	4	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	35	38	1									1	3	5	0	89	120	200	106	25	40												
Nhu T×nh Thôc N÷ H¹ng Liªn	0	4	4	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	35	38	1									1	3	5	0	89	120	200	106	25	40												
Nhu T×nh Thôc N÷ H¹ng Liªn	0	4	4	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	35	38	1									1	3	5	0	89	120	200	106	25	40												
Nhu T×nh Thôc N÷ H¹ng Liªn	0	4	4	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	35	38	1									1	3	5	0	89	120	200	106	25	40												
Nhu T×nh Thôc N÷ H¹ng Liªn	0	4	4	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	35	38	1									1	3	5	0	89	120	200	106	25	40												
Nhu T×nh Thôc N÷ H¹ng Liªn	0	4	4	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	35	38	1									1	3	5	0	89	120	200	106	25	40												
Nhu T×nh Thôc N÷ H¹ng Liªn	0	4	4	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	35	38	1									1	3	5	0	89	120	200	106	25	40												
Nhu T×nh Thôc N÷ H¹ng Liªn	0	4	4	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	35	38	1									1	3	5	0	89	120	200	106	25	40												
HiÖp Cèt §a T×nh Hoµn	0	4	5	\spr\item\equip\nick\obj-neck14.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	1	0																						36	35	38	0									1	4	5	2	85	120	200	108	25	40	89	120	200									
HiÖp Cèt §a T×nh Hoµn	0	4	5	\spr\item\equip\nick\obj-neck14.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	2	0																						36	35	38	0									1	4	5	2	85	120	200	108	25	40	89	120	200									
HiÖp Cèt §a T×nh Hoµn	0	4	5	\spr\item\equip\nick\obj-neck14.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	3	0																						36	35	38	0									1	4	5	2	85	120	200	108	25	40	89	120	200									
HiÖp Cèt §a T×nh Hoµn	0	4	5	\spr\item\equip\nick\obj-neck14.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	4	0																						36	35	38	0									1	4	5	2	85	120	200	108	25	40	89	120	200									
HiÖp Cèt §a T×nh Hoµn	0	4	5	\spr\item\equip\nick\obj-neck14.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	5	0																						36	35	38	0									1	4	5	2	85	120	200	108	25	40	89	120	200									
HiÖp Cèt §a T×nh Hoµn	0	4	5	\spr\item\equip\nick\obj-neck14.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	6	0																						36	35	38	0									1	4	5	2	85	120	200	108	25	40	89	120	200									
HiÖp Cèt §a T×nh Hoµn	0	4	5	\spr\item\equip\nick\obj-neck14.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	7	0																						36	35	38	0									1	4	5	2	85	120	200	108	25	40	89	120	200									
HiÖp Cèt §a T×nh Hoµn	0	4	5	\spr\item\equip\nick\obj-neck14.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	8	0																						36	35	38	0									1	4	5	2	85	120	200	108	25	40	89	120	200									
HiÖp Cèt §a T×nh Hoµn	0	4	5	\spr\item\equip\nick\obj-neck14.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	9	0																						36	35	38	0									1	4	5	2	85	120	200	108	25	40	89	120	200									
HiÖp Cèt §a T×nh Hoµn	0	4	5	\spr\item\equip\nick\obj-neck14.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	10	0																						36	35	38	0									1	4	5	2	85	120	200	108	25	40	89	120	200									
Ngù Long ChiÕn ThÇn Phi Qu¶i Gi¸p 	0	4	6	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	1	0																						36	90	39	1									1	11	10	0	85	120	120	103	20	20	102	20	20	114	16	16	1040	1	1			
Ngù Long ChiÕn ThÇn Phi Qu¶i Gi¸p 	0	4	6	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	2	0																						36	90	39	1									1	11	10	0	85	120	200	103	20	25	102	20	25	114	16	24	1040	1	3			
Ngù Long ChiÕn ThÇn Phi Qu¶i Gi¸p 	0	4	6	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	3	0																						36	90	39	1									1	11	10	0	85	120	200	103	20	25	102	20	25	114	16	24	1040	1	3			
Ngù Long ChiÕn ThÇn Phi Qu¶i Gi¸p 	0	4	6	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	4	0																						36	90	39	1									1	11	10	0	85	120	200	103	20	25	102	20	25	114	16	24	1040	1	3			
Ngù Long ChiÕn ThÇn Phi Qu¶i Gi¸p 	0	4	6	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	5	0																						36	90	39	1									1	11	10	0	85	120	200	103	20	25	102	20	25	114	16	24	1040	1	3			
Ngù Long ChiÕn ThÇn Phi Qu¶i Gi¸p 	0	4	6	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	6	0																						36	90	39	1									1	11	10	0	85	120	200	103	20	25	102	20	25	114	16	24	1040	1	3			
Ngù Long ChiÕn ThÇn Phi Qu¶i Gi¸p 	0	4	6	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	7	0																						36	90	39	1									1	11	10	0	85	120	200	103	20	25	102	20	25	114	16	24	1040	1	3			
Ngù Long ChiÕn ThÇn Phi Qu¶i Gi¸p 	0	4	6	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	8	0																						36	90	39	1									1	11	10	0	85	120	200	103	20	25	102	20	25	114	16	24	1040	1	3			
Ngù Long ChiÕn ThÇn Phi Qu¶i Gi¸p 	0	4	6	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	9	0																						36	90	39	1									1	11	10	0	85	120	200	103	20	25	102	20	25	114	16	24	1040	1	3			
Ngù Long ChiÕn ThÇn Phi Qu¶i Gi¸p 	0	4	6	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	10	0																						36	90	39	1									1	11	10	0	85	120	200	103	20	25	102	20	25	114	16	24	1040	1	3			
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn 	0	4	7	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	1	0																						36	90	39	2									1	12	10	3	85	-50	-50	1464	1	1	1462	1	1	104	15	15	89	300	300	114	16	16
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn 	0	4	7	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	2	0																						36	90	39	2									1	12	10	3	85	-50	50	1464	1	3	1462	1	3	104	15	20	89	300	400	114	16	24
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn 	0	4	7	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	3	0																						36	90	39	2									1	12	10	3	85	-50	50	1464	1	3	1462	1	3	104	15	20	89	300	400	114	16	24
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn 	0	4	7	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	4	0																						36	90	39	2									1	12	10	3	85	-50	50	1464	1	3	1462	1	3	104	15	20	89	300	400	114	16	24
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn 	0	4	7	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	5	0																						36	90	39	2									1	12	10	3	85	-50	50	1464	1	3	1462	1	3	104	15	20	89	300	400	114	16	24
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn 	0	4	7	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	6	0																						36	90	39	2									1	12	10	3	85	-50	50	1464	1	3	1462	1	3	104	15	20	89	300	400	114	16	24
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn 	0	4	7	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	7	0																						36	90	39	2									1	12	10	3	85	-50	50	1464	1	3	1462	1	3	104	15	20	89	300	400	114	16	24
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn 	0	4	7	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	8	0																						36	90	39	2									1	12	10	3	85	-50	50	1464	1	3	1462	1	3	104	15	20	89	300	400	114	16	24
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn 	0	4	7	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	9	0																						36	90	39	2									1	12	10	3	85	-50	50	1464	1	3	1462	1	3	104	15	20	89	300	400	114	16	24
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn 	0	4	7	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	10	0																						36	90	39	2									1	12	10	3	85	-50	50	1464	1	3	1462	1	3	104	15	20	89	300	400	114	16	24
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	4	8	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	1	0																						36	90	39	2									1	15	10	4	85	200	200	104	25	25	1043	1	1	114	16	16	89	300	300			
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	4	8	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	2	0																						36	90	39	2									1	15	10	4	85	200	300	104	25	30	1043	1	3	114	16	24	89	300	400			
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	4	8	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	3	0																						36	90	39	2									1	15	10	4	85	200	300	104	25	30	1043	1	3	114	16	24	89	300	400			
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	4	8	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	4	0																						36	90	39	2									1	15	10	4	85	200	300	104	25	30	1043	1	3	114	16	24	89	300	400			
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	4	8	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	5	0																						36	90	39	2									1	15	10	4	85	200	300	104	25	30	1043	1	3	114	16	24	89	300	400			
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	4	8	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	6	0																						36	90	39	2									1	15	10	4	85	200	300	104	25	30	1043	1	3	114	16	24	89	300	400			
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	4	8	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	7	0																						36	90	39	2									1	15	10	4	85	200	300	104	25	30	1043	1	3	114	16	24	89	300	400			
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	4	8	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	8	0																						36	90	39	2									1	15	10	4	85	200	300	104	25	30	1043	1	3	114	16	24	89	300	400			
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	4	8	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	9	0																						36	90	39	2									1	15	10	4	85	200	300	104	25	30	1043	1	3	114	16	24	89	300	400			
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	4	8	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	10	0																						36	90	39	2									1	15	10	4	85	200	300	104	25	30	1043	1	3	114	16	24	89	300	400			
Chó Ph­îc DiÖt L«i C¶nh Phï 	0	4	9	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	1	0																						36	90	39	3									1	16	10	3	85	120	120	101	35	35	1067	1	1	104	15	15	89	300	300	114	16	16
Chó Ph­îc DiÖt L«i C¶nh Phï 	0	4	9	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	2	0																						36	90	39	3									1	16	10	3	85	120	200	101	35	50	1067	1	3	104	15	25	89	300	400	114	16	24
Chó Ph­îc DiÖt L«i C¶nh Phï 	0	4	9	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	3	0																						36	90	39	3									1	16	10	3	85	120	200	101	35	50	1067	1	3	104	15	25	89	300	400	114	16	24
Chó Ph­îc DiÖt L«i C¶nh Phï 	0	4	9	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	2	20000	4	0																						36	90	39	3									1	16	10	3	85	120	200	101	35	50	1067	1	3	104	15	25	89	300	400	114	16	24
