µÈ¼¶	chuyensinh0	chuyensinh1	chuyensinh2	chuyensinh3	chuyensinh4	chuyensinh5	
79	1628120	1628120	1628120	1628120	1628120	1628120	
80	8891400	8891400	8891400	8891400	8891400	8891400	
81	9690600	9690600	9690600	9690600	9690600	9690600	
82	10600800	10600800	10600800	10600800	10600800	10600800	
83	11622000	11622000	11622000	11622000	11622000	11622000	
84	12754200	12754200	12754200	12754200	12754200	12754200	
85	13997400	13997400	13997400	13997400	13997400	13997400	
86	15351600	15351600	15351600	15351600	15351600	15351600	
87	16816800	16816800	16816800	16816800	16816800	16816800	
88	18393000	18393000	18393000	18393000	18393000	18393000	
89	20080200	20080200	20080200	20080200	20080200	20080200	
90	42006528	42006528	42006528	42006528	42006528	42006528	
91	45672192	45672192	45672192	45672192	45672192	45672192	
92	49791360	49791360	49791360	49791360	49791360	49791360	
93	54364032	54364032	54364032	54364032	54364032	54364032	
94	59390208	59390208	59390208	59390208	59390208	59390208	
95	67304832	67304832	67304832	67304832	67304832	67304832	
96	76204608	76204608	76204608	76204608	76204608	76204608	
97	95784640	95784640	95784640	95784640	95784640	95784640	
98	126044928	126044928	126044928	126044928	126044928	126044928	
99	136985472	136985472	136985472	136985472	136985472	136985472	
100	200000000	200000000	200000000	200000000	200000000	200000000	
101	200000000	200000000	200000000	200000000	200000000	200000000	
102	200000000	200000000	200000000	200000000	200000000	200000000	
103	200000000	200000000	200000000	200000000	200000000	200000000	
104	200000000	200000000	200000000	200000000	200000000	200000000	
105	200000000	200000000	200000000	200000000	200000000	200000000	
106	250000000	250000000	250000000	250000000	250000000	250000000	
107	250000000	250000000	250000000	250000000	250000000	250000000	
108	250000000	250000000	250000000	250000000	250000000	250000000	
109	250000000	250000000	250000000	250000000	250000000	250000000	
110	350000000	350000000	350000000	350000000	350000000	350000000	
111	350000000	350000000	350000000	350000000	350000000	350000000	
112	350000000	350000000	350000000	350000000	350000000	350000000	
113	350000000	350000000	350000000	350000000	350000000	350000000	
114	350000000	350000000	350000000	350000000	350000000	350000000	
115	450000000	450000000	450000000	450000000	450000000	450000000	
116	450000000	450000000	450000000	450000000	450000000	450000000	
117	450000000	450000000	450000000	450000000	450000000	450000000	
118	450000000	450000000	450000000	450000000	450000000	450000000	
119	450000000	450000000	450000000	450000000	450000000	450000000	
120	600000000	600000000	600000000	600000000	600000000	600000000	
121	600000000	600000000	600000000	600000000	600000000	600000000	
122	600000000	600000000	600000000	600000000	600000000	600000000	
123	600000000	600000000	600000000	600000000	600000000	600000000	
124	600000000	600000000	600000000	600000000	600000000	600000000	
125	800000000	800000000	800000000	800000000	800000000	800000000	
126	800000000	800000000	800000000	800000000	800000000	800000000	
127	800000000	800000000	800000000	800000000	800000000	800000000	
128	800000000	800000000	800000000	800000000	800000000	800000000	
129	800000000	800000000	800000000	800000000	800000000	800000000	
130	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	
131	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	
132	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	
133	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	
134	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	
135	1500000000	1500000000	1500000000	1500000000	1500000000	1500000000	
136	1500000000	1500000000	1500000000	1500000000	1500000000	1500000000	
137	1500000000	1500000000	1500000000	1500000000	1500000000	1500000000	
138	1500000000	1500000000	1500000000	1500000000	1500000000	1500000000	
139	1500000000	1500000000	1500000000	1500000000	1500000000	1500000000	
140	1500000000	1500000000	1500000000	1500000000	1500000000	1500000000	
141	1800000000	1800000000	1800000000	1800000000	1800000000	1800000000	
142	1800000000	1800000000	1800000000	1800000000	1800000000	1800000000	
143	1800000000	1800000000	1800000000	1800000000	1800000000	1800000000	
144	1800000000	1800000000	1800000000	1800000000	1800000000	1800000000	
145	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
146	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
147	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
148	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
149	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
150	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
151	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
152	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
153	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
154	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
155	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
156	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
157	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
158	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
159	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
160	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
161	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
162	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
163	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
164	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
165	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
166	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
167	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
168	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
169	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
170	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
171	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
172	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
173	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
174	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
175	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
176	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
177	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
178	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
179	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
180	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
181	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
182	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
183	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
184	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
185	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
186	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
187	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
188	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
189	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
190	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
191	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
192	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
193	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
194	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
195	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
196	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
197	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
198	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
199	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
200	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
