µÈ¼¶	chuyensinh0	chuyensinh1	chuyensinh2	chuyensinh3	chuyensinh4	chuyensinh5	
79	1628120	1628120	1628120	1628120	1628120	1628120	
80	8891400	8891400	8891400	8891400	8891400	8891400	
81	9690600	9690600	9690600	9690600	9690600	9690600	
82	10600800	10600800	10600800	10600800	10600800	10600800	
83	11622000	11622000	11622000	11622000	11622000	11622000	
84	12754200	12754200	12754200	12754200	12754200	12754200	
85	13997400	13997400	13997400	13997400	13997400	13997400	
86	15351600	15351600	15351600	15351600	15351600	15351600	
87	16816800	16816800	16816800	16816800	16816800	16816800	
88	18393000	18393000	18393000	18393000	18393000	18393000	
89	20080200	20080200	20080200	20080200	20080200	20080200	
90	42006528	42006528	42006528	42006528	42006528	42006528	
91	45672192	45672192	45672192	45672192	45672192	45672192	
92	49791360	49791360	49791360	49791360	49791360	49791360	
93	54364032	54364032	54364032	54364032	54364032	54364032	
94	59390208	59390208	59390208	59390208	59390208	59390208	
95	67304832	67304832	67304832	67304832	67304832	67304832	
96	76204608	76204608	76204608	76204608	76204608	76204608	
97	95784640	95784640	95784640	95784640	95784640	95784640	
98	126044928	126044928	126044928	126044928	126044928	126044928	
99	136985472	136985472	136985472	136985472	136985472	136985472	
100	250000000	250000000	250000000	250000000	250000000	250000000	
101	250000000	250000000	250000000	250000000	250000000	250000000	
102	250000000	250000000	250000000	250000000	250000000	250000000	
103	250000000	250000000	250000000	250000000	250000000	250000000	
104	250000000	250000000	250000000	250000000	250000000	250000000	
105	250000000	250000000	250000000	250000000	250000000	250000000	
106	250000000	250000000	250000000	250000000	250000000	250000000	
107	250000000	250000000	250000000	250000000	250000000	250000000	
108	250000000	250000000	250000000	250000000	250000000	250000000	
109	250000000	250000000	250000000	250000000	250000000	250000000	
110	300000000	300000000	300000000	300000000	300000000	300000000	
111	300000000	300000000	300000000	300000000	300000000	300000000	
112	300000000	300000000	300000000	300000000	300000000	300000000	
113	300000000	300000000	300000000	300000000	300000000	300000000	
114	300000000	300000000	300000000	300000000	300000000	300000000	
115	300000000	300000000	300000000	300000000	300000000	300000000	
116	300000000	300000000	300000000	300000000	300000000	300000000	
117	300000000	300000000	300000000	300000000	300000000	300000000	
118	300000000	300000000	300000000	300000000	300000000	300000000	
119	300000000	300000000	300000000	300000000	300000000	300000000	
120	500000000	500000000	500000000	500000000	500000000	500000000	
121	500000000	500000000	500000000	500000000	500000000	500000000	
122	500000000	500000000	500000000	500000000	500000000	500000000	
123	500000000	500000000	500000000	500000000	500000000	500000000	
124	500000000	500000000	500000000	500000000	500000000	500000000	
125	600000000	600000000	600000000	600000000	600000000	600000000	
126	600000000	600000000	600000000	600000000	600000000	600000000	
127	600000000	600000000	600000000	600000000	600000000	600000000	
128	600000000	600000000	600000000	600000000	600000000	600000000	
129	600000000	600000000	600000000	600000000	600000000	600000000	
130	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	
131	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	
132	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	
133	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	
134	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	
135	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
136	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
137	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
138	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
139	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
140	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
141	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
142	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
143	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
144	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
145	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
146	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
147	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
148	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
149	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
150	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
151	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
152	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
153	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
154	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
155	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
156	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
157	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
158	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
159	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
160	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
161	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
162	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
163	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
164	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
165	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
166	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
167	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
168	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
169	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
170	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
171	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
172	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
173	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
174	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
175	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
176	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
177	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
178	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
179	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
180	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
181	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
182	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
183	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
184	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
185	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
186	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
187	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
188	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
189	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
190	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
191	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
192	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
193	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
194	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
195	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
196	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
197	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
198	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
199	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
200	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
201	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
202	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
203	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
204	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
205	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
206	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
207	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
208	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
209	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
210	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
211	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
212	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
213	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
214	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
215	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
216	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
217	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
218	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
219	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
220	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
221	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
222	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
223	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
224	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
225	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
226	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
227	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
228	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
229	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
230	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
231	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
232	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
233	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
234	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
235	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
236	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
237	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
238	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
239	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
240	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
241	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
242	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
243	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
244	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
245	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
246	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
247	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
248	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
249	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
250	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	
